Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Piper continues to pursue Alex after learning Alex already had a girlfriend in college	Piper	Alex and Alex’s then‑girlfriend	40	25	Bandit	Pursuit serves Piper’s desires while helping end Alex’s existing relationship and causing emotional harm.
Piper cheats on Larry with Alex in prison	Piper	Larry	35	20	Bandit	She gains emotional/sexual gratification but damages Larry and their relationship.
Piper cheats on Alex with Stella when bored of Alex	Piper	Alex	30	15	Bandit	Short‑term excitement for Piper at clear emotional cost to Alex.
Piper initially wants a child	Piper	Future child/partner	60	55	Intelligent	Desire for family appears mutually beneficial and not shown to harm others.
Piper changes her mind about wanting kids after babysitting her niece	Piper	Future child/partner	65	70	Intelligent	Reassessment likely prevents an unwanted child and future conflict for all involved.
Piper reacts pedantically to Larry’s “sarcophagus” analogy by correcting him	Piper	Larry	40	20	Stupid	She gains no benefit, worsens Larry’s hurt, and escalates the argument.
Piper breaks promises and repeatedly fails to learn lessons until branded and riots	Piper	Herself and inmates	30	30	Stupid	Her pattern of bad choices harms her and destabilizes others with no clear offsetting gain.
Piper delivers a badass boast to Soso, warning she’ll rip her throat out	Piper	Soso	50	35	Bandit	She asserts dominance and self‑image while intimidating and upsetting Soso.
Piper introspects about whether prison made her colder or revealed who she is	Piper	Herself	65	60	Intelligent	Self‑reflection improves her self‑understanding without hurting others.
Piper comments that she doesn’t feel as bad as she “should” about her actions	Piper	Herself	55	45	Helpless	Awareness brings discomfort and self‑doubt without improving others’ situations.
Piper reads extensively and cultivates literary interests	Piper	Herself and Alex	80	70	Intelligent	Her reading enriches her life and attracts Alex, benefiting both.
Piper is framed and branded by Maria over the panty business and white‑power association	Maria	Piper	50	10	Bandit	Maria asserts dominance and revenge at great physical/psychological cost to Piper.
Piper starts a panty‑selling business in prison	Piper	Other inmates and prison system	75	35	Bandit	She gains money/status but increases risk and tension for other inmates and conflicts with authorities.
Piper frames Stella for contraband after Stella steals her money	Piper	Stella	60	25	Bandit	Piper protects her profits and power while inflicting severe punishment on Stella.
Piper hires muscle and starts a white power group to protect her business	Piper	Non‑white inmates	45	10	Bandit	She secures short‑term protection at serious social and safety cost to others and to her own long‑term security.
Piper later regrets starting the white power group	Piper	Herself	55	55	Intelligent	Regret can lead to behavior change and harms no one.
Piper attempts granola/alt‑lifestyle diets and a soap company outside prison	Piper	Customers/partners	70	65	Intelligent	Entrepreneurial effort benefits her and provides products/engagement to others.
Piper behaves innocently insensitive about first‑world problems in prison	Piper	Other inmates	45	35	Stupid	Her obliviousness undermines relationships without bringing meaningful benefit.
Piper investigates financial irregularities under cover of a newsletter	Piper	Prison administration	65	70	Intelligent	She learns and potentially exposes corruption, helping herself and the inmate body.
Piper decides to write a memoir about her prison experience	Piper	Future readers	80	70	Intelligent	Book project advances her career and can inform/entertain others.
Piper has an affair with Alex while engaged to Larry	Piper	Larry and Alex	35	20	Bandit	She gains emotional/sexual satisfaction at substantial heartbreak to both partners.
Piper runs back to Alex after Larry ends things	Piper	Alex	40	35	Bandit	She seeks comfort and continuity but reopens wounds and complicates Alex’s emotions.
Piper complains that her hurt should be central when Polly and Larry get together	Piper	Polly and Larry	40	30	Helpless	Her self‑absorption fuels her own distress and tensions without helping anyone else.
Piper gets Alex thrown back into prison partly because she wants Alex back	Piper	Alex	25	10	Bandit	She regains Alex’s presence at the cost of Alex’s freedom and safety.
Piper cares more about Alex visiting than Red’s hospitalization	Piper	Red	45	30	Stupid	Prioritizing her own romantic drama strains friendships without real gain.
Piper repeatedly mocks or minimizes Alex’s legitimate fear of being killed	Piper	Alex	40	25	Stupid	Hurting Alex’s sense of safety brings Piper little benefit and harms trust.
Piper offers to trade Soso to Boo for a blanket	Piper	Soso	35	15	Bandit	She seeks personal comfort (warmth) while treating Soso as a commodity, damaging Soso.
Piper excuses the Soso trade attempt by saying it’s very cold	Piper	Soso	40	20	Stupid	Rationalizing the act brings no extra benefit and deepens Soso’s shock and alienation.
Piper makes back cream to reconcile with Red	Piper	Red	70	75	Intelligent	She repairs a relationship through a product that benefits them both.
