Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Oberyn rejects Tywin’s offer of Gregor’s execution in favor of broader, harsher revenge	Oberyn Martell	Himself, House Martell, Lannisters, Gregor Clegane	15	20	Stupid	His maximalist revenge demand helps trigger his own death, his house’s destruction, and doesn’t stop Gregor or the Lannisters in the short term.
Oberyn goes to King’s Landing primarily to take revenge on Gregor and the Lannisters	Oberyn Martell	Himself, Lannisters, Gregor Clegane	35	25	Bandit	He pursues personal vengeance at serious risk to himself and destabilizing others, with only partial long-term payoff.
Oberyn publicly declares he has come “for” Gregor in the capital	Oberyn Martell	Gregor Clegane, Lannisters, himself	45	30	Bandit	The open challenge boosts his personal agenda and reputation but escalates danger to him and tensions at court.
Oberyn chooses to drink before fights and not take combat fully seriously	Oberyn Martell	Himself	20	50	Helpless	His boastful habit undercuts his own safety for no benefit to others.
Oberyn fathers eight bastard daughters	Oberyn Martell	Himself, his daughters	70	60	Intelligent	He gains family and legacy; they gain existence and status as Sand Snakes with no direct shown harm.
Oberyn lets his hatred of the Lannisters be triggered even by hearing “The Rains of Castamere”	Oberyn Martell	Himself	30	45	Helpless	His hair-trigger rage stresses and endangers him without clear gain.
Oberyn spends years protecting Elia from unwanted suitors	Oberyn Martell	Elia Martell	60	70	Intelligent	His efforts safeguard his sister’s dignity and likely her safety while costing him little.
Oberyn studies at the Citadel and becomes an expert in poisons	Oberyn Martell	Himself, future targets	75	40	Bandit	His knowledge advantages him and those he serves but is oriented toward harming enemies.
Oberyn keeps a knife in a Lannister soldier’s wrist while calmly talking to another	Oberyn Martell	Lannister soldiers	60	30	Bandit	He dominates and humiliates foes, sustaining no harm while injuring and intimidating them.
Oberyn stabs the Lannister soldier in the wrist for singing “The Rains of Castamere”	Oberyn Martell	Lannister soldier	55	20	Bandit	He vents hatred and asserts dominance at minor risk while injuring another man.
Oberyn tells the wounded Lannister how to survive if he gets quick medical aid	Oberyn Martell	Lannister soldier	60	70	Intelligent	He moderates the harm he caused by giving life‑saving advice at no cost to himself.
Oberyn refuses to murder Lannister children despite hating their house	Oberyn Martell	Lannister children	80	85	Intelligent	He preserves his own moral standards and avoids escalation while sparing innocents.
Oberyn disapproves of Joffrey’s cruel wedding dwarf-pageant	Oberyn Martell	Performers, victims of mockery	60	65	Intelligent	His visible disapproval costs him nothing and signals a norm against cruelty.
Oberyn perceives Tyrion’s innocence and refrains from suspecting him at trial	Oberyn Martell	Tyrion Lannister	65	70	Intelligent	He protects his own judgment and offers Tyrion rare, consequence-free fairness.
Oberyn visits Tyrion in his cell and listens to his plight	Oberyn Martell	Tyrion Lannister	70	75	Intelligent	He gains understanding and an ally while offering Tyrion empathy and a lifeline.
Oberyn recounts Cersei’s childhood cruelty toward Tyrion to him in prison	Oberyn Martell	Tyrion Lannister	65	80	Intelligent	It comforts Tyrion by validating his experience and deepens their bond at no cost to Oberyn.
