Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Makes lewd comments to almost any female and admits when something turns him on	Kevin	Female coworkers	20	5	Stupid	Sexual comments risk his job and harm coworkers’ comfort with no shown benefit beyond fleeting amusement.
Moves at “warp speed” to get to the bathroom when he needs it	Kevin	Himself (body/health)	85	50	Intelligent	Protects his own comfort/health and does not affect others.
Eats multiple shared meals with pregnant Pam when they get hungry at the same times	Kevin	Pam	70	80	Intelligent	He enjoys food and companionship while supporting Pam with coordinated meals.
Swindles Daryl and Andy out of money in the Dallas board game	Kevin	Daryl and Andy	80	15	Bandit	He profits financially at their expense during the game.
Compulsively gambles and gets into financial trouble	Kevin	Himself (finances)	10	50	Helpless	His addiction harms his own finances without helping others.
Seeks to save himself financially by gambling even more	Kevin	Himself (finances)	5	50	Helpless	Doubling down on gambling worsens his situation with no benefit to others.
Becomes very successful as a bar owner after he gets fired	Kevin	Bar customers	90	80	Intelligent	He gains career/financial success while providing a valued venue for others.
Regularly sexually harasses Pam in the workplace in front of others	Kevin	Pam	25	5	Stupid	He risks reputation and discipline while creating a hostile environment for Pam.
Tells Senator Lipton he’s a terrible person for using Oscar and Angela	Kevin	Senator Lipton	60	70	Intelligent	He faces minor social risk but offers truthful moral feedback to defend others.
Tells Andy he isn’t cut out to be a famous actor	Kevin	Andy	55	40	Bandit	His bluntness may slightly help Andy with realism but mostly hurts Andy emotionally with no clear gain to others.
Drops insightful and astute comments on what’s happening in the office	Kevin	Office coworkers	65	75	Intelligent	His observations help others’ understanding while giving him social relevance.
Plays drums in a rock band as a hobby	Kevin	Bandmates/audience	70	70	Intelligent	He gains enjoyment/status while entertaining and collaborating with others.
Becomes much dumber at his accounting job in later seasons	Kevin	Accountancy work/office	30	30	Stupid	His incompetence undermines his own professional standing and harms the department.
Engages in insider trading and admits it	Kevin	Company/market	20	20	Stupid	Illegal behavior risks his own severe consequences and harms institutional integrity.
Keeps working as an acknowledged poor accountant despite bad fit	Kevin	Accounting department	35	30	Stupid	Staying in an ill-suited role hurts his performance and burdens coworkers.
Regularly makes sexual remarks about women due to “innocent” insensitivity	Kevin	Female coworkers	30	10	Stupid	He damages relationships and workplace climate while gaining only fleeting amusement.
Searches extremely filthy content on his work computer	Kevin	IT/office	25	20	Stupid	He risks sanctions and tech issues while offering no benefit to others.
Keeps a porn stash in the office and on his computer	Kevin	Office environment	30	15	Stupid	He risks exposure and disciplinary action with no benefit to others.
Reacts with “Oh, crap!” when he realizes others might see his computer	Kevin	Himself (reputation)	30	50	Helpless	His panic reflects self-created risk; the reaction itself mainly just reveals his vulnerability.
Gives Angela a “reason you suck” speech for cheating on Andy with Dwight and being hypocritical	Kevin	Angela	55	65	Intelligent	He risks tension but provides honest moral feedback that may help everyone involved see the issue.
Gives Senator Lipton a “reason you suck” speech for cheating and using Angela and Oscar as pawns	Kevin	Senator Lipton	60	75	Intelligent	He confronts powerful wrongdoing at personal social risk to defend victims.
Keeps the secret of Oscar and Senator Lipton’s relationship despite doubting he can	Kevin	Oscar and Senator Lipton	65	80	Intelligent	He preserves others’ privacy and trust, gaining some relational credit himself.
Cooks meals and “Ultra Feasts” for himself and pregnant Pam to share	Kevin	Pam	80	85	Intelligent	He enjoys cooking and eating while providing support and pleasure to Pam.
Brings his own chili into work at least once a year	Kevin	Coworkers	75	80	Intelligent	He enjoys showcasing his cooking and sharing food that others appreciate.
Keeps a large stash of M&M’s in his desk for his sweet tooth	Kevin	Himself	70	55	Intelligent	He gains personal enjoyment with minimal external impact.
