Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Deep slams Ambrosius’s fish tank in a rage, mortally injuring her	Deep	Ambrosius	5	0	Stupid	He kills a loved one in an impulsive outburst, losing his only real redeeming relationship with no gain.
Deep refuses to save Ambrosius as she suffocates, letting her die	Deep	Ambrosius	10	0	Stupid	He consciously abandons his partner to a slow death, destroying his morality pet and further damaging himself emotionally.
Deep goes into shock and cries over having gotten Ambrosius killed	Deep	Deep	25	40	Helpless	He suffers emotionally and gains no clear benefit, while his remorse does nothing to help others.
Deep pledges unconditional servitude to Homelander right after Ambrosius’s death	Deep	Homelander	40	5	Bandit	He trades away autonomy and morality to curry favor and safety with a tyrant at great cost to others later.
Deep declares he would “kill every fish in the ocean” to prove loyalty to Homelander	Deep	Sea life	45	0	Bandit	He signals willingness to destroy what he once loved to increase status with Homelander.
A-Train punches Deep in the gills, incapacitating him	A-Train	Deep	70	20	Bandit	A-Train gains a major tactical advantage by exploiting Deep’s weakness, seriously harming only Deep.
Starlight hoists Deep by his gills, leaving him weak and in pain	Starlight	Deep	60	25	Bandit	She brutally disables a dangerous supe to protect herself and allies, at Deep’s expense.
Deep threatens Ashley after Sage flatters him as a “superior being”	Deep	Ashley	55	20	Bandit	He boosts his own sense of power by terrorizing a weaker colleague, providing no benefit to her.
Deep joins the Church of the Collective to get back into the Seven	Deep	Church of the Collective	40	45	Bandit	He gains support and image rehab while feeding the cult money and status; mostly self-serving.
Deep works hard for the Church to reenter the Seven but gets passed over for A-Train	Deep	Deep	20	55	Helpless	He invests heavily for career gain, fails, and inadvertently helps A-Train’s rehabilitation.
Deep later spins his Church experience as victimhood to regain popularity and rejoin the Seven	Deep	Public	75	10	Bandit	He salvages his reputation and career via dishonest narrative at the broader public’s expense.
Deep denounces the Church of the Collective and its “unholy obsession” with Fresca after leaving	Deep	Church of the Collective	55	40	Intelligent	He distances himself from an abusive cult and publicly exposes it, modestly helping others avoid it.
The Church arranges Deep’s marriage to Cassandra to rehab his image	Church of the Collective	Deep	60	40	Bandit	The Church improves its asset’s marketability while trapping him in a controlling PR marriage.
Cassandra manages Deep’s public image effectively	Deep	Public	70	60	Intelligent	Her work restores his brand and career while giving the public a more “reformed” figure, even if built on spin.
Deep alienates Cassandra through his behavior, ruining the marriage	Deep	Cassandra	30	20	Stupid	He sabotages a strategic relationship that benefits his image and stability, hurting both of them.
Deep pressures Cassandra into octopus-involved threesomes, humiliating her	Deep	Cassandra	55	10	Bandit	He gratifies his fetishes and ego while degrading his wife and damaging the marriage.
Cassandra divorces Deep at the end of Season 3	Cassandra	Deep	65	30	Intelligent	She escapes a humiliating, exploitative partner, improving her own life and limiting his access to her.
Deep shaves his head in a depressive breakdown	Deep	Deep	15	50	Helpless	It’s self-harming and symbolic of crisis with no benefit, but doesn’t clearly harm others.
Deep rejoins the Seven in Season 3 as Homelander’s unstable reign worsens	Deep	Deep	50	30	Bandit	He achieves his long-sought status but ties himself to an increasingly dangerous boss, risking later blowback.
Deep uses his powers to command sea creatures but routinely botches their use	Deep	Sea life	40	15	Stupid	His incompetence frequently kills allies and fails his goals, harming both him and the animals.
Deep attempts to rescue a lobster from a supermarket tank	Deep	Lobster	45	60	Helpless	His good intent backfires when the lobster is killed, leaving him ashamed and the animal dead.
Deep attempts to rescue a dolphin from a theme park	Deep	Dolphin	40	60	Helpless	He risks himself to free it but his negligence gets it killed and creates scandal.
Deep convinces a whale to beach itself to block The Boys’ escape	Deep	Lucy the whale	30	10	Stupid	He sacrifices the whale’s life for a flashy but tactically poor move that fails to catch The Boys.
Deep attacks The Boys’ boat with sharks and a beached whale instead of a sound strategy	Deep	The Boys	30	20	Stupid	He wastes a major advantage, causes animal deaths, and still fails to capture them.
Deep fantasizes about drowning A-Train in his dreams	Deep	A-Train	55	40	Bandit	He indulges violent resentment that offers him emotional release but would be lethal if acted upon.
Deep knocks out two human thugs with a few punches	Deep	Thugs	65	65	Intelligent	He effectively uses his strength to neutralize apparent criminals without known collateral.
Deep uses his water-breathing to ambush and drown VP candidate Lamar Bishop	Deep	Bishop	80	0	Bandit	He flawlessly executes a political assassination for Homelander, gaining favor while gravely harming others.
Deep brutally beats Starlight when sent to kill The Boys in Season 4	Deep	Starlight	75	10	Bandit	He nearly kills a rival supe and proves his utility, clearly worsening others’ situation.
Deep corners a Vought writer and caves his head in with one punch	Deep	Vought staffer	70	5	Bandit	He thrills in killing a powerless subordinate to demonstrate loyalty and dominance.
Deep “rescues” a dolphin at night without securing it, leading to its death under a truck	Deep	Dolphin	25	10	Stupid	His poor planning kills the animal, brings legal/PR trouble, and achieves nothing.
Deep tries to buy a lobster but neglects to specify he wants it alive, leading to its slaughter	Deep	Lobster	30	10	Stupid	A simple oversight gets the animal killed and leaves him horrified, with no gain.
Deep participates in Liquid Death ads exposing kids to fumes and cigarettes	Deep	Children	60	20	Bandit	He gets paid and public exposure while endorsing harmful imagery that normalizes danger to kids.
Deep promotes a Japanese soy sauce over sushi despite his “friend of sea life” image	Deep	Public	60	35	Bandit	He gains endorsement money at the cost of undercutting his pro-ocean persona and animals’ dignity.
Deep joins the Church after sessions “to better himself,” actually to reenter the Seven	Deep	Church of the Collective	45	50	Bandit	He leverages faux self-improvement to regain status, empowering a manipulative cult.
Deep easily accuses A-Train of leaking info to the press when confronted by Alistair	Deep	A-Train	55	30	Bandit	He tries to protect his own standing by throwing his “friend” under the bus.
Deep accuses A-Train but then offers him a high-five once told the leak helped them	Deep	A-Train	50	30	Bandit	He opportunistically flips to “buddy” mode when he hears the outcome benefits both.
Deep unsuccessfully tries to rejoin the Navy when supes can volunteer	Deep	Deep	40	50	Helpless	He grasps for escape from Sandusky but is blocked, wasting time and hope without harm to others.
Deep drives a gas-guzzling Hummer despite caring about the ocean	Deep	Environment	60	35	Bandit	He enjoys comfort and image at the environment’s expense, undermining his stated values.
Deep participates in a commercial where trash is burned, polluting the air	Deep	Public	65	30	Bandit	He profits from an ad that visually promotes pollution, contributing to harmful messaging.
Deep joins a sex encounter with a fangirl who then shoves fingers into his gills and rapes him	Fangirl	Deep	5	60	Helpless	He sought gratification but is badly traumatized and gains nothing while exposing her predation.
Deep undergoes a mushroom-induced vision quest with his talking gills	Eagle/Church	Deep	45	60	Intelligent	The forced trip helps him articulate his insecurities and patterns, giving potential for growth.
Deep recognizes in the vision that he dehumanizes women out of body insecurity	Deep	Deep	55	60	Intelligent	He gains honest self-insight that could support change, briefly benefiting his psyche and potential partners.
Deep subsequently ignores the epiphany and continues his old behavior	Deep	Women	35	20	Stupid	He squanders hard-won insight, harming women and sabotaging his own chance to improve.
Deep half-heartedly attempts to apologize or “make amends” to Starlight while centering himself	Deep	Starlight	40	25	Bandit	He tries to buy or spin forgiveness for his benefit, re-traumatizing her and minimizing her experience.
Deep tries to bribe Starlight to sweep his abuse under the rug	Deep	Starlight	45	10	Bandit	He seeks reputational protection by pressuring his victim, worsening her sense of injustice.
Deep is exiled from NYC to patrol Sandusky, Ohio after being outed as a predator	Vought	Deep	30	55	Helpless	He loses status and income but society gains some protection and a semblance of accountability.
Deep asks his handler how soon he can join the Navy to escape Sandusky and is denied	Deep	Deep	35	55	Helpless	He’s blocked from an exit plan, leaving him stuck with little change to others’ situation.
Deep complains to Alastair that Cassandra is a “weirdo who gives terrible blowjobs”	Deep	Cassandra	55	35	Bandit	He vents self-centered sexual dissatisfaction, degrading her while preserving his own ego.
Deep abandons the Church after realizing Alastair can’t get him back into the Seven	Deep	Church of the Collective	60	45	Intelligent	He cuts off a manipulative group once they’re no longer useful, modestly curbing their influence.
Deep recruits A-Train into the Church of the Collective	Deep	A-Train	70	50	Intelligent	He gains an ally in the cult while giving A-Train the path that later helps expose Stormfront and Vought.
Deep later exposes Stormfront via the Church archives indirectly by involving A-Train	Deep	Stormfront	75	55	Intelligent	His earlier recruitment sets up a major blow to a powerful Nazi supe and Vought’s plans.
Deep participates in beating Cameron Coleman to death during Vought’s purge	Deep	Cameron Coleman	65	5	Bandit	He indulges in murder that solidifies his standing with Homelander, devastating the victim.
Deep kills one of Homelander’s supporters with a bat without hesitation	Deep	Homelander supporter	70	5	Bandit	He deepens his reputation as a loyal enforcer, killing a civilian ally for intimidation value.
Deep uses his ocean scouting to recover Translucent’s body for Vought	Deep	Vought	70	45	Intelligent	He gains organizational credit while enabling Vought to secure a critical asset.
Deep recovers the Flight 37 camera from the ocean for Vought	Deep	Vought	75	5	Bandit	He gains favor while helping Vought contain damning evidence against Homelander.
Deep confronts Butcher and Starlight alongside Black Noir in Season 4	Deep	Butcher & Starlight	65	15	Bandit	He acts as Homelander’s muscle, threatening major enemies to his own career advantage.
Deep reluctantly eats his octopus friend Timothy alive on Homelander’s orders	Deep	Timothy	25	5	Helpless	He traumatizes himself and kills a beloved friend under duress to cling to Homelander’s favor.
Deep begins openly enjoying killing and terrorizing weaker people in Season 4	Deep	Humans in general	80	5	Bandit	He experiences sadistic satisfaction and power, escalating harm to others.
Deep mocks Starlight’s trauma and recants his prior apology before attacking her	Deep	Starlight	55	5	Bandit	He asserts dominance and self-justification while re-inflicting psychological harm.
Deep tries to kill Starlight in their final fight out of revenge for “canceling” him	Deep	Starlight	70	5	Bandit	He seeks lethal revenge to restore ego and status at her absolute expense.
Deep decisively adopts a “might makes right” ideology about violence and respect	Deep	Humans	75	10	Bandit	This worldview empowers his sense of superiority while increasing fear and danger for others.
Deep corners a terrified employee, forces him to praise Deep, then kills him	Deep	Vought employee	70	5	Bandit	He gets sadistic pleasure and perceived respect at the total cost of the victim’s life.
Deep pressures the new Black Noir to revel in killing like the old Noir	Deep	New Black Noir	65	20	Bandit	He tries to normalize sadism in a colleague to gain a like-minded ally, corrupting him.
Deep lies to New Noir that he and the old Noir were good friends to keep him on the team	Deep	New Black Noir	60	40	Bandit	He secures team cohesion and his own position through deceit, giving Noir a false “legacy.”
Deep turns into a full Super Supremacist after talking with Sage	Deep	Humans	75	5	Bandit	He boosts his self-importance and willingness to harm non-supes, worsening conditions for humans.
Deep threatens to drown Ashley after she mocks him, echoing Homelander’s style	Deep	Ashley	65	15	Bandit	He asserts newfound power and intimidates her, further traumatizing a subordinate.
Deep offers to give A-Train a blowjob when Homelander orders it, without real resistance	Deep	A-Train	35	30	Helpless	He degrades himself to appease Homelander, harming his own dignity and rapport with A-Train.
Deep forms a villainous friendship with Black Noir II	Deep	Black Noir II	70	40	Intelligent	He gains a cooperative ally in Homelander’s inner circle, strengthening both of their positions.
Deep forces an employee during the Vought purge to say he respects Deep more than any supe but Homelander	Deep	Vought employee	65	10	Bandit	He extracts false validation under threat to feed his ego, heightening the victim’s terror.
Deep murders a Homelander supporter in the hallway to impress Homelander	Deep	Supporter	70	5	Bandit	He shows ruthless loyalty to secure his own safety and standing by killing a fellow believer.
Deep discards his empathy for marine life after killing Ambrosius, declaring he “doesn’t care” anymore	Deep	Sea life	40	10	Stupid	He abandons the sole redeeming anchor of his character, deepening his own moral and emotional ruin.
Deep weeps in remorse over Ambrosius in the next episode despite claiming no regrets	Deep	Deep	25	45	Helpless	He is haunted by guilt that undermines his bravado, bringing him only inner torment.
Deep tries to save sea creatures as a child but is traumatized by hearing them beg for mercy	Deep	Sea creatures	40	60	Helpless	His unique empathy traumatizes him while only marginally helping the animals’ emotional lives.
Deep persuades a whale to risk herself in an earlier rescue attempt to stop a speedboat	Deep	Whale	40	20	Stupid	He endangers a loyal animal in a high-risk move with little strategic benefit.
Deep writes (or pretends to write) his memoir “Deeper” and profits from a ghostwritten version	Deep	Readers	75	35	Bandit	He monetizes a fake narrative of self-reflection, misleading readers while boosting his brand.
Deep ghostwrites nothing but sells the book hard in media appearances	Deep	Public	75	35	Bandit	The fame and money benefit him while the audience consumes a synthetic persona.
Deep treats Ambrosius as a loving secret girlfriend, hiding her in a closet tank	Deep	Ambrosius	40	30	Stupid	He gains emotional intimacy but keeps her confined and vulnerable, setting up her death.
Deep repeatedly breaks his promise to move Ambrosius to a larger aquarium	Deep	Ambrosius	50	25	Bandit	He trades her comfort and safety for his own convenience and secrecy.
Deep starts an affair with Sister Sage while still with Ambrosius	Deep	Ambrosius	65	20	Bandit	He gratifies himself while betraying and emotionally harming his octopus partner.
Deep tries to convince himself he just wants to hurt people and doesn’t care about sea life	Deep	Deep	35	25	Stupid	This self-deception worsens his mental instability and moral decay without real strategic gain.
Deep immediately denies A-Train’s claim that he’s too terrified of Homelander to leave	Deep	A-Train	45	45	Stupid	He clings to self-image instead of facing his fear, blocking any chance at genuine liberation.
