Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Spends years trying to avoid conviction and prison for racketeering	Junior	Law enforcement/justice system	70	10	Bandit	Avoiding prison benefits him while leaving his crimes’ victims without redress.
Succeeds in avoiding prison after years of house arrest	Junior	Junior	60	30	Intelligent	He preserves his own freedom somewhat and does not clearly worsen others’ situations at that point.
Mistakes Tony for a long-dead enemy and shoots him	Junior	Tony	10	5	Stupid	He gravely harms Tony and triggers his own permanent confinement with no gain.
Tony allows Junior to believe he’s the Don while being de facto boss	Tony	Junior	80	30	Bandit	Tony consolidates real power while letting Junior sit in a vulnerable, illusory role.
Junior leverages seniority and underlings to run things behind Tony’s back	Junior	Tony	65	20	Bandit	He gains some influence while undermining Tony and creating internal conflict.
Junior attempts to organize a hit on Tony	Junior	Tony	20	5	Stupid	The failed hit deepens his problems and endangers Tony with no lasting benefit.
Junior agrees to keep playing puppet boss to avoid Tony’s retribution	Junior	Tony	55	40	Intelligent	He lowers his own risk while helping maintain a workable power structure.
Junior plays a bemused-senior act to the feds	Junior	FBI/justice system	70	20	Bandit	Faking ignorance helps his legal position while obstructing justice somewhat.
Junior taxes Hesh at Livia’s suggestion	Junior	Hesh	65	20	Bandit	He extracts money for himself while straining relations and hurting Hesh financially.
Junior has Donnie murdered for joking about Tony	Junior	Donnie	15	0	Stupid	It eliminates a perceived slight but brings no real gain and needless risk.
Junior orders a preemptive hit on Tony that goes belly-up	Junior	Tony	15	5	Stupid	The failed attempt worsens his position and nearly kills Tony without benefit.
Junior and Livia discuss whacking Tony at Green Grove	Junior	Tony	20	15	Bandit	He plans to secure his power via murder but the conversation later incriminates him.
Junior intentionally orders a hit on Tony in Season 1	Junior	Tony	25	10	Bandit	He aims to preserve his authority by killing Tony, risking but not obviously worsening his own position yet.
Junior’s hit on Tony fails due to incompetent hitmen	Mikey’s hired hitmen	Tony	40	5	Bandit	They try to profit by killing Tony but only create danger and no lasting payoff.
After the failed hit, most people forgive Junior	Junior	Tony/Family	55	40	Intelligent	Their mutual toleration allows everyone, including him, to continue operating with reduced conflict.
Later, Junior with dementia mistakes Tony for a rival and shoots him	Junior	Tony	10	5	Stupid	Again he harms Tony and accelerates his own social and physical decline with no benefit.
Everyone shuns Junior after the dementia shooting	Family/crew	Junior	55	10	Bandit	They protect themselves emotionally and physically by isolating him at heavy cost to him.
Junior continues to advise Tony during house arrest	Junior	Tony	65	70	Intelligent	He stays relevant and helpful, giving Tony useful counsel without clear added harm.
Junior acts tough and in control around Tony and other gangsters	Junior	Other gangsters	55	50	Intelligent	Maintaining a façade preserves his status without evident direct harm to others.
Junior murders a rival at his favorite restaurant	Junior	Rival mobster	60	10	Bandit	He removes a competitor to secure power while causing direct harm to the rival.
Junior conspires with Livia to kill Tony	Junior	Tony	25	10	Bandit	He seeks to solve his power problem by killing Tony, creating grave risk and harm.
Junior claims the “conflict” with Tony was a feint to draw out Richie	Junior	Tony	60	50	Intelligent	Whether or not fully true, the maneuver ultimately gives Tony useful information and improves Junior’s standing.
Junior rejects Richie’s coup offer after seeing Richie lacks respect	Junior	Richie	70	60	Intelligent	He avoids backing a weak horse and helps stabilize leadership by not supporting Richie.
Junior tips Tony about Richie’s planned coup	Junior	Tony	75	70	Intelligent	He gains favor with Tony and helps avert a destabilizing internal war.
Junior has Dickie Moltisanti murdered for laughing at him	Junior	Dickie	25	5	Bandit	He indulges his ego by eliminating a perceived slight while causing serious harm and long-term blowback.
Junior slaps down Richie for talking about killing Tony	Junior	Ritchie	70	70	Intelligent	He protects Tony and the family’s stability while reinforcing his own moral and strategic line.
Junior declines to hit Tony when Richie suggests it	Junior	Tony	65	75	Intelligent	He avoids further treachery and the destructive fallout of a coup, benefiting both.
Junior gets the drug dealer who sold to a 14‑year‑old tracked down and killed	Junior	Drug dealer	55	35	Bandit	He gains reputation and “moral” satisfaction while inflicting extrajudicial, business-hurting violence.
Junior orders Mikey to kill Donnie over imagined insults	Junior	Donnie	20	5	Stupid	The killing just feeds his insecurity and risk with no real strategic payoff.
Junior has Dickie whacked in the rain‑slip incident	Junior	Dickie	25	5	Bandit	Again he gratifies wounded pride through murder while worsening long-run consequences.
Junior plots to kill a rival in the pilot episode	Junior	Rival mobster	60	15	Bandit	He seeks greater control via killing a rival at cost to others’ safety and order.
Junior fakes dementia to dodge criminal prosecution	Junior/Corrado	Justice system	75	15	Bandit	He gains a strong legal advantage while obstructing justice.
Junior refuses to become a state’s witness against Tony	Junior	Tony/Justice system	60	15	Bandit	He preserves pride and mafia standing while harming legal efforts and keeping Tony safe.
Junior uses his doctor’s office for meetings, assuming feds can’t bug it	Junior	FBI	65	20	Bandit	He tries to shield himself legally, though it backfires via the undercover nurse.
Junior flirts with an undercover nurse who is actually FBI	Junior	Junior	40	30	Helpless	His flirting gives him attention but exposes him to surveillance and legal jeopardy.
Junior flirts with a reporter, gets hit by boom mic, falls down stairs	Junior	Junior	20	50	Helpless	The attempt at charming her backfires into physical harm and likely triggers his decline.
Junior scoffs at Tony trying to kill Livia	Junior	Tony	60	45	Intelligent	He preserves his self-image and signals limits on violence toward parents without palpable added harm.
Junior runs from an FBI arrest at Jackie Jr.’s funeral	Junior	FBI	40	30	Helpless	His undignified attempt to flee provides minor momentary hope but worsens his embarrassment and legal optics.
Junior hedges between Richie and Tony, then chooses Tony	Junior	Tony/Richie	70	60	Intelligent	He aligns with the more stable, respected leader, improving his own survival and the family’s cohesion.
Junior orders Christopher set up for a mock execution	Junior	Christopher	40	30	Bandit	He terrorizes Christopher to assert control, gaining discipline at heavy emotional cost to Chris.
Junior repeatedly urges Tony to consider killing Christopher	Junior	Christopher	55	20	Bandit	He tries to remove a perceived liability, potentially benefiting the organization at Chris’s expense.
Junior warns people about Janice’s danger, even in dementia	Junior	Others around Janice	60	65	Intelligent	His accurate warnings can protect others and cost him little.
Junior encourages Tony to promote Ralph despite flaws	Junior	Tony/Ralph	70	55	Intelligent	He pushes for effective management that improves earnings and Tony’s control.
Junior promotes Bobby to a high position in his crew	Junior	Bobby	75	70	Intelligent	He rewards a reliable subordinate, strengthening both Bobby’s status and crew stability.
Junior relies on and praises surgeon John Kennedy despite flaws	Junior	Junior	55	45	Intelligent	Trusting the surgeon mostly benefits his own health without clear harm to others.
Junior maintains strict stance against drugs to children	Junior	Children/community	65	75	Intelligent	He sacrifices some profit to reduce harm to kids and honor local norms.
Junior liquidates Rusty Irish for selling drugs to children	Junior	Rusty Irish	50	40	Bandit	He enforces his code via murder, helping community somewhat while harming and intimidating others.
Junior attends funerals of old acquaintances to escape house arrest	Junior	Court/monitoring authorities	65	45	Intelligent	He gains small freedoms while performing socially accepted respect with little added harm.
Junior warns Tony early that Christopher is a loose cannon	Junior	Tony	70	80	Intelligent	He gives accurate risk assessment that could protect Tony and the organization.
Junior warns about Jackie Jr. being a moron	Junior	Those assessing Jackie Jr.	60	55	Intelligent	His accurate judgment can guide others away from relying on Jackie Jr.
Junior fakes dementia after a head injury for competency hearings	Junior	Justice system	75	15	Bandit	He leverages his condition to dodge trial, obstructing justice.
Junior conspires with Tony to appear mentally unfit to stand trial	Junior	Tony/Justice system	70	20	Bandit	Both aim to keep him out of prison at the expense of legal outcomes.
Junior uses a speakerphone in a meeting but doesn’t fully grasp it	Junior	Junior	45	50	Helpless	His tech ineptitude risks miscommunication with no offsetting benefit.
Junior authorizes Bobby’s “bump up” in rank	Junior	Bobby	75	70	Intelligent	He rewards loyalty and builds a more reliable leadership structure.
Junior expects Bobby to set aside grief and threaten a union rep	Junior	Bobby	65	35	Bandit	He advances business goals while disregarding Bobby’s emotional well-being.
Junior considers giving sneakers to an impoverished kid washing his car	Junior	Impoverished kid	60	80	Intelligent	The contemplated charity helps the boy and modestly boosts his own self-image.
Junior sends Bobby some money for his family in Season 6	Junior	Bobby’s family	70	80	Intelligent	He sacrifices funds to support a loyal subordinate’s family.
Junior ends his relationship with Bobbi over gossip about his sexual skill	Junior	Bobbi	40	45	Helpless	He protects his pride but loses a stable relationship over trivial gossip.
During breakup, Junior almost hits Bobbi but punches wall instead	Junior	Bobbi	30	40	Helpless	He harms himself and the relationship more than her, gaining nothing but momentary venting.
Junior smashes a pie in Bobbi’s face	Junior	Bobbi	35	30	Bandit	He asserts dominance and vents anger at her emotional and physical expense.
Junior sings Core ’ngrato, moving mobsters to tears	Junior	Other mobsters	70	80	Intelligent	He gains esteem and emotional connection, giving others a powerful shared moment.
