Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
She began dating actual jerks who didn't treat her with respect	Haley	Haley	20	20	Stupid	Knowingly dating jerks harms her and brings no indicated benefit to anyone.
After getting sick of it, she started to invert the trope (seeking good guys)	Haley	Haley & future partners	80	75	Intelligent	Choosing healthier partners benefits her and likely leads to better relationships for others.
She said on vacation that she'd kiss whoever they find on the island, guy or lady	Haley	Potential partner(s)	55	50	Intelligent	Playful openness may bring her enjoyment without shown harm or benefit to others.
She seemingly flirted with homeless car thief Joan	Haley	Joan	55	40	Bandit	Flirting entertains her while interacting with a criminal offers no clear upside to others.
She becomes a social media influencer and is hired to promote nightclubs	Haley	Employers & clubgoers	75	70	Intelligent	She earns good money and employers gain promotion without mentioned harm.
Phil disapproves of this and tries to steer her towards a more practical career	Phil	Haley	40	45	Helpless	His push likely strains her and doesn’t help, since her influencer work proves viable.
She demonstrates her skill as an influencer by using social media to sell Phil’s hard-to-sell house	Haley	Phil	85	90	Intelligent	She proves her value and directly helps Phil sell a problem listing.
Phil warns Luke that he needs to apply himself because they only have one basement	Phil	Luke	70	70	Intelligent	Honest warning may motivate Luke and costs Phil nothing.
She checks out her large bust in a mirror	Haley	Haley	60	50	Intelligent	A moment of self-affirmation benefits her with no effect on others.
She used to bully Alex as a big sister bully	Haley	Alex	60	20	Bandit	She gains social power/fun while emotionally harming Alex.
She tricks her parents into losing the no-technology contest so she could win	Haley	Phil & Claire	65	25	Bandit	She wins a petty game by undermining her parents’ effort and rules.
She fools her family into thinking she has a job as a waitress	Haley	Family	50	25	Bandit	The lie avoids short-term conflict but deceives them, offering no long-term gain.
She briefly teaches Alex how to get popular	Haley	Alex	55	75	Intelligent	She uses her social savvy to help Alex, gaining minor esteem herself.
As she matures she becomes far more appreciative of her family	Haley	Family	80	80	Intelligent	Her gratitude improves her own relationships and benefits family emotionally.
She becomes aware of how selfish she was and greatly tries to be a better person	Haley	People around her	85	85	Intelligent	Sincere self-improvement benefits her growth and others’ experience of her.
She carves "Alex Dunphy Do Me" under the bleachers to cheer Alex up	Haley	Alex	40	35	Stupid	Her crude attempt to help risks Alex’s reputation and doesn’t clearly help anyone.
She offers Alex advice regarding college and boys	Haley	Alex	70	80	Intelligent	Her guidance strengthens their bond and helps Alex navigate life.
She expresses fears their relationship would suffer when Alex left for college	Haley	Alex	65	70	Intelligent	Open emotional communication deepens their relationship for both.
She plays a game with young Luke	Haley	Luke	65	80	Intelligent	Shared play gives her enjoyment and benefits Luke emotionally.
She used to dress Luke for school so he would get attention like she used to	Haley	Luke	60	45	Bandit	She pursues vicarious popularity through Luke, with questionable benefit to him.
She does nothing when Alex tricks Luke about their dad’s ex being his real mother	Haley	Luke	55	20	Bandit	Her inaction spares her effort but leaves Luke in distress.
She is annoyed at Alex for lying to Luke about being adopted over a minor insult	Haley	Alex	55	65	Intelligent	Calling out Alex’s excessive lie defends Luke and shows Haley’s standards.
She frequently ignores things she isn't immediately interested in	Haley	People making bids for her attention	40	30	Stupid	Habitual inattention closes opportunities and disregards others’ needs.
She spends most of her time partying, drinking, smoking weed, and having a wild time	Haley	Haley & family	35	35	Stupid	Heavy partying risks her future and adds stress for family without clear long-term gain.
She uses her looks to convince men to do what she wants	Haley	Men she manipulates	65	30	Bandit	She gains favors at others’ expense by exploiting attraction.
She disregards other people's rules and wishes to do whatever she wants	Haley	Family & others	45	25	Bandit	She gets short-term freedom while reliably causing problems for others.
She treats others as unfair when caught, refusing responsibility	Haley	Those enforcing rules	40	25	Bandit	She preserves her ego by invalidating others’ legitimate grievances.
She talks Alex out of giving a mean-spirited graduation speech	Haley	Alex	75	85	Intelligent	She supports Alex in avoiding self-sabotage and social damage.
She makes impossibly inedible cupcakes for school	Haley	Cupcake eaters	45	30	Stupid	Her failed effort likely embarrasses her and mildly harms others’ experience.
She uses her looks and social skills to promote clubs on social media for $500 a night	Haley	Clubs & patrons	80	75	Intelligent	She earns significant income while driving business to the clubs.
She hugs Phil whenever he comes home when she is a child	Haley	Phil	80	90	Intelligent	Affection strengthens their bond and makes Phil happy.
As a teenager she grows distant and rebellious toward her parents	Haley	Phil & Claire	40	30	Stupid	Rebellion strains her most supportive relationships without clear personal gain.
She drives incompetently and once drives through a park	Haley	Park-goers & herself	20	10	Stupid	Dangerous driving endangers others and herself with no benefit.
