Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Christopher, high on heroin, slumps onto the sofa and accidentally kills Cosette by sitting on her	Christopher	Adriana's dog Cosette	10	5	Stupid	His reckless drug use kills a pet, brings Tony’s anger, and gives him no benefit.
Tony becomes livid at Christopher for recklessly killing someone else's pet	Tony	Christopher	55	30	Bandit	Tony preserves authority by intimidating Christopher, but offers no real help and adds emotional harm.
Christopher develops a heavy soda (Coca-Cola) habit after rehab as a substitute addiction	Christopher	Himself	35	55	Helpless	He reduces hard-drug use somewhat but creates another unhealthy dependence with limited broader benefit.
Christopher drives while high, crashes, and critically injures himself	Christopher	Himself and Tony	5	10	Stupid	His intoxicated driving nearly kills him and endangers Tony, without any compensating gain.
Tony, judging Christopher a dangerous liability, uses the post-crash moment to kill him	Tony	Christopher	70	5	Bandit	Removing Chris relieves Tony of a liability and worry but murders a loyal subordinate.
Senior mobsters repeatedly tell Christopher to be more responsible and work instead of goofing off	Tony and senior mobsters	Christopher	60	45	Intelligent	They try to improve his reliability and earnings, though mostly through harsh talk rather than support.
Christopher frequently drinks heavily and abuses substances despite obvious problems	Christopher	Himself and associates	10	20	Stupid	His addiction harms his health and reliability and creates risk and stress for others.
Other mobsters mock Christopher’s recovery efforts, undermining his attempts to get clean	Other mobsters	Christopher	60	15	Bandit	They gain amusement and in-group status while sabotaging his potential improvement.
Christopher aspires to be a respected mob boss and gain Tony’s approval and continues criminal work	Christopher	Himself and victims	40	25	Bandit	He gains status and income but ultimately dies early and harms many others in the process.
Christopher condemns Adriana to death because she is infertile and chooses to marry Kelli for pregnancy	Christopher	Adriana and Kelli	30	10	Bandit	He secures a biological child at huge moral and emotional cost to Adriana and himself.
Christopher frequently shows up late and apologizes to Tony for his irresponsibility	Christopher	Tony	35	40	Helpless	Chronic lateness hurts his standing while apologies slightly ease Tony’s irritation.
Christopher begs for his life during Junior’s mock execution	Christopher	Junior’s men	40	55	Intelligent	Swallowing pride preserves his life with little effect on others.
Christopher goes on the warpath after Brendan’s murder and executes Mikey Palmice	Christopher	Mikey Palmice	55	15	Bandit	He gains vengeance and status as an enforcer while escalating violence in the war.
Christopher kills his friend JT Dolan in a volatile moment	Christopher	JT Dolan	10	5	Stupid	He murders a marginally useful contact in a rage, gaining nothing and increasing his risks.
Christopher shoots a baker in the foot for making him wait in line	Christopher	Bakery employee	20	5	Stupid	A petty outburst harms the worker and brings him only fleeting ego gratification with serious downside.
Christopher “does a number two” in his pants during a mock execution	Christopher	Himself	30	60	Helpless	He suffers humiliation but saves no one; others only gain dark amusement.
Christopher frequently drinks heavily and abuses Adriana domestically	Christopher	Adriana	20	5	Stupid	Substance-fueled abuse erodes his relationship and stability without clear personal benefit.
Christopher chooses loyalty to the mob over Adriana and has Silvio kill her after she confesses being an informant	Christopher	Adriana	25	10	Bandit	He preserves his position and life in the mob at the cost of a loving partner and his own future peace.
Silvio kills Adriana and helps cover it as her abandoning Christopher	Silvio	Adriana and Christopher	60	10	Bandit	He protects the family’s security and his role while heinously eliminating and erasing her.
Christopher reacts defensively and rejects criticism during his intervention	Christopher	Himself and interveners	25	40	Helpless	He blocks a chance to improve his life and slightly discourages others’ willingness to help.
Christopher attempts to recover via rehab and AA attendance	Christopher	Himself and close circle	70	70	Intelligent	His efforts modestly improve his prospects and reduce risk to others, even if they’re fragile.
Other mobsters hold an intervention and push Christopher into rehab	Other mobsters	Christopher	65	65	Intelligent	They act to save an asset and reduce collective risk from his addiction.
Christopher avenges Brendan by confronting and killing Mikey Palmice	Christopher	Mikey Palmice	55	20	Bandit	He gains emotional satisfaction and earns mob credit while deepening cycles of violence.
Christopher volunteers to execute Vito for being gay	Christopher	Vito	35	10	Bandit	He seeks prestige through a killing that adds little benefit and entrenches homophobic violence.
Christopher hides Paulie’s role in the Pine Barrens fiasco from Tony	Christopher	Paulie	55	60	Intelligent	He protects Paulie and maintains crew stability, and gains some moral capital.
Christopher supports Ralph after Ralph’s son’s accident	Christopher	Ralph	60	70	Intelligent	Offering empathy enhances mutual loyalty and doesn’t materially harm anyone.
Christopher makes clear to Tony that Paulie wasn’t near Ralph when Ralph died, shielding Paulie	Christopher	Paulie	55	65	Intelligent	He reduces suspicion on Paulie and preserves group cohesion without obvious self-harm.
Christopher and Bobby talk A.J. out of buying a gun to avenge Tony’s shooting	Christopher and Bobby	A.J.	70	80	Intelligent	They prevent a likely catastrophic act and legal disaster with little cost.
Christopher refuses to sell drugs to Meadow and Hunter, shocked at their interest	Christopher	Meadow and Hunter	55	80	Intelligent	He forgoes minor profit to protect younger relatives from serious harm.
Christopher exploits his AA sponsor by getting him into Tony’s card game, covering losses, then trapping him in debt	Christopher	AA sponsor	65	15	Bandit	He profits financially and with Tony by ruining a friend’s recovery and finances.
Christopher beats his AA sponsor for not paying and repossesses his car	Christopher	AA sponsor	65	10	Bandit	He recovers money and property by violently worsening the sponsor’s life.
Christopher accepts Tony’s nepotistic protection (years of grooming as heir) while others resent it	Christopher	Other mobsters	60	30	Bandit	He gains status and shielding at the cost of crew cohesion and fairness.
Christopher terrorizes and shoots a donut shop employee in the foot for making him wait	Christopher	Store employee	20	5	Stupid	A trivial slight leads to senseless violence, risking blowback with no real gain.
Tony punches and harshly reprimands Christopher for shooting the donut shop worker	Tony	Christopher	60	55	Intelligent	Discipline curbs recklessness and protects the family from legal heat.
Christopher delivers a brutal, unprovoked beating to an acting classmate and breaks his own toe	Christopher	Acting classmate	10	10	Stupid	He harms another and injures himself over wounded pride.
Christopher sells out Adriana to Tony instead of entering witness protection with her	Christopher	Adriana	25	15	Bandit	He keeps his mob status and life short-term by sacrificing her safety and his moral integrity.
Christopher repeatedly relapses into drugs and alcohol after attempts at sobriety	Christopher	Himself and associates	15	20	Stupid	Each relapse damages his health and reliability and increases danger to others.
Christopher threatens JT Dolan into lying to Tony about the inspiration for Cleaver’s character Sally B.	Christopher	JT Dolan	40	25	Bandit	He tries to protect himself by coercing JT, but strains relationships and credibility.
Christopher murders JT Dolan after a dispute over gambling debts and disrespect	Christopher	JT Dolan	15	5	Stupid	He eliminates a non-threatening debtor, inviting risk without lasting gain.
Tony decides not to hand over Tony B. despite the risk of war, exposing Christopher and others as potential targets	Tony	Christopher and crew	65	15	Bandit	He protects Tony B. and his own feelings at the expense of the crew’s safety.
Christopher continues making Cleaver, a thinly veiled revenge film against Tony, despite obvious risks	Christopher	Tony	30	25	Bandit	He satisfies ego and artistic urges while poisoning relations with his patron.
Christopher attends AA/NA meetings regularly over time	Christopher	Himself and family	65	65	Intelligent	Participation modestly improves his functioning and reduces risk to loved ones.
Christopher avoids usual mafia hangouts to protect his sobriety, hindering his professional standing	Christopher	Himself and crew	45	55	Helpless	He helps his recovery somewhat but damages career prospects and relationships.
Mobsters mock Christopher’s sobriety and pressure him to drink again	Other mobsters	Christopher	60	20	Bandit	They gain short-term social ease while undermining his recovery and increasing risk.
Tony explicitly tells Christopher he’ll kill him if he doesn’t get clean, then later pushes him to drink to be “normal”	Tony	Christopher	55	15	Bandit	He uses fear to shape Chris then sabotages his sobriety for his own comfort.
Christopher drinks with Paulie after reconciling, relapsing and later shooting JT	Christopher	Himself and JT	20	10	Stupid	Rejoining the drinking culture leads to relapse and a needless killing.
Christopher relents and gives Meadow drugs because he fears she’ll seek them in the inner city	Christopher	Meadow	40	35	Bandit	He slightly reduces her environmental risk but directly facilitates her drug use.
Christopher kills Emil Kolar as his first murder and then continues killing with increasing ease	Christopher	Various victims	60	15	Bandit	He gains cred and position while inflicting escalating harm.
Christopher and Ally Boy Barese overkill Dino Zerilli, firing multiple headshots and extra shots after he’s dead	Christopher and Ally Boy Barese	Dino Zerilli	55	20	Bandit	They ensure a threat is eliminated but escalate brutality and potential heat.
Christopher hijacks trucks owned by a firm paying Junior for protection, despite being ordered to stop	Christopher	Junior’s interests	35	20	Bandit	He profits and feeds addiction while provoking lethal retaliation and internal conflict.
Brendan continues hijacking protected trucks with Christopher to feed their drug habits	Brendan	Truck owners and Junior’s regime	30	20	Bandit	He gains short-term money and drugs while incurring fatal retribution.
Junior orders retaliation: Brendan is killed and Christopher is subjected to a mock execution	Junior	Brendan and Christopher	70	15	Bandit	Junior reinforces discipline and control at the cost of a subordinate’s life and trauma.
Christopher regularly earns on the street for the family while higher-ups mostly manage	Christopher	Tony and captains	65	75	Intelligent	His work brings him income and significantly benefits the bosses’ revenue.
Christopher acts as Tony’s mouthpiece, relaying orders to shield Tony from racketeering charges	Christopher	Tony’s subordinates	70	60	Intelligent	He gains importance and trust while improving operational security for the family.
Christopher attends acting class and briefly cultivates his acting talent	Christopher	Himself	60	60	Intelligent	He explores a healthier outlet and personal growth with no clear harm.
Christopher abandons acting due to hyper-masculine mafia conditioning	Christopher	Himself	30	55	Helpless	He sacrifices a promising non-criminal path to remain acceptable in the mob culture.
Christopher as producer finances and makes Cleaver, pursuing a showbiz dream alongside mob life	Christopher	Himself and investors	55	45	Bandit	He gains some creative satisfaction and status but deepens conflict with Tony and risks capital.
Christopher refuses to sell drugs to Meadow and Hunter when they ask for study aids	Christopher	Meadow and Hunter	60	80	Intelligent	He protects them from starting or escalating drug use at trivial cost to himself.
Christopher comforts Carmela when Tony is shot	Christopher	Carmela	65	75	Intelligent	He offers emotional support that strengthens family bonds with no downside.
Christopher confronts A.J. with Bobby about buying a gun to avenge Tony and dissuades him	Christopher and Bobby	A.J.	75	80	Intelligent	They prevent a reckless shooting and protect A.J. and the family from major fallout.
Christopher regularly buys Happy Meals and is affectionate with young Meadow	Christopher	Meadow	65	85	Intelligent	He nurtures a positive bond with a child, benefitting both without harm.
Christopher condemns Tony’s hypocrisy and others’ faults during his intervention speech	Christopher	Tony, Silvio, Paulie	45	40	Helpless	His points are valid but expressed defensively, worsening relations and sabotaging treatment.
Christopher complains about Tony B’s preferential treatment after Billy Leotardo’s murder	Christopher	Tony	40	45	Helpless	His criticism has merit but mainly alienates Tony and brings no improvement.
Christopher lies to Tony about dating Kaisha to hide his relationship with Julianna	Christopher	Tony	50	35	Bandit	He protects his secret romance but erodes trust with his boss.
Christopher continues to cheat on Adriana with various women	Christopher	Adriana	40	20	Bandit	He gains short-term pleasure while undermining a key relationship.
Christopher pushes Adriana around and berates her as a “whore” for having a sexual past	Christopher	Adriana	25	15	Stupid	He degrades a loyal partner, damaging their bond without real gain.
Christopher nearly has sex and gets high with Adriana and Tony in a car before they crash, fueling Tony’s later suspicions and resentment	Christopher	Tony and Adriana	30	25	Bandit	He chases thrill and drugs, worsening an already volatile triangle.
