Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Juliet flips Kate over in combat	Juliet	Kate	70	20	Bandit	She decisively wins a fight, protecting her own position while physically overpowering Kate.
Juliet frequently gets the better of other people in fights	Juliet	Other people	75	30	Bandit	Her superior combat skills secure advantages for herself while generally beating or restraining others.
Juliet is a crack shot with a pistol and uses it	Juliet	Opponents	75	25	Bandit	High firearm skill benefits her survival at the expense of those she confronts.
Juliet pops her own dislocated shoulder back in while injured	Juliet	Juliet	85	50	Intelligent	She quickly treats her own injury, improving her condition without affecting others.
Juliet aids the survivors while acting as Ben’s mole	Juliet	Survivors & Ben	60	40	Helpless	Her double role risks herself to help survivors but also serves Ben, creating mixed and dangerous consequences.
Juliet fully defects to the survivors’ side and works with Jack to derail Ben’s plans	Juliet	Ben	70	75	Intelligent	She abandons the Others to support the survivors, helping them while undermining Ben’s harmful agenda.
Juliet throws in with the survivors as soon as she has the opportunity	Juliet	Survivors	75	80	Intelligent	Defecting gives her safety and belonging and clearly benefits the survivors’ strength.
Juliet returns in the finale	Juliet	Ensemble	60	60	Intelligent	Her reappearance contributes to mutual closure and reunion without clear harm.
Juliet hosts her own book club	Juliet	Book club members	70	70	Intelligent	She creates a social/intellectual space that enriches both herself and others.
Juliet “puts you down” when crossed	Juliet	Those who cross her	65	35	Bandit	Her readiness to neutralize threats protects her but directly harms or intimidates opponents.
Edmund Burke walks all over Juliet and flaunts his affair	Edmund	Juliet	80	5	Bandit	He gains ego/pleasure and control while severely harming Juliet emotionally and professionally.
A literal bus crash kills Edmund, freeing Juliet	Bus driver / accident	Edmund	10	70	Helpless	Edmund dies (extreme self‑harm) but this incident liberates Juliet from his control.
Juliet leaves the Others to join the Survivors	Juliet	Others	75	80	Intelligent	She escapes an abusive faction and strengthens a more cooperative group.
Juliet acts as a mole for the Survivors against the Others	Juliet	Others	60	35	Bandit	Her infiltration serves her and the survivors while undermining and endangering the Others.
Juliet detonates the hydrogen bomb to reverse the timeline	Juliet	Timeline inhabitants	5	65	Helpless	She knowingly sacrifices herself for a potential large-scale benefit to others.
Juliet helps Sun with her pregnancy	Juliet	Sun	70	90	Intelligent	She uses her medical expertise to safeguard Sun and the baby with no drawback to herself.
Ben sends Juliet to infiltrate the Survivors	Ben	Survivors	80	20	Bandit	He positions his agent to gain strategic advantage over the survivors at their expense.
Juliet instantly confides her true mole role in Jack	Juliet	Jack	55	80	Intelligent	Trusting Jack risks her cover but secures cooperation and protection for the survivors.
Juliet pretends to aid the Others while truly helping the Survivors	Juliet	Others	60	35	Bandit	She benefits herself and the survivors while systematically deceiving and harming the Others’ interests.
Juliet dislocates her shoulder multiple times and keeps shrugging it off	Juliet	Juliet	40	50	Helpless	She tolerates recurring injury rather than preventing or properly treating it, harming herself without clear benefit.
Young Widmore threatens to cut off Juliet’s arms	Widmore	Juliet	85	5	Bandit	He asserts power through the threat of brutal harm, terrifying her for his own leverage.
Juliet gives a “Reason You Suck” speech to Sawyer and Sayid	Juliet	Sawyer & Sayid	60	70	Intelligent	She shames them into backing down and secures Claire’s medication, aiding both herself and Claire.
Juliet takes back the medication for Claire despite their distrust	Juliet	Claire	70	85	Intelligent	She insists on delivering life-saving medicine, protecting Claire and affirming her own agency.
Juliet does everything in her power to save young Ben’s life	Juliet	Young Ben	60	90	Intelligent	She expends effort and risk to treat a critically wounded child despite his future self’s cruelty.
Jack refuses to help the wounded young Ben	Jack	Young Ben	65	10	Bandit	He spares himself moral and emotional burden while letting a child nearly die.
Juliet insists “He’s not Ben yet. He’s just a kid” to push Jack to act	Juliet	Jack	60	80	Intelligent	She confronts Jack’s bias to try to compel him to perform necessary surgery, aiming to save a life and his conscience.
Juliet builds a life and relationship with Sawyer on the island	Juliet	Juliet & Sawyer	85	85	Intelligent	Their shared domestic life benefits both partners emotionally and socially.
Juliet supports Jack’s bomb plan because she fears losing Sawyer	Juliet	Juliet	20	30	Helpless	Her insecurity drives her to back a highly risky plan that kills her and destabilizes others’ lives.
Sawyer desperately grabs Juliet’s hand to save her from falling	Sawyer	Juliet	30	70	Helpless	He risks himself and fails to save her, emotionally devastating himself while only minimally helping.
Juliet detonates the bomb while fatally wounded to complete the plan	Juliet	All survivors	10	60	Helpless	Sacrificing her last moments to trigger the device gravely harms herself for a possible overall rescue.
Juliet works as an OB/GYN for the Others	Juliet	Others	70	80	Intelligent	She applies her medical skills to address fertility issues, aiding the community and gaining a valued role.
Juliet works as a medic for the Survivors	Juliet	Survivors	80	90	Intelligent	Her medical support repeatedly benefits the group and affirms her status and purpose.
Juliet commits to always having Sawyer’s back as his Lancer	Juliet	Sawyer	80	80	Intelligent	Her loyalty strengthens their leadership and mutual trust, aiding both her partner and the community.
Sawyer takes over as leader in Season 5	Sawyer	Survivors	75	75	Intelligent	His leadership offers structure and protection, and he gains authority and stability.
Juliet drinks on the beach after the freighter explodes instead of breaking down	Juliet	Juliet	55	50	Intelligent	Maintaining stoic composure helps her cope without altering others’ situation.
Sawyer assumes Juliet is celebrating their imminent escape	Sawyer	Juliet	55	50	Intelligent	His misreading brings him brief emotional relief without clear impact on anyone else.
Juliet refuses to hurt young Ben even to avoid her own future suffering	Juliet	Young Ben	40	85	Helpless	She relinquishes a chance to spare herself later torment in order to protect an innocent child.
Juliet works again with ex-husband Edmund despite his treatment of her	Juliet	Edmund	30	60	Helpless	Continuing under an abusive boss harms her self-worth while supporting his professional success.
