Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Lisa borrows Bart's old catchphrase "Don't have a cow, man" to seem cool with beach kids	Lisa	Beach kids	60	40	Intelligent	She gains social approval and coolness with no shown harm to others.
Bart complains that Lisa stole his catchphrase	Bart	Lisa	40	45	Helpless	His complaint brings no benefit and only mild friction with Lisa.
Marge points out Bart hasn't used the catchphrase in four years	Marge	Bart	55	60	Intelligent	She diffuses the dispute with a factual, low‑conflict correction.
Bart asks "how old is this??" after seeing "underachiever and proud of it" in his record	Bart	School record system	55	55	Intelligent	He questions outdated labeling, gaining information/awareness without harm.
Bart often calls Homer by nicknames or name, makes rude jokes, and jeopardizes his life for fun	Bart	Homer	35	10	Bandit	He gains amusement and autonomy at significant risk and distress to Homer.
Marge in early seasons calls Bart her "special little guy"	Marge	Bart	70	80	Intelligent	She strengthens emotional bond and his self‑esteem with no harm.
Bart protests parental displays of affection and wakes screaming from nightmare of Homer kissing him	Bart	Homer and Marge	30	40	Helpless	His rejection of affection lowers his own comfort and family warmth.
Adults predict a bad future for Bart from his earliest days	Adults	Bart	55	20	Bandit	They feel justified/validated but undermine a child’s prospects and self‑image.
Bart develops crushes on rebellious girls, later Mary Spuckler and Jenda	Bart	Romantic interests	55	55	Intelligent	His attractions give him normal emotional experiences without clear harm.
Bart admits being "a little attracted to Milhouse" (possibly to annoy Homer)	Bart	Homer	60	35	Bandit	He gets the satisfaction of needling Homer, potentially causing Homer discomfort.
Bart poses as Ralph's date so Ralph can attend Krusty Anniversary Special	Bart	Ralph	65	75	Intelligent	He helps Ralph achieve a goal and seems to enjoy the mischief.
Bart becomes close to Nelson; episode ends in Brokeback Mountain parody	Bart	Nelson	60	60	Intelligent	He gains companionship and emotional complexity with no stated downside.
After Krabappel's death, Bart writes "We'll really miss you, Mrs. K" sadly on the chalkboard	Bart	Mrs. Krabappel’s memory	70	80	Intelligent	He processes grief and honors her, giving comfort to viewers/characters.
Lisa’s micro‑civilization initially sees Bart as "The Devil" after his destructive actions	Bart	Micro‑civilization	20	10	Stupid	His interference terrifies and harms them while giving him no clear benefit.
Bart escalates a school strike by playing Krabappel and Skinner against each other	Bart	Teachers and Skinner	65	15	Bandit	He gets school closure/chaos and attention while harming school stability.
Homer and Marge call babysitting service to get a sitter for the kids	Homer and Marge	Babysitting service	65	60	Intelligent	They seek childcare to support their relationship; any inconvenience is minor.
Receptionist posts Simpsons kids’ heads on "NO! NO! NO!" board and denies them a babysitter	Receptionist	Simpson children	60	25	Bandit	She protects her service and sitters at the cost of stigmatizing the kids.
Homer calls back under fake name "Sampson family" to obtain a babysitter	Homer	Babysitting service	55	30	Bandit	He secures childcare by deception, wasting service resources and trust.
Babysitter in "War of the Simpsons" runs off screaming at the sight of Bart	Babysitter	Bart	40	20	Helpless	She protects her own nerves but sacrifices potential income and overreacts.
Homer and Marge decide to have Grampa babysit instead	Homer and Marge	Grampa	60	60	Intelligent	They secure childcare via family, which works without described harm.
Abby's sister tells Homer that babysitting the Simpsons "destroyed" Abby	Abby's sister	Homer	55	30	Bandit	She shields Abby from further trauma but gives Homer no constructive path forward.
Bart is blamed in court; judge cites "emotionally‑shattered babysitters" as character testimony	Judge	Bart	50	20	Bandit	The judge bolsters a case using biased testimony, reinforcing Bart’s bad label.
In "My Sister, My Sitter" Bart sabotages Lisa's babysitting by misbehaving and prank‑calling	Bart	Lisa	30	15	Bandit	He asserts dominance and gets petty fun at serious cost to Lisa’s success.
Town avoids Simpsons as potential guardians; collective avoidance when word gets out	Townspeople	Simpson family	55	30	Bandit	They protect their own families while socially isolating the Simpsons.
Bart helps Edna win Teacher of the Year by presenting himself and vouching for her toughness	Bart	Edna Krabappel	75	85	Intelligent	He gains pride and a better relationship; she earns recognition and reward.
Bart cuts the head off Jebediah Springfield’s statue for the thrill	Bart	Town of Springfield	65	15	Bandit	He gains notoriety and excitement while hurting town pride and cohesion.
Bart later apologizes for the statue incident after soul‑searching	Bart	Town/community	70	80	Intelligent	He repairs relationships and matures emotionally, benefiting everyone.
Bart burns Lisa's Thanksgiving centerpiece	Bart	Lisa	35	15	Bandit	He indulges jealousy/impulse, seriously hurting Lisa’s feelings and recognition.
Bart goes to homeless shelter, appears on news, then returns home to apologize	Bart	Family	75	80	Intelligent	He learns empathy and responsibility, restoring family harmony.
Bart ruins Homer and Marge’s marriage to avoid homework in "Postcards from the Wedge"	Bart	Homer and Marge	40	10	Bandit	He briefly evades schoolwork at the extreme cost of his parents’ relationship.
Bart threatens Skinner with his peanut allergy to control him	Bart	Principal Skinner	60	10	Bandit	He exerts power and gets concessions while endangering Skinner’s health.
Bart exploits Homer’s vow not to punish him, committing blatantly illegal acts	Bart	Homer and community	55	10	Bandit	He enjoys impunity and thrills, increasing harm and chaos around him.
In "Peeping Mom" Bart steals a bulldozer to destroy the Springfield sign and city property	Bart	Springfield	40	5	Bandit	He gets kicks and reputation at enormous material damage to the town.
Bart occasionally treats animals gently (SLH, Stampy, Duncan, bird eggs, Lou)	Bart	Animals	70	85	Intelligent	He gains emotional fulfillment and they receive care and protection.
Bart raises the bird’s eggs after accidentally shooting the mother	Bart	Baby birds	75	90	Intelligent	He atones, learning responsibility while ensuring the chicks’ survival.
Bart refuses to steal from church plates or teacher’s editions despite bad influence	Bart	Potential victims	70	75	Intelligent	He forgoes easy gain to uphold a moral line, protecting others.
Bart is horrified when Homer nearly strangles Maggie after he cut her hair for a prank	Bart	Maggie	40	40	Helpless	His prank backfires, endangering Maggie and distressing himself.
Bart objects when Homer shovels grease directly into Marge’s car	Bart	Marge	60	70	Intelligent	He protects Marge’s property and warns Homer, at little cost to himself.
Bart is furious when someone hurts his dog and is ready to attack Mr. Burns	Bart	Mr. Burns	40	60	Helpless	His protective rage risks punishment while affirming care for his pet.
Bart is unnerved by Stewie’s torture of Bart’s enemies in crossover	Bart	Stewie’s victims	60	70	Intelligent	He gains moral clarity and acts as a check on escalating cruelty.
Bart refuses to shoot a deer; cries when Homer pushes him	Bart	Deer	70	80	Intelligent	He preserves his empathy and spares an animal’s life.
Bart is horrified by idea of skateboarding naked in the movie before being coerced	Bart	Bystanders	40	50	Helpless	He suffers embarrassment and fear for only fleeting chaotic amusement of others.
Bart expresses concern that Homer ran from donating a kidney to Grampa	Bart	Homer and Grampa	65	70	Intelligent	He upholds a life‑saving norm and shows moral insight with no harm.
Bart mocks Homer often but resents when others insult Homer	Bart	Other insulters of Homer	55	65	Intelligent	He defends family dignity, reinforcing bonds despite his own behavior.
Bart agrees to be used by Edna to terrorize Lisa’s bully substitute teacher into quitting	Bart	Substitute teacher	60	25	Bandit	He strengthens Lisa’s situation but ruins the teacher’s job and reputation.
Bart helps Lisa keep her college fund through poker in "Gone Abie Gone"	Bart	Lisa	70	80	Intelligent	He uses risk and cunning to preserve her future resources.
Bart later poses as Sideshow Bob to trick Lisa into learning gambling’s danger	Bart	Lisa	65	75	Intelligent	He deceives her short‑term to teach a lesson that protects her long‑term.
Bart defends Lisa when Nelson threatens her in "Das Bus"	Bart	Nelson	75	85	Intelligent	He risks retaliation to protect Lisa, strengthening sibling bond.
Bart takes the blame for Lisa’s theft of teacher’s guides in "Separate Vocations"	Bart	Lisa	80	85	Intelligent	He sacrifices his own record to save Lisa’s future and self‑image.
Bart immediately attacks Nelson’s crony who stole Lisa’s muffins in "Bart the General"	Bart	Nelson’s gang	65	75	Intelligent	He risks a fight to defend Lisa’s effort and dignity.
Bart spends his entire Krusty cereal settlement to buy Lisa Bleeding Gums’s album	Bart	Lisa	80	90	Helpless	He gives up his windfall to deeply comfort Lisa in grief.
Bart helps Lisa at military school in "The Secret War of Lisa Simpson"	Bart	Lisa	70	80	Intelligent	He supports her perseverance and grows in responsibility.
Bart helps Lisa find and preserve her college fund again in "Gone Abie Gone"	Bart	Lisa’s college fund	70	80	Intelligent	He protects her financial future through effort and skill.
Bart teams with Homer to get revenge on Moe for not crediting Lisa in "Moe’N’a Lisa"	Bart	Moe	65	60	Intelligent	He defends Lisa’s recognition, with only limited consequences for Moe.
