Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Stitches up Jack’s side wound	Kate	Jack	70	80	Intelligent	Helps Jack medically with no evident downside to herself.
Phones Mars on Holy Days to manage being on the run	Kate	Mars (indirectly)	40	55	Helpless	Contacting her pursuer risks her safety while providing him useful info/closure.
Gives anguished declaration of love and kiss to Jack as he stays to die	Kate	Jack	60	70	Intelligent	Provides emotional support and closure for both with little downside.
Applies double standards and selfish behavior early on	Kate	People around her	60	30	Bandit	Her selfish choices benefit her at others’ social/emotional expense.
Gets caught and used by the Others to send search group back	Kate	Search group	10	20	Helpless	Her capture harms her and partially misdirects the group.
Acts sweet and innocent to get out of scrapes	Kate	Authorities / other survivors	65	20	Bandit	Her manipulation protects her at the cost of others’ informed consent/justice.
Deals finishing blow to the Man in Black	Kate	Man in Black	80	90	Intelligent	Eliminating a major threat protects her and others.
Commits murder and repeated crimes in flashbacks	Kate	Victims/society	55	10	Bandit	Her crimes serve her aims while harming or endangering others.
Volunteers to donate blood to young Ben	Kate	Young Ben	60	80	Intelligent	Sacrifices comfort/health risk to save a child with no clear self-gain.
Tells Sawyer “I’m up here” when he ogles her	Kate	Sawyer	55	60	Intelligent	Reasserts boundaries and slightly pushes Sawyer toward respectful behavior.
Cannot admit her feelings, confessing only under stress	Kate	Herself & love interests	30	50	Helpless	Her emotional avoidance mostly harms her relationships with little benefit.
Engages in childhood romance/promise with Tom	Kate	Tom	65	70	Intelligent	Mutually affectionate bond until his unrelated death.
Repeatedly gets kidnapped by the Others	Kate	Kate	15	40	Helpless	Her frequent captures endanger her with limited benefit to others.
Attempts to steal Sawyer’s place on the raft and pose as Joanna	Kate	Survivors / authorities	70	10	Bandit	Trying to secure escape and false identity benefits her while deceiving and endangering others.
Sawyer exposes Kate’s raft plan and criminal past	Sawyer	Other survivors	60	75	Intelligent	Protects the group’s interest in a fair raft spot and informed trust with minor social fallout.
Shoots the Man in Black as he is about to kill Jack	Kate	Jack	80	85	Intelligent	Saves Jack and herself by removing an immediate lethal threat.
Sutures Jack’s wound despite fear and uncertainty	Kate	Jack	70	85	Intelligent	Overcomes fear to provide life-saving aid, also gaining confidence.
Stages a bank robbery for her own benefit	Kate	Bank/staff	65	10	Bandit	Commits major crime for personal gain while threatening others.
Shoots her partner and accomplices to stop killing during robbery	Kate	Accomplices	40	30	Stupid	Kills allies, ending threat but also destroying her protection and worsening her legal position.
Is aghast at Jack and Sayid torturing Sawyer	Kate	Sawyer	55	70	Intelligent	Opposes unnecessary torture, protecting Sawyer and some group morality.
Refuses to let child Ben die after Sayid shoots him	Kate	Young Ben	50	75	Intelligent	Acts on principle to save a child despite risk that he’ll become an enemy.
Harbors intense self-loathing that drives selfish decisions	Kate	Kate & close others	20	30	Stupid	Her self-hatred pushes her into choices that harm both herself and her relationships.
Agrees to lie about the Island on return to civilization	Kate	Wider public	60	30	Bandit	Protects herself and the Oceanic Six at the expense of truth and potential public benefit.
Assures Jack she’ll always have his back	Kate	Jack	70	75	Intelligent	Provides loyalty and emotional support, strengthening both.
Tries to talk Jack out of reckless actions (returning, not saving Ben, detonating bomb)	Kate	Jack	60	70	Intelligent	Attempts to reduce risk to Jack and others with limited cost to herself.
Gives Jack a last kiss when he is mortally wounded	Kate	Jack	55	75	Intelligent	Offers him comfort and closure at the cost of emotional pain to herself.
Willing to go to prison to keep Aaron from her toxic mother	Kate	Aaron	40	80	Helpless	Sacrifices her own freedom to protect Aaron’s wellbeing.
Kicks Jack out when his behavior becomes erratic around Aaron	Kate	Jack	60	70	Intelligent	Protects Aaron and herself from Jack’s instability, possibly prompting him to confront his issues.
Lectures Locke about love while refusing to rescue the man who loved her and Aaron’s real mother	Kate	Locke / imprisoned man / Claire	55	25	Bandit	Claims moral high ground while prioritizing her own emotional/security needs over fairness to others.
Murders Wayne by blowing up the house	Kate	Wyne / household	55	5	Bandit	Removes her abuser and personal tormentor through lethal violence and property destruction.
Feels down when ostracized after her crimes are exposed	Kate	Kate	20	50	Helpless	Her hurt feelings stem from justified reactions to her own past, harming only herself.
Adopts many aliases while on the run	Kate	Society/authorities	55	25	Bandit	False identities help her evade capture while obstructing justice.
Murdering Wayne out of disgust at his being her biological father	Kate	Wayne	50	5	Bandit	Eliminates a source of personal revulsion and abuse through an extreme, harmful act.
Has sex with Sawyer after seeing Jack close to Juliet	Kate	Sawyer	60	40	Bandit	Seeks emotional/sexual solace while using Sawyer in a love-triangle dynamic.
Uses names of saints as aliases	Kate	Society/authorities	55	25	Bandit	Stylized aliases still mainly serve evasion and deception.
Becomes more of a hero over time through character development	Kate	Survivors	75	80	Intelligent	Her growth improves her life and the welfare of others.
Tracks down Sawyer’s daughter Clementine after leaving the island	Kate	Clementine	65	80	Intelligent	Provides connection and support to Clementine, also honoring Sawyer.
Acts as “Auntie Kate” to Clementine	Kate	Clementine	70	85	Intelligent	Offers ongoing affectionate support, enriching both their lives.
Adopts Aaron after Claire disappears	Kate	Aaron	70	85	Intelligent	Takes responsibility for a vulnerable child, giving him care and family.
Rebels against being told what to do	Kate	Authority figures	55	45	Bandit	Her contrariness preserves autonomy but often undermines group plans.
Saves young Ben after Sayid shoots him	Kate	Young Ben	50	75	Intelligent	Again chooses to preserve a child’s life despite known future risks.
Uses sexualized “fanservice” moments to navigate interactions (e.g., with Sawyer, Charlie)	Kate	Men on island	60	35	Bandit	Incidental or strategic use of attractiveness can gain leverage while distracting/impacting others.
