Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Slapping her kids as primary parenting method	Mom	Her children	55	10	Bandit	She vents and exerts control at minor benefit to herself while clearly abusing and harming her kids.
Using toddler sons as human shields during explosive demo	Mom	Walt and Larry	30	0	Bandit	She protects herself in a dangerous experiment at extreme risk to her children’s safety.
Weaponizing children’s toys and selling them	Mom	Customers / public	85	15	Bandit	She profits from selling dangerous toys, gaining wealth while endangering or harming others.
Maintaining public image despite weaponized toys	Mom	Public	80	30	Bandit	Her reputation and business are preserved while the public remains misled about her true nature.
Ruining relationship with Professor via arms dealing	Mom	Professor Farnsworth	20	15	Helpless	Her profiteering costs her a valued romantic relationship, mildly benefiting arms buyers but harming herself emotionally.
Boasting about new sixteen-foot models	Mom	Professor Farnsworth	70	30	Bandit	She pursues bigger, more dangerous products for profit and ego, worsening safety and trust.
Rejecting Professor after his “Go to Hell”	Mom	Professor Farnsworth	40	20	Helpless	Her refusal to change entrenches the breakup, hurting herself emotionally more than any gain from pride.
Having employees physically ejected via press or donkey	Mom	Employees	60	10	Bandit	She asserts power and maybe deters dissent, at the cost of severely harming or endangering workers.
Having robots whipped for not going “fast enough”	Mom	Robot workers	65	5	Bandit	She tries to squeeze productivity through cruelty despite design limits, harming robots with little real gain.
Ordering “shoot anyone who doesn’t listen hard enough” as motivation	Mom	Employees / subordinates	55	5	Bandit	Intimidation gives her control but risks killing workers and damaging operations.
Trying to take over the world with her robotics company	Mom	Humanity	80	5	Bandit	Successful domination would enormously benefit her power/wealth while gravely harming everyone else.
Hating Mother’s Day because Farnsworth left her	Mom	Herself	30	60	Helpless	Her unresolved bitterness makes her miserable on a day meant to celebrate her, while her robots still gain an outlet for affection.
Presenting herself publicly as a matronly grandmother persona	Mom	Public	80	30	Bandit	Her fake image protects her business and status while misleading others about her abusiveness.
Calling herself a “son of a me” / embracing insult	Mom	Herself / son	55	45	Intelligent	She uses self-referential insult humor to normalize her harshness, mildly asserting dominance without clear extra harm or gain.
Flaunting wicked nature when not maintaining image	Mom	Those around her	65	25	Bandit	She gains satisfaction and fear-based control while making others’ lives worse.
Slapping Walt when he flatters her	Mom	Walt	60	30	Bandit	She reinforces dominance with physical abuse, gaining ego gratification at her son’s expense.
Masquerading as kindly old lady to hide plans for domination	Mom	Public / regulators	85	25	Bandit	The disguise boosts her power and avoids accountability while enabling future harms.
Berating her son as “son of a me” in the game	Mom	Her son	60	35	Bandit	She asserts control and demeans him, getting emotional payoff while hurting his dignity.
Verbally abusing sons and having Walt slap the others (early episodes)	Mom	Her sons	60	20	Bandit	She enforces obedience through delegated violence that harms her sons’ relationships and well-being.
Personally slapping all her sons in later episodes	Mom	Her sons	55	15	Bandit	More direct abuse keeps her in control at ongoing cost to their physical and mental health.
Treating Zoidberg genuinely kindly	Mom	Zoidberg	70	80	Intelligent	She gains a positive relationship and some emotional warmth while clearly benefiting Zoidberg.
Taking swift deadly vengeance on anyone exploiting her sons	Mom	Those exploiting her sons	65	20	Bandit	She protects her monopoly over her sons while violently harming others beyond any real benefit to the boys.
Initially suspecting Fry wants to ruin her business	Mom	Fry	50	40	Helpless	Her suspicion wastes effort and strains relations with little gain and minor trouble for Fry.
Leaving without fuss once she sees Fry just wants anchovies	Mom	Fry / bystanders	55	70	Intelligent	She avoids a pointless conflict, minimally sacrificing any leverage while sparing Fry and others from trouble.
Sending every robot in the world into revolution against humans	Mom	Humanity	80	5	Bandit	If successful, she’d gain enormous power through her robot army while causing mass harm to humans.
Wearing a fat suit to appear like an innocent grandma	Mom	Public	80	35	Bandit	She preserves her brand and income while deceiving the public about her real nature.
Discarding the fat suit in private to reveal her true body	Mom	Herself	60	60	Intelligent	She improves her comfort and mobility in private without impacting others.
Using humor about corruption in ads to distract from crimes	Mom	Public / regulators	85	20	Bandit	She shields herself from scrutiny and continues profiting while society stays unaware of worse offenses.
Dropping her sweet act after cutting a TV ad	Mom	Crew / close associates	60	40	Intelligent	She conserves effort by only acting for cameras, minimally affecting insiders who already know the truth.
Slapping Larry when he tries to reassure her	Mom	Larry	55	25	Bandit	She vents bitterness on him, hurting their relationship for minor emotional release.
Taking fierce exception to her sons being cheated in online gaming	Mom	Sons’ cheater	60	30	Bandit	She protects their interests but primarily asserts ownership and punishes others harshly.
Having Mother’s Day cards pulped into product material	Mom	Robots / customers	80	10	Bandit	She gains cheap raw materials and profit while wasting sincere affection and deceiving senders.
Checking the Mother’s Day cards for money before pulping	Mom	Robots	85	5	Bandit	She gains any enclosed cash while treating the senders’ emotions with contempt.
Building her robot company specifically to create robot slaves	Mom	Robots	90	5	Bandit	She maximizes her wealth and power through deliberate robot exploitation and enslavement.
Continuing abusive boss practices after Hermes resigns	Mom	Hermes / staff	55	25	Bandit	She loses a useful employee but keeps a culture of fear that maintains her control.
Founding her company for total economic domination	Mom	Global economy	90	10	Bandit	She aims for massive personal gain while concentrating power and risk that can harm others.
Repurposing Mother’s Day gifts as fake cancer cures	Mom	Desperate patients	85	0	Bandit	She profits enormously from selling false hope while gravely endangering and exploiting the sick.
Dreaming of utterly destroying Professor Farnsworth	Mom	Professor Farnsworth	55	20	Bandit	Her fixation gives her some emotional drive but is aimed at future severe harm to him.
