Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Leslie takes time off work	Leslie	Parks Department / City of Pawnee	60	10	Bandit	Her rest helps her personally but causes the entire department to stall without her.
Leslie realizes she needs to stop being a control freak (repeatedly)	Leslie	Leslie	40	60	Helpless	She gains insight that could help everyone but fails to retain it, so she only mildly benefits and others benefit more.
Leslie makes a Precision F-Strike at Ann due to needle phobia	Leslie	Ann	45	20	Stupid	Her outburst vents fear but damages Ann’s feelings/proximity with no real self-gain.
Leslie considers using immoral methods to achieve goals	Leslie	Pawnee citizens	35	35	Stupid	Entertaining unethical shortcuts stresses her conscience and would hurt public integrity if enacted, with no realized upside in-story.
Leslie rejects immoral methods out of guilt	Leslie	Pawnee citizens	70	80	Intelligent	She preserves her integrity and protects others from harm by refusing unethical shortcuts.
Leslie consistently goes up against impossible odds and succeeds	Leslie	Pawnee citizens	90	85	Intelligent	Her persistence advances her career satisfaction while producing large civic benefits.
Leslie’s lies fall flat and she rats herself out	Leslie	Various others	20	55	Helpless	Her bad lying harms her own position while yielding more honesty and clarity for others.
Leslie overextends herself to ~100 hours per week for job and campaign	Leslie	Her colleagues / campaign team	10	60	Helpless	Extreme overwork harms her health and performance but helps sustain both job and campaign for others’ benefit.
Leslie keeps making minor blunders from neglect on either side of her work life	Leslie	Pawnee citizens / campaign supporters	30	30	Stupid	Hurting both her own prospects and service quality yields net losses all around.
Leslie decides to reduce her day-job hours to ten per week	Leslie	Pawnee citizens / campaign team	80	70	Intelligent	Rebalancing preserves her health and effectiveness while still serving both roles better overall.
Leslie becomes extremely angry when pushed too far	Leslie	People pushing her	40	35	Stupid	Losing her temper provides little benefit to her and strains relationships, with limited deterrent value.
Leslie counts backward from a thousand by sevens to calm down	Leslie	People around her	75	75	Intelligent	Using a coping strategy protects her own regulation and spares others from her anger.
Leslie resorts to childish insults when frustrated	Leslie	Insult targets	45	35	Stupid	She vents but looks immature, and the name-calling harms others’ feelings or respect.
Leslie calls Tom “a real dick” instead of softer insults	Leslie	Tom	50	40	Stupid	The blunt insult gives emotional release and clarity but mostly harms Tom and their rapport.
Leslie helps Andy get his life back on track after finding him living in the pit	Leslie	Andy	75	90	Intelligent	She expends effort but gains satisfaction and reputation while greatly improving Andy’s situation.
Leslie officiates the marriage of two penguins because it’s cute	Leslie	Zoo / public	65	55	Intelligent	It gives her joy and public goodwill with minor positive entertainment value for others.
Leslie delivers a masterful sponsorship speech for the Harvest Festival while delirious with flu	Leslie	Harvest Festival / Pawnee citizens	25	90	Helpless	She seriously risks her health but secures crucial support and benefits for the town.
Leslie’s friends must convince her she can’t change some situations she considers unacceptable	Leslie	Her friends	40	60	Helpless	Her refusal to accept limits exhausts herself and pressures friends even as her efforts sometimes still improve outcomes.
Leslie finds ways to improve situations anyway despite being overzealous	Leslie	Pawnee citizens	80	80	Intelligent	Her overdrive yields real benefits for both her sense of purpose and public outcomes.
Leslie infringes on her friends’ wants due to single-minded determination	Leslie	Friends and loved ones	55	25	Bandit	She advances her own agenda and satisfaction while overriding others’ preferences and harming their autonomy.
Leslie makes Ann watch all eight Harry Potter movies despite Ann not liking them	Leslie	Ann	60	20	Bandit	Leslie indulges her fandom at Ann’s expense, providing little enjoyment to Ann.
Leslie tries to help people while ignoring what they really want	Leslie	People she “helps”	55	35	Bandit	Her actions satisfy her need to help and control while partially disregarding others’ actual desires or comfort.
Leslie ignores Ben’s request for distance after their breakup	Leslie	Ben	40	20	Stupid	Disregarding his boundary hurts him and complicates her own emotional process.
Leslie continues to view Pawnee with rose-tinted glasses despite clear corruption	Leslie	Herself	35	30	Stupid	Her denial harms her effectiveness and wastes effort while not materially helping anyone else.
Leslie accepts Jen Barkley’s advice to seek higher office instead of focusing on Pawnee government	Leslie	Wider electorate	85	80	Intelligent	She gains a more impactful platform and can benefit more people than in dysfunctional local politics.
Leslie acts like a jerk toward Eagletonians even when they’re nice	Leslie	Nice Eagletonians	45	25	Stupid	Her hostility expresses local loyalty but damages relations without real practical benefit.
Leslie plans out April’s entire parks career despite April wanting something else	Leslie	April	55	25	Bandit	She gains satisfaction from mentoring and controlling the plan while sidelining April’s own choices.
Leslie “knows everything about everyone,” including Ron	Leslie	Coworkers	75	60	Intelligent	Her knowledge helps her manage, support, and anticipate others’ needs more effectively.
