Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Joffrey abuses and mistreats his mother Cersei, including threatening to execute her so she’s too afraid to control him	Joffrey	Cersei	40	10	Bandit	Intimidation gives him short-term freedom from restraint while seriously harming his mother and eroding long-term family support.
Joffrey ignores Cersei’s advice in favor of his own cruel, impulsive actions	Joffrey	Realm / political stability	30	20	Stupid	His defiance feels good to him but leads to destabilizing decisions that endanger his reign and the realm.
Joffrey begins cutting Mycah with his sword and threatens to gut Arya	Joffrey	Mycah and Arya	45	5	Bandit	He gains sadistic gratification and displays dominance while gravely endangering himself politically and physically.
Nymeria intervenes and attacks Joffrey to stop him harming Arya and Mycah	Nymeria	Joffrey	40	60	Intelligent	She protects Arya and Mycah at some risk to herself, successfully stopping Joffrey’s attack in the moment.
Tyrion slaps Joffrey after he insists “You are talking to the King!”	Tyrion	Joffrey	65	55	Intelligent	Tyrion asserts boundaries and briefly checks Joffrey’s behavior, gaining respect from others with minimal risk.
Joffrey periodically threatens to kill and skin Tommen’s cat and feed it to him	Joffrey	Tommen	35	5	Bandit	He gains sadistic pleasure and psychological control but further poisons family bonds and his own image.
Joffrey initially behaves decently toward Sansa, then bullies the butcher’s son Mycah once her guard is down	Joffrey	Sansa and Mycah	40	5	Bandit	He manipulates Sansa and then indulges cruelty, slightly strengthening his control while harming innocents.
Joffrey orders the murder of Robert’s illegitimate children to protect his claim	Joffrey	Robert’s bastards	50	5	Bandit	This atrocity marginally reduces succession threats but massively increases hatred and moral revulsion against him.
Joffrey harshly punishes anyone who challenges his authority within his power	Joffrey	Subjects who defy him	45	15	Bandit	He secures immediate obedience through fear while creating deep resentment and long-term instability.
Joffrey believes and proclaims that he alone won the War of the Five Kings	Joffrey	Other Lannisters / allies’ reputations	40	30	Stupid	His self-aggrandizement flatters his ego but alienates crucial allies who know the truth.
Joffrey torments his younger brother Tommen by threatening Ser Pounce	Joffrey	Tommen	35	10	Bandit	He gains enjoyment and dominance over Tommen at the cost of trust and family cohesion.
Joffrey pretends to be decent in front of Sansa to maintain her infatuation	Joffrey	Sansa	55	30	Bandit	He improves his own social position with her and the court while misleading and emotionally endangering her.
Joffrey admires Maegor the Cruel and models himself on brutal rulers	Joffrey	Himself (future reign)	25	20	Stupid	Emulating an infamous tyrant feeds his ego but pushes him toward choices that doom his rule.
Tyrion repeatedly slaps Joffrey for mocking the Starks and refusing basic courtesy	Tyrion	Joffrey	60	55	Intelligent	He momentarily reins Joffrey in and signals limits on the king’s abuse with limited personal cost.
Joffrey relishes seeing people killed or maimed and sexualizes violence	Joffrey	Victims of his entertainments	40	10	Bandit	He gains intense personal gratification while inflicting severe suffering and escalating hatred toward him.
Joffrey bullies and humiliates Sansa once he has real power over her	Joffrey	Sansa	40	5	Bandit	He enjoys dominance and sadistic pleasure but deepens enmity and creates motives for revenge and plots.
Joffrey has Tyrion’s rescue at Blackwater erased from his narrative, taking full credit	Joffrey	Tyrion and other defenders	45	25	Stupid	He boosts his personal glory but undermines loyal protectors’ motivation and respect for him.
Joffrey orders people killed for minor slights as a “bad boss”	Joffrey	Subordinates / smallfolk	35	5	Bandit	Terror reinforces his immediate control but drastically worsens fear, disloyalty, and long-term risk to him.
Joffrey brutally abuses prostitutes sent by Tyrion instead of engaging sexually	Joffrey	Prostitutes	35	5	Bandit	He pursues sadism over pleasure, harming others and prompting deep anger in those near Tyrion.
Joffrey orders Sandor to kill Mycah after the Nymeria incident	Joffrey	Mycah	40	5	Bandit	He reasserts dominance and covers perceived humiliation through pointless cruelty that adds to his infamy.
Joffrey executes Ned Stark despite counsel to spare him	Joffrey	House Stark / the North	20	10	Stupid	He gets a momentary feeling of strength but triggers a massive civil war that nearly costs him his throne.
Tyrion calls Joffrey a “vicious idiot king” to his face and slaps him again	Tyrion	Joffrey	55	45	Intelligent	He publicly challenges Joffrey’s excesses, slightly curbing him while taking a calculated personal risk.
Joffrey panics and flees to safety during the Battle of the Blackwater when called by his mother	Joffrey	Lannister forces	45	30	Helpless	He preserves his personal safety but abandons morale and leadership, increasing danger to others.
Tyrion leads the defense of King’s Landing in Joffrey’s absence	Tyrion	King’s Landing	80	85	Intelligent	He risks his life, successfully saving the city and indirectly Joffrey’s kingship.
Joffrey mocks peasants and has his guards attack the starving crowd after manure is thrown at him	Joffrey	King’s Landing smallfolk	30	5	Stupid	He vents his anger and attempts to reassert status but provokes and deepens popular hatred and riots.
Joffrey threatens Sansa with droit du seigneur on her wedding night	Joffrey	Sansa	40	5	Bandit	He gains sadistic satisfaction and intimidation power while further motivating Sansa and allies to see him dead.
Joffrey demands that Robb Stark’s head be brought so he can serve it to Sansa at his wedding feast	Joffrey	Sansa	35	5	Bandit	He indulges cruelty toward Sansa and the Starks, alarming even Cersei and his allies.
Tyrion intervenes to prevent Robb’s head being sent and served to Sansa	Tyrion	Sansa / Lannister reputation	70	75	Intelligent	He protects Sansa from further trauma and shields the regime from an especially obscene act.
Joffrey repeatedly humiliates Jaime over his captivity and lost hand	Joffrey	Jaime	40	20	Stupid	He feels superior briefly but alienates one of his few genuinely dangerous and loyal protectors.
Joffrey publicly mocks Renly and Robb with a dwarf show at his wedding, in front of their kin	Joffrey	Starks, Tyrells, other guests	30	15	Stupid	He amuses himself but gravely offends key allies, directly pushing Olenna/Tyrells toward lethal plotting.
Joffrey takes every opportunity at the wedding to humiliate Tyrion	Joffrey	Tyrion	35	20	Stupid	He revels in belittling Tyrion but increases Tyrion’s vulnerability and resentment, making him an easy scapegoat.
Tyrion refuses to participate in the dwarf show and answers back with cutting remarks	Tyrion	Joffrey	55	45	Intelligent	He preserves dignity and signals boundaries, slightly undermining Joffrey’s image before the court.
Joffrey renovates the throne room with spikes and braziers to project menace	Joffrey	Subjects’ perception	60	40	Bandit	He strengthens his theatrical aura of power, but the oppressive style also reinforces fear and hatred.
Joffrey plots an assassination attempt on Tyrion via Ser Mandon Moore during Blackwater	Joffrey	Tyrion	25	15	Stupid	Eliminating Tyrion would remove his most effective defender, weakening his own chances of survival.
Ser Mandon Moore attempts to kill Tyrion in battle	Ser Mandon Moore	Tyrion	10	20	Stupid	The assassination bid almost kills the man saving the city, risking total defeat and Joffrey’s downfall.
Joffrey slaps Sansa and has her beaten via Kingsguard rather than striking her himself	Joffrey	Sansa	40	5	Bandit	He preserves a veneer of royal dignity while inflicting severe harm and terror by proxy.
