Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Seeks to be chosen by the Prophets for power	Winn	Prophets	20	10	Bandit	Her ambition for divine favor drives her rise but ultimately causes her rejection and downfall, mildly harming others via her later path.
Keeps Bajorans’ faith alive during the Occupation	Winn	Bajoran people	70	80	Intelligent	Her preaching sustains morale and faith under Cardassian rule and gives her social/religious capital.
Resents resistance fighters being honored instead of her	Winn	Bajoran resistance	30	40	Helpless	Holding resentment offers no clear gain and corrodes her relationships and standing.
Repeatedly attempts to rise in the “Big Bad hierarchy” and fails	Winn	Power hierarchy	25	35	Helpless	Her scheming fails to secure top-tier power and mostly wastes opportunities without clear benefits to others.
Calmly accuses Keiko of blasphemy	Winn	Keiko O'Brien	40	15	Bandit	She stirs a religious dispute to increase her influence and undermine secular teaching, harming Keiko’s position.
Turns Bajorans on the station against Keiko	Winn	Bajoran citizens on DS9	45	10	Bandit	Mobilizing public outrage boosts her authority while undermining Keiko and social cohesion.
Bombs the school	Winn	Schoolchildren/DS9 civilians	15	5	Stupid	Terrorism advances her feud but later damages her reputation and standing while harming innocents.
Tries to have Vedek Bareil assassinated	Winn	Vedek Bareil	25	5	Bandit	Eliminating a rival for Kai improves her prospects at severe cost to another, with limited net success.
Refuses to collaborate with Cardassians and endures five-year imprisonment	Winn	Cardassian occupiers	60	70	Intelligent	Her resistance preserves integrity and helps Bajoran morale despite suffering, later strengthening her legitimacy.
Continues preaching despite beatings	Winn	Bajoran prisoners	70	80	Intelligent	Sustaining faith under torture benefits others spiritually and deepens her own resolve and authority.
Bribes officer with temple gemstones to save condemned Bajorans	Winn	Condemned Bajorans	75	85	Intelligent	She uses sacred wealth and personal risk to rescue people from transport and gains moral and political capital.
Quickly switches sides when learning the Circle is Cardassian-supplied	Winn	The Circle	60	65	Intelligent	She abandons a compromised extremist group, limiting Cardassian influence while preserving her own position.
Starts a civil war over farmers not returning soil detox equipment	Winn	Bajoran populace	20	5	Stupid	Triggering civil conflict over minor noncompliance devastates society and risks her power base.
Plots assassination of a rival favored to become Kai	Winn	Rival Vedek	30	10	Bandit	Removing a popular contender aids her ascent while seriously harming another with no lasting communal benefit.
