Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
He throws Piper in the SHU for simply dancing with Alex.	Healy	Piper	15	5	Stupid	Hurts Piper severely over a trivial act, gains only petty, short-lived emotional satisfaction and worsens his standing.
He's willing to let Piper die in the finale by ignoring her cries for help during Pennsatucky fight.	Healy	Piper	10	0	Stupid	Knowingly risks Piper’s likely death out of spite, with no real benefit and heavy moral/self-image cost.
He gets counselor Rogers suspended mostly because he is jealous of her.	Healy	Rogers	20	10	Bandit	Removes a rival and slightly boosts his status but unjustly harms a more effective counselor and inmates’ support system.
He lies to protect Suzanne in Season 2.	Healy	Suzanne	70	80	Intelligent	Risks himself by falsifying documents yet protects an innocent inmate, helping both his conscience and Suzanne.
He devotes himself to trying to help Lolly after recognizing his manipulative behavior.	Healy	Lolly	65	85	Intelligent	Invests significant effort to support Lolly’s wellbeing, improving his own growth and her safety.
He first tries suicide after realizing Lolly was telling the truth.	Healy	Himself	0	10	Helpless	Attempts to end his own life in despair, minimally relieving others from his harmful behavior but catastrophically harming himself.
He decides to send Lolly to psych after her confession.	Healy	Lolly	55	70	Intelligent	Acts to get Lolly psychiatric care and containment, easing his guilt and arguably keeping her and others safer.
He checks himself into a psychiatric hospital at the end of Season 4.	Healy	Himself	80	70	Intelligent	Seeks treatment for his issues, improving his own mental health and reducing future harm to others.
He rejects multiple apologies from inmates and holds grudges.	Healy	Various inmates	30	25	Stupid	Clings to resentment, worsening his work environment and relationships without gaining anything substantive.
He works on getting more in tune with his feelings and earning back inmates' trust with a therapist.	Healy	Himself & inmates	75	75	Intelligent	Engages in therapy and emotional work that improves his functioning and makes him less harmful and more supportive.
In the Season 2 finale, he lies again to help Suzanne.	Healy	Suzanne	70	80	Intelligent	Once more risks professional trouble to shield Suzanne, strengthening his atonement and her protection.
He takes another level in his treatment of Lolly in Season 4.	Healy	Lolly	70	85	Intelligent	Continues to improve how he supports Lolly, enhancing both his growth and her care.
After leaving prison, he works at a smoothie place and takes steps to deal with his issues, becoming happier.	Healy	Himself & coworkers/customers	85	70	Intelligent	Finds healthier work, manages his problems, and functions more constructively around others.
He agrees to help his wife move into an apartment with her mother so she will no longer feel like she's in a cage.	Healy	His wife	60	80	Intelligent	Sacrifices control and some comfort to support his wife’s autonomy and happiness, also easing his guilt.
He pays for his mail-order bride and initially uses finances to control her behavior.	Healy	His wife	35	20	Bandit	Buys and financially dominates his wife for his emotional needs, gaining companionship while undermining her freedom and wellbeing.
He learns Russian to try to communicate better with his mail-order bride.	Healy	His wife	60	55	Intelligent	Invests effort to bridge the language gap, slightly improving his own relationship prospects and her ability to be understood.
He bonds with Pennsatucky over their mutual anger issues.	Healy	Pennsatucky	55	60	Intelligent	Finds a shared outlet that gives them both emotional understanding, modestly easing their frustrations.
He makes a mission of steering inmates away from lesbianism.	Healy	Lesbian inmates	40	15	Stupid	Spends energy enforcing his bias, distressing inmates and harming trust while not meaningfully improving his own situation.
He protects Suzanne by forging a document at the end of Season 2 after realizing she's innocent.	Healy	Suzanne	70	80	Intelligent	Risks disciplinary action to shield an innocent inmate, aligning with his conscience and helping Suzanne significantly.
He gives Red the kitchen back even after her "Reason You Suck" speech in Season 3.	Healy	Red	65	75	Intelligent	Restores Red’s valued role despite personal insult, improving her life and demonstrating his own growth.
He takes care of Lolly in Season 4.	Healy	Lolly	70	85	Intelligent	Provides sustained care and advocacy for Lolly, bettering both his sense of redemption and her mental health prospects.
He fixates on Piper to the point of sending her to solitary as part of his 'lesbian witch-hunt'.	Healy	Piper	20	10	Stupid	Combines obsession and ideology to punish Piper harshly, reinforcing his dysfunction without lasting gain.
He makes genuine attempts to become a better person in Season 2, despite frequent setbacks.	Healy	Himself & inmates	65	65	Intelligent	His active efforts at moral improvement yield net benefits to his psyche and to those around him.
He gradually loses his "affably good-natured" mask and acts vindictively as Season 1 progresses.	Healy	Inmates	35	25	Stupid	Choosing vindictiveness damages his reputation and relationships while offering only fleeting emotional payback.
He begins to settle down in terms of his evil-doings in Season 2.	Healy	Inmates	60	60	Intelligent	Reduces harmful behavior, improving conditions for inmates and making his own position more sustainable.
