Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
He has a crush on Jackie for most of the show	Fez	Jackie	40	40	Helpless	Persistent unreciprocated crush makes him lonely without clear benefit to her.
Jackie finally returns his feelings in the final season	Jackie	Fez	70	70	Intelligent	Mutual romance late in the story benefits both emotionally.
He constantly fawns over Kelso	Fez	Kelso	55	55	Intelligent	Expressing affection strengthens their close friendship.
He once has a sex dream about Kelso and reacts to it	Fez	Fez	52	50	Intelligent	Private fantasy slightly boosts his own confidence without affecting others.
Fez talks to Hyde so engagingly Hyde feels “half in love with him”	Fez	Hyde	65	65	Intelligent	His attention makes Hyde feel special and affirms Fez’s social charm.
He adopts and uses the nickname “Fez” as his given name	Fez	Fez	70	55	Intelligent	Simplifying his identity helps him function socially with no evident harm.
He names his business “Chez Fez”	Fez	Customers	80	70	Intelligent	Branding a business on his nickname supports his success and entertains others.
He is nearly always seen snacking on junk food	Fez	Fez	35	55	Helpless	Enjoyment is offset by implied weight gain and health/fitness downsides.
He pretends not to be a virgin early on	Fez	Friends	45	55	Helpless	Saves face slightly but reinforces his insecurity without changing their views.
He becomes more successful with women in the final season	Fez	Various women	80	55	Intelligent	He achieves his long‑term romantic goal while giving partners desired attention.
He makes a tape of the circle’s ramblings	Fez	Friends	60	55	Intelligent	Creates a shared artifact of their time together with minor mutual benefit.
He calls Kelso stupid on that tape	Fez	Kelso	55	35	Bandit	Teasing slightly lifts his own status at some social cost to Kelso.
Later he rushes to Kelso’s defense when others call Kelso stupid	Fez	Kelso	70	70	Intelligent	Loyal defense strengthens their bond and moderates group cruelty.
He obsessively pursues women as a “Casanova wannabe”	Fez	Women	55	35	Bandit	He occasionally gains dates while subjecting women to unwanted pursuit.
He openly indicates he’ll “be in his bunk” when turned on	Fez	Group	60	40	Bandit	He relieves his frustration but makes friends uncomfortable, seen with Donna.
He becomes more comfortable making sexual remarks to friends	Fez	Friends	55	35	Bandit	His increased openness gratifies him but squicks and annoys others.
He confronts Caroline about her hostility to his friends	Fez	Caroline	70	70	Intelligent	Protects his friends’ comfort and asserts boundaries in the relationship.
He breaks up with Caroline over her hostility	Fez	Caroline	65	65	Intelligent	Sacrificing a relationship improves his and his friends’ well‑being.
He stalks Jackie by spying on her through a window for years	Fez	Jackie	40	10	Bandit	His voyeurism gratifies him while gravely invading her privacy and safety.
He stalks Donna similarly	Fez	Donna	40	10	Bandit	Same invasive spying yields him secret pleasure while seriously harming her interests.
He tells Jackie he’s been spying on her for three and a half years	Fez	Jackie	30	5	Stupid	Confession risks his relationships and reputation while deeply disturbing her.
He hides in closets to spy on women or couples	Fez	Women and couples	35	5	Bandit	His covert watching serves his arousal while violating others’ privacy and trust.
He repeatedly makes unwanted moves on women	Fez	Women	45	10	Bandit	Occasional success is outweighed by distress and discomfort caused to women.
He becomes “even more creepy and disgusting” toward friends over time	Fez	Friends	40	15	Stupid	Escalating behavior undermines his friendships while offering only fleeting thrills.
He expresses relief his sister is far away from Kelso	Fez	Sister and Kelso	55	60	Intelligent	Protective distancing may shield his sister and slightly reassures Fez.
He tells his sister would be “off‑limits” to Kelso	Fez	Kelso	60	65	Intelligent	Clear boundary protects his sister and clarifies expectations with Kelso.
He and Kelso look for an apartment together	Fez and Kelso	Fez and Kelso	70	60	Intelligent	Co‑housing solves their living need and strengthens their partnership.
Fez applies for a lease from Fenton despite being his enemy	Fez	Fenton	55	45	Bandit	He pursues a good apartment while dragging a personal nemesis into the situation.
He now hates Kelso in That ’90s Show for Jackie leaving him	Fez	Kelso	30	35	Stupid	Nursing resentment harms his own happiness and damages a deep friendship.
In the sequel, he commits to one woman instead of serial perving	Fez	Partner	80	80	Intelligent	Stable commitment improves his life and gives partner security and respect.
He possibly makes up contradictory facts about his home country to mess with friends	Fez	Friends	55	45	Bandit	Teasing entertains him but mildly misleads and frustrates his friends.
