Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Monica jokes she "wouldn't kick [Molly] out of bed" after Rachel asks about the nanny's appeal	Monica	Molly / Rachel	55	55	Intelligent	Light flirtatious joke entertains without clear harm or benefit beyond mild social bonding.
Monica becomes jealous when Phoebe says she’d rather date Rachel than her	Monica	Monica	40	55	Helpless	Her jealousy only stresses herself and slightly flatters Rachel, with no gain to Monica.
Monica initially refuses to objectify the woman for Joey, then comments on her body	Monica	Unseen woman / Joey	60	40	Bandit	She amuses herself and Joey at the cost of mildly objectifying another woman.
Monica gives a wedding speech and repeatedly frames it as "my special night" before correcting to "our"	Monica	Chandler / friends	60	60	Intelligent	Her attention-seeking still shares affection and gratitude, strengthening bonds.
Chandler publicly toasts “To Monica” to make the night hers	Chandler	Monica / friends	70	80	Intelligent	He boosts Monica’s happiness and shows generosity, which likely improves his own relationship.
Monica gleefully joins the toast “okay, to Monica!”	Monica	Monica / friends	65	65	Intelligent	She accepts being celebrated and keeps the mood fun, benefiting herself and group enjoyment.
Monica names the group “Team Monica” during the ball game	Monica	Friends team	58	42	Bandit	She boosts her ego and motivation while mildly irritating teammates.
Monica immediately backs off from “Team Monica” after hostile looks	Monica	Friends team	70	70	Intelligent	She quickly de-escalates, preserving harmony without real loss to herself.
Monica holds out 25 seconds before revealing Gary will ask Phoebe to move in	Monica	Phoebe / Gary	45	35	Stupid	She gains no benefit from breaking the confidence and risks drama and trust.
Monica ends her relationship with Ethan upon learning he’s a 17-year-old high-schooler	Monica	Ethan	80	70	Intelligent	She protects herself legally and ethically while preventing ongoing exploitation of a minor.
Monica lies about her age to Ethan so she can sleep with him	Monica	Ethan	55	30	Bandit	She gains a desired fling through deceit that creates potential legal and emotional risk for Ethan.
Monica takes bribes in the form of free food from vendors and gets fired	Monica	Restaurant employer	10	35	Helpless	She enjoys short-term perks but severely harms her own career while only slightly inconveniencing the restaurant.
Monica works a degrading 1950s-themed diner job with fake breasts to stay employed	Monica	Monica	75	55	Intelligent	She sacrifices dignity for stable income and experience, sustaining herself without hurting others.
Monica turns down becoming a minister for Phoebe because she’s Jewish	Monica	Phoebe / wedding plans	55	60	Intelligent	She respects religious boundaries while still supporting the wedding overall.
