Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Viserys abuses Daenerys emotionally, physically, and implied sexually	Viserys	Daenerys	60	5	Bandit	He vents power and control needs at her expense, gaining dominance while severely harming her.
Daenerys survives hostile situations using her wits when companions can’t assist	Daenerys	Herself & companions	78	75	Intelligent	Her resourcefulness keeps herself and others alive in danger.
Daenerys grabs a dragonglass sword and fights wights alongside Jorah	Daenerys	Wights (enemy), herself & allies	70	72	Intelligent	She risks herself in unfamiliar combat but successfully helps hold back enemies and kill several.
Daenerys is polite and friendly to loyal followers while planning conquest and mass violence	Daenerys	Loyal followers	65	40	Bandit	Her warmth builds loyalty and emotional bonds while ultimately serving her expansionist, harmful plans.
Drogo calls Daenerys “moon of my life”	Drogo	Daenerys	75	65	Intelligent	Term of endearment deepens their bond and mutual affection.
Jorah continues to call Daenerys “Khaleesi” after Drogo’s death	Jorah	Daenerys	70	60	Intelligent	Respectful title sustains their emotional connection and loyalty.
Daenerys initially refuses to let Jon call her “Dany” and later accepts it	Daenerys	Jon	60	62	Intelligent	By setting and then relaxing a boundary, she protects herself then strengthens intimacy with Jon.
Daenerys pleads with Jon not to reveal his true parentage	Daenerys	Jon & herself	35	30	Stupid	Her desperate attempt to preserve her claim emotionally pressures Jon and, as foreshadowed, worsens political chaos for everyone.
Daenerys tells Jon that retrieving a wight will be for nothing if Cersei won’t agree to a truce	Daenerys	Jon & allied mission	60	55	Intelligent	She correctly assesses the risk that their costly proof might be strategically wasted.
Daenerys participates in the dangerous wight-hunt plan to capture proof	Daenerys	Her own side	40	30	Stupid	The mission costs a dragon and nearly their lives, bringing limited net benefit until later.
Jon later killing Daenerys makes their sacrifice of a dragon and effort partly moot	Jon	Daenerys’s previous quest	55	40	Bandit	His necessary act to save Westeros ends her arc, retroactively voiding much of her personal investment while serving the realm more than her.
Daenerys fights White Walkers and aids victory over the Night King	Daenerys	People of Westeros	70	85	Intelligent	Her active role and dragons are crucial to defeating a world-ending threat.
Daenerys dismantles slavery in Slaver’s Bay	Daenerys	Slaves & local societies	65	82	Intelligent	Abolition raises former slaves’ welfare despite economic and political turbulence.
Daenerys helps lay foundations for an elective monarchy	Daenerys	Future Westeros polity	50	78	Intelligent	Though she doesn’t see its fruits, her actions help trigger a more representative succession system.
Daenerys chooses violent, “bad boy” lovers over decent suitors	Daenerys	Her potential partners	55	35	Helpless	Her preferences bring her passion and power but also long-term instability and pain for herself and bystanders.
Daenerys forces Hizdahr into political marriage while withholding fidelity	Daenerys	Hizdahr	68	25	Bandit	She gains local legitimacy while subjecting him to humiliation and emotional harm.
Daenerys retakes Dragonstone as her base	Daenerys	Current claimants	80	55	Intelligent	She gains a strong ancestral foothold with minimal noted harm to others.
Daenerys takes Meereen’s Great Pyramid and drapes her flag over the Harpy	Daenerys	Meereenese ruling class	70	35	Bandit	She asserts dominion and symbolism for herself while displacing and humiliating the prior elites.
Daenerys steps into Drogo’s blazing pyre with dragon eggs	Daenerys	Herself	85	75	Intelligent	The miraculous survival hatches dragons, massively empowering her and inspiring her followers.
Daenerys resolves to “take what is mine with fire and blood”	Daenerys	Opposing rulers & populations	60	30	Bandit	Her ambition commits her to conquest that benefits her but portends large-scale harm.
Drogon destroys the Iron Throne after Daenerys’s death	Drogon	Institution of the Throne	40	70	Helpless	He loses his mother’s symbolic goal but eliminates a dangerous focus of future conflicts, benefiting others.
Daenerys decides to burn King’s Landing after surrender, massacring civilians	Daenerys	Civilians & surrendered soldiers	20	0	Stupid	Her gratuitous destruction annihilates innocents and destroys her legitimacy without gaining sustainable advantage.
Jon reluctantly stabs Daenerys to stop further destruction	Jon	Daenerys	30	80	Helpless	He sacrifices love and freedom to prevent her continued mass killing, heavily harming himself while saving many.
Viserys threatens Daenerys’s unborn baby with a sword	Viserys	Daenerys & unborn child	40	10	Stupid	He terrifies and alienates his only ally, provoking Drogo and hastening his own doom.
Daenerys refuses to intervene while Drogo kills Viserys	Daenerys	Viserys	75	40	Bandit	She passively removes her abuser and rival, which frees her but ends any chance of his reform or alliance.
Daenerys refuses Yunkai’s offer of gold and ships in exchange for leaving slaves	Daenerys	Slave masters of Yunkai	65	80	Intelligent	She forgoes an easy route to Westeros to free slaves, gaining loyal subjects and moral capital.
Daenerys delays sacking King’s Landing to stay in the East until slavery is ended	Daenerys	Slaver’s Bay residents	60	78	Intelligent	She sacrifices speed in her Westerosi campaign to stabilize and reform the region.
Daenerys initially dismisses Jon’s warning about the White Walkers	Daenerys	Jon’s cause	45	40	Stupid	Her skepticism slows preparation against an existential threat to her own future subjects.
Daenerys later personally rescues the wight-hunt party beyond the Wall	Daenerys	Wight hunters	55	70	Intelligent	She risks herself and her dragons to save key allies, enabling the proof mission to succeed.
Daenerys orders the Sack of Astapor using the Unsullied she just acquired	Daenerys	Slave masters of Astapor	75	65	Intelligent	Her gambit frees slaves and wins an elite army at the masters’ expense.
