Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Falls for repeated 419 scams and sends money	Michael	Nigerian scammers	5	10	Stupid	Loses money to scams while giving it to fraudsters who don’t appear as real “others” in story terms.
Barrels forward with crushes to borderline stalking	Michael	Crushes (e.g., women he likes)	15	10	Stupid	Damages his own chances and makes others uncomfortable without any benefit.
Tries to kiss Pam because they’re both lonely	Michael	Pam	10	5	Stupid	Embarrasses himself and deeply discomforts Pam with no gain.
Chooses “Little Kid Lover” as online username	Michael	Online dating contacts	5	5	Stupid	Badly damages his own prospects and creeps others out for no benefit.
Stages a fake suicide attempt to educate office	Michael	Office coworkers	5	20	Stupid	Seriously endangers himself and traumatizes coworkers while providing almost no useful education.
Actually risks death by using ineffective cushion	Michael	Michael	3	50	Helpless	Directly endangers his own life without affecting others in-story beyond concern.
Achieves virtually untouchable sales record	Michael	Dunder Mifflin / clients	95	80	Intelligent	Gains strong career success while bringing in value for company and clients.
Raises branch profits by 17% as manager	Michael	Scranton branch / company	90	85	Intelligent	Improves his standing and the branch’s financial performance substantially.
Moves to Boulder to live with Holly after engagement	Michael	Holly	92	80	Intelligent	Gets family life and long-term happiness while benefiting Holly via shared life.
Supports Pam after her failed art gallery show	Michael	Pam	70	80	Intelligent	Invests time/concern and emotionally helps Pam, modest self-benefit through bonding.
Flies into petulant rage when feeling rejected	Michael	Employees / others	25	20	Stupid	Hurts relationships and office climate while also undermining his own respect.
Launches long-game revenge on Dwight for job coup	Michael	Dwight	60	20	Bandit	Protects his authority and self-respect at the cost of Dwight’s severe humiliation.
Eats entire family-size pot pie and overloaded pretzel	Michael	Michael’s health	20	50	Helpless	Indulges in unhealthy overeating that harms him with no benefit to others.
Cannot keep secrets and leaks sensitive info	Michael	Secret holders (Jim, Oscar, staff)	25	20	Stupid	Damages trust and sometimes harms others while also hurting his own reputation.
Keeps Dwight–Angela affair from Andy for a while	Michael	Andy	55	55	Intelligent	Manages information to delay hurt, then reveals privately, balancing harms and duties.
Explodes at criticism like roast or prison joke	Michael	Employees	30	30	Stupid	Damages his authority and staff relations without gaining anything.
Creates “Date Mike” persona and ruins a good date	Michael	Julie (Pam’s friend)	10	15	Stupid	Tanks a promising connection and makes the woman uncomfortable for no gain.
Goes overboard repeating any joke that once worked	Michael	Office coworkers	40	30	Stupid	Brief self-satisfaction but erodes others’ patience and his social standing.
Abuses “Chandler’s Law” by always pulling a gun in improv	Michael	Improv classmates	30	20	Stupid	Undermines his own learning and ruins others’ scenes.
Gets closure with past girlfriends and re-evaluates Ryan & Packer	Michael	Exes / Ryan / Packer	80	60	Intelligent	Gains emotional growth and better boundaries, mildly improves others’ situations.
Puts Ryan and Jim in place asserting “It’s his office”	Michael	Ryan & Jim	75	60	Intelligent	Reasserts necessary authority in a mostly appropriate, effective way.
Deprives cocky sales staff of rewards and gives leads to others	Michael	Sales staff	55	45	Bandit	Reclaims power and corrects arrogance but also unfairly harms top sellers’ income.
Tricks Jim and Pam into accepting dinner invitation	Michael	Jim & Pam	55	40	Bandit	Gets desired social time at expense of their autonomy and comfort.
Runs out first in office fires without checking on staff	Michael	Employees	40	10	Bandit	Protects himself while disregarding others’ safety.
Lets Dwight take blame for failing Golden Ticket idea	Michael	Dwight	35	15	Bandit	Shifts potential corporate punishment onto Dwight for his own protection.
