Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Mercedes smashes Kurt's car windshield after he says he doesn't want to date her	Mercedes	Kurt	10	5	Stupid	Damages his property out of hurt feelings, gains nothing tangible and risks backlash.
Mercedes performs "Sweet Transvestite," showing off her sexy side	Mercedes	Audience/peers	78	75	Intelligent	Performance showcases her talent and confidence, elevating her image and entertaining others.
Mercedes becomes a big eater in "The Substitute"	Mercedes	Herself	40	55	Helpless	Increased eating likely harms her health while having no clear downside for others and minor social levity.
Mercedes rarely practices despite high talent	Mercedes	Herself	30	55	Helpless	Lack of practice limits her development and opportunities while not directly harming others.
Mercedes is often late to rehearsals	Mercedes	Glee Club	35	40	Bandit	Her tardiness prioritizes her convenience while mildly disrupting group productivity.
Mercedes fakes stomach pains to avoid rehearsals	Mercedes	Glee Club	25	35	Bandit	She dodges effort and responsibility while inconveniencing the group and wasting their time.
Mercedes shows less camaraderie with the club	Mercedes	Glee Club	40	40	Helpless	Her standoffishness undercuts her support network and group cohesion without clear benefit.
Mercedes quits the Glee Club out of anger and spite	Mercedes	New Directions	20	35	Helpless	She loses opportunities and community, while the club loses a strong vocalist.
Mercedes joins Shelby's group out of anger and spite	Mercedes	Shelby's group/New Directions	55	30	Bandit	She gains a fresh spotlight with a rival group, weakening her original club.
Mercedes writes a song about her "Hell to the no!" catchphrase in "Original Song"	Mercedes	Audience/New Directions	75	80	Intelligent	Creating original material builds her artistic profile and entertains the group.
Mercedes throws a brick through the windshield of Kurt's new car (again referenced)	Mercedes	Kurt	10	5	Stupid	Reinforces property destruction motivated by anger, still hurting him with no benefit to her.
Mercedes quits New Directions in "Asian F" due to bad attitude and rage over not getting Maria	Mercedes	New Directions	20	30	Helpless	She sacrifices growth and visibility, while the club loses her voice and must re-adjust.
Mercedes joins Shelby's new club in "Asian F" as part of her face–heel turn	Mercedes	Shelby's club/New Directions	60	35	Bandit	Joining a rival group boosts her chance at leads while undermining her former team.
Mercedes later ceases being antagonistic toward New Directions	Mercedes	New Directions	60	70	Intelligent	Reducing hostility repairs relationships, improving her social environment and group harmony.
Mercedes returns to New Directions after Troubletones' loss and Will's promise to feature her and Santana	Mercedes	New Directions	80	85	Intelligent	Rejoining with better conditions benefits her opportunities and strengthens the team vocally.
Mercedes dates Puck primarily for his image	Mercedes	Puck	45	45	Helpless	She gains superficial status but not genuine affection, and the relationship is shallow with little net benefit.
Mercedes develops a big crush on Kurt and pursues it despite signs he is gay	Mercedes	Herself/Kurt	30	40	Helpless	Pursuing an incompatible crush wastes her emotional energy and creates awkwardness without real payoff.
Mercedes pursues Kurt because Quinn and Santana egg her on	Mercedes	Herself	35	45	Helpless	She lets others’ pressure override her own suspicions, hurting herself emotionally while giving them entertainment.
Kurt finally tells Mercedes unambiguously that he is gay	Kurt	Mercedes	75	75	Intelligent	Honesty clarifies their relationship, saving both further confusion and emotional misinvestment.
Mercedes becomes leader of the Troubletones	Mercedes	Troubletones	80	80	Intelligent	Leadership role advances her confidence and career while organizing and motivating the group.
Mercedes dates Sam as a late-season “pair the spares” relationship	Mercedes	Sam	70	70	Intelligent	They both gain reciprocal affection and companionship without obvious downside.
Mercedes mentors Unique (with Kurt), helping her find confidence	Mercedes	Unique	80	90	Intelligent	She invests her experience to support another singer’s growth, reinforcing her own mentor role.
Mercedes pressures Kurt to attend church with her and help her pray for his father	Mercedes	Kurt	60	55	Intelligent	Her intent is supportive and faith-driven, offering emotional and spiritual help despite some pressure.
Mercedes offers to let pregnant Quinn stay at her house as long as needed after Quinn’s father kicks her out	Mercedes	Quinn	85	95	Intelligent	Providing shelter and stability for Quinn is a major act of generosity that also deepens Mercedes’ bonds and self-worth.
Kurt tries to pair Mercedes with a Black football player	Kurt	Mercedes/football player	55	55	Intelligent	He attempts to help her find a match, offering social opportunity despite relying on superficial commonality.
