Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Beth and Rip kill Jamie	Beth and Rip	Jamie	60	5	Bandit	They eliminate a perceived threat and gain revenge while killing Jamie and denying him future happiness.
Beth prevents Jamie from seeing his son	Beth	Jamie and his son	10	5	Stupid	She inflicts emotional harm on Jamie and the child with no clear benefit beyond spite.
Beth accuses Jamie of being gay	Beth	Jamie	55	40	Bandit	She uses a taunt to needle him and assert dominance, mildly harming him without clear upside for others.
Jamie chooses celibacy until ready for a family	Jamie	Himself and potential child	65	70	Intelligent	He restrains himself to avoid bringing a child into a world he feels unprepared for, protecting both self and hypothetical child.
John snubs Jamie in the governor race	John	Jamie	70	15	Bandit	He advances his own political preference while undermining Jamie’s ambitions and status.
Beth forces Jamie to kill his father	Beth	Jamie and Garrett	20	0	Bandit	She secures leverage and removes Garrett while traumatizing Jamie and killing Garrett.
Beth threatens Jamie’s son	Beth	Jamie and his son	15	5	Stupid	Terrorizing a child and father gains only coercive satisfaction while increasing long‑term risk and resentment.
Jamie plans to counter Beth’s attempt to kill him	Jamie	Beth	70	40	Bandit	He improves his own survival odds by plotting against Beth, likely endangering her.
Jamie attacks and strangles Sarah Nguyen	Jamie	Sarah Nguyen	10	0	Bandit	He silences a damaging expose to protect himself and the ranch at the cost of Sarah’s life.
John is a horrible father to Jamie	John	Jamie	40	5	Stupid	His abuse damages Jamie’s development and loyalty while giving John no real long-term gain.
Beth tells Jamie to kill himself	Beth	Jamie	5	5	Stupid	Verbal abuse harms Jamie and yields Beth nothing but momentary cruelty.
John kicks Jamie off the ranch for not dropping AG bid	John	Jamie	35	10	Stupid	He punishes Jamie’s ambition, losing a loyal legal asset while inflicting emotional harm.
Jamie decides he’s had enough and turns against the Duttons	Jamie	Dutton family	60	25	Bandit	He seeks autonomy and revenge, improving his own agency while harming the family.
Beth instigates a bar brawl in Bozeman	Beth	Stranger / bar patrons	30	20	Stupid	She risks legal and physical trouble for transient gratification, troubling others without benefit.
Jamie gets Beth’s bar opponent to drop charges	Jamie	Beth and the other instigator	60	75	Intelligent	He spares both women serious charges while preserving leverage over Beth.
Jamie agrees Beth should be charged with disorderly conduct	Jamie	Beth	65	55	Bandit	He gains satisfaction and a small power shift at a modest legal cost to Beth and some public order.
Jamie plans Beth’s assassination	Jamie	Beth	45	5	Stupid	Conspiring to murder his sister exposes him to massive risk while only precariously addressing his problem.
Jamie attempts suicide after killing Sarah Nguyen	Jamie	Himself	5	10	Helpless	He nearly destroys himself, providing only indirect closure to others if successful.
John stops Jamie’s suicide attempt	John	Jamie	30	70	Intelligent	He preserves Jamie’s life, possibly to use him, but also preventing self-destruction.
Jamie works to raise his son away from Yellowstone	Jamie	His son and himself	80	80	Intelligent	He protects his son from family toxicity and builds a healthier life for both.
John convinces Jamie to go to Harvard	John	Jamie	70	45	Intelligent	He boosts Jamie’s education and prospects despite some social alienation from ranchers.
Jamie stages Hendon’s killings as a drunk-driving crash	Jamie	Dead thieves’ families / authorities	75	15	Bandit	He shields the family and himself from legal fallout while deceiving and denying justice to others.
Jamie convinces the victim’s father the cover story is true	Jamie	Victim’s father	75	10	Bandit	He preserves the cover and his own safety at the cost of the father’s truth and closure.
Jamie calls John ungrateful when told to quit as AG	Jamie	John	60	55	Intelligent	He asserts earned status and challenges unfair control, clarifying the power dynamic.
Jamie confronts John about discovering his adoption	Jamie	John	50	45	Helpless	He seeks truth and validation but gains no change, only more alienation.
Jamie tries to protect ranch via Market Equities airport plan	Jamie	Dutton ranch	65	70	Intelligent	He attempts a strategic compromise to preserve the ranch’s future, though it fails.
Jamie admits to Beth his greatest regret is sending her to the clinic	Jamie	Beth	40	30	Helpless	He gains minor moral relief but hands ammunition to an abuser who doesn’t care.
Jamie is kind to Tate and wants ranch passed to Tate and his children	Jamie	Tate and his descendants	70	80	Intelligent	He supports his nephew and plans for a stable inheritance benefiting both sides.
Rip defends Jamie when John abuses him	Rip	Jamie	60	65	Intelligent	Rip risks John’s displeasure to give Jamie emotional and social support.
Jamie publicly calls for John’s impeachment	Jamie	John	70	40	Bandit	He enhances his own power and attempts to remove John, destabilizing John’s position and influence.
Jamie gives Beth a “Reason You Suck” speech about blackmail	Jamie	Beth	75	40	Bandit	He undercuts her leverage and asserts his strategy, psychologically striking back at her.
Jamie expresses desire to pass ranch to Tate and his own son	Jamie	Tate, his son, Beth	60	55	Intelligent	He defines a forward-looking inheritance structure that favors next generation over current feuds.
Jamie murders Garrett under Beth’s blackmail	Jamie	Garrett and himself	15	5	Helpless	He kills his father to save himself from exposure but increases trauma and Beth’s leverage.
Jamie breaks down realizing his comment led to Sarah’s plot on John	Jamie	Himself	30	45	Helpless	He gains insight and guilt with no practical benefit, slightly informing his later choices.
Jamie ensures his son is raised far from any Duttons	Jamie	His son	85	85	Intelligent	He secures the child’s safety and a healthier future away from the toxic clan.
Jamie is very kind and loving to his son	Jamie	His son	90	90	Intelligent	His nurturing parenting benefits both his own emotional life and his child’s development.
Jamie befriends Rip	Jamie	Rip	70	75	Intelligent	He builds mutual respect and support, improving both men’s emotional and social position.
