Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Annie decides not to confess her love to Troy while he’s on a date	Annie	Herself (romantic future with Troy)	60	70	Intelligent	She protects Troy’s current relationship and preserves their friendship while sparing herself likely rejection.
Annie’s mother pushes her hard to succeed while belittling her	Annie’s mother	Annie	40	10	Bandit	Mother gains ego/validation from Annie’s performance while seriously harming Annie’s self-esteem.
Annie repeats her mother’s harsh “commitment” speech to Pierce	Annie	Pierce	55	25	Bandit	She reinforces her own work-ethic narrative but harshly belittles Pierce to motivate him.
Annie lets her rivalry with Annie Kim turn Model UN into a “prestige war”	Annie	Classmates / Annie Kim	45	30	Bandit	Her status drive may boost her pride if she wins but makes the academic exercise hostile and petty for others.
Annie slams Jeff’s head into a table	Annie	Jeff	40	20	Bandit	She asserts herself physically (short-term catharsis, maybe respect) while clearly injuring Jeff.
Annie punches Jeff so hard he bleeds	Annie	Jeff	35	15	Bandit	Again she vents anger and asserts boundaries at the cost of physically harming a group member.
Jeff’s burst of love for Annie unlocks the lab and saves Greendale	Jeff	Trapped study group / Greendale	90	95	Intelligent	His genuine love for Annie frees everyone and prevents the school’s sale while giving him emotional clarity.
Annie repeatedly falls back into attraction to Jeff despite knowing it’s unhealthy	Annie	Herself	30	55	Helpless	Her pattern harms her own emotional stability while sometimes nudging Jeff toward growth and vulnerability.
Jeff and Annie end tense moments with head pats / chin-chucks to defuse things	Jeff and Annie	Each other	70	70	Intelligent	These gestures maintain closeness and de-escalate conflict for both.
Vaughn calls Annie “mountain flower” while dating her	Vaughn	Annie	70	70	Intelligent	The affectionate nickname strengthens their bond without evident downside.
Annie and Jeff use “milady/milord” as playful nicknames	Annie and Jeff	Each other	75	75	Intelligent	The shared language deepens rapport and mutual affection.
Annie decides to get over her unrequited crush on Troy	Annie	Herself	80	60	Intelligent	She moves on from a one-sided attachment, improving her own emotional health and easing things for Troy.
Annie maintains emotional labor for a self-sabotaging study group	Annie	Study group	45	75	Helpless	She helps keep them together and improving but overextends and stresses herself.
Annie chloroforms a janitor twice to cover the group’s misdeeds	Annie	Janitor	55	10	Bandit	She protects herself/the group from consequences by seriously violating the janitor’s bodily autonomy.
Annie almost chloroforms Jeff to manage the situation	Annie	Jeff	40	15	Bandit	She’d prevent exposure for herself by harming Jeff, with little benefit to him.
Annie jumps on a large man’s back and chokes him in “Analysis of Cork-Based Networking”	Annie	Large man	50	30	Bandit	She physically subdues a much bigger man to advance her agenda, helping her cause while endangering him.
Annie seduces the elf maiden as Hector the Well Endowed during D&D	Annie (in-game)	Elf maiden NPC	65	60	Intelligent	Within the game she solves a problem creatively and entertains the group without real-world harm.
Annie repeatedly uses her “Disney face” to sway the group	Annie	Study group	70	40	Bandit	She secures leniency and outcomes she wants by emotionally manipulating others at some cost to their resolve/autonomy.
Jeff orders everyone to close their eyes so Annie’s tears don’t weaken them	Jeff	Study group	65	55	Intelligent	He protects their collective stance while still acknowledging Annie’s power to sway them.
Annie aggressively whales on multiple opponents in “Comparative Religion” fight	Annie	Multiple opponents	60	35	Bandit	She proves her toughness and helps her friends in a brawl but does so by inflicting disproportionate violence.
Troy only notices Annie’s attractiveness after Jeff points it out	Troy	Annie	55	55	Intelligent	He gains awareness and may treat her differently; no clear cost or benefit to others beyond recognition.
Jeff warns the group not to look at crying Annie because it will weaken their anger	Jeff	Study group	60	60	Intelligent	He helps them maintain justified anger and boundaries against Annie’s manipulative cuteness.
Jeff repeatedly pushes Annie to avoid sexualizing herself early on	Jeff	Annie	65	70	Intelligent	He restrains his own impulses and pressures others not to objectify her, protecting her from premature sexualization.
Annie uses her skills and planning to out-prepare academic/political opponents	Annie	Opponents	80	60	Intelligent	Her analytical work benefits her and often the institution, while only competitively pressuring rivals.
Annie participates vigorously in campus paintball “wars” as a lethal player	Annie	Opposing players	70	60	Intelligent	She excels at a consensual game, boosting her status and team success while only “harming” opponents in a playful context.
Annie chooses not to sexualize herself until much later (initial modest dress, etc.)	Annie	Herself	60	55	Intelligent	She protects her own comfort and image while not harming anyone else.
Annie tells Jeff she thinks she can change him early on	Annie	Jeff	50	65	Intelligent	Her belief pressures Jeff toward growth, but sustaining unrealistic expectations costs her emotionally.
Annie runs hard in student elections, treating them as “serious business”	Annie	Greendale students	75	65	Intelligent	Her intensity improves organization and stakes, though it also ramps stress and conflict.
Annie willingly becomes the dean’s overworked script supervisor in “Documentary Filmmaking: Redux”	Annie	Dean Pelton	35	65	Helpless	She sacrifices time and sanity to help the dean complete his commercial.
Annie confronts Jeff at gunpoint over ignoring her after their kiss in “Conspiracy Theories”	Annie	Jeff	30	15	Bandit	She forces an emotional reckoning with real risk, harming both trust and physical safety to satisfy hurt.
Annie schemes to set Troy and Britta up to free Jeff for herself	Annie	Troy and Britta	40	30	Bandit	She manipulates their potential relationship largely to clear a path to Jeff, prioritizing her romantic interests over their autonomy.
Annie ultimately chooses a DC/FBI career over a relationship with Jeff	Annie	Herself and Jeff	85	70	Intelligent	She advances her long-term career while giving Jeff freedom to grow, even though both feel pain.
Jeff confesses his love and then lets Annie go pursue her career	Jeff	Annie	70	80	Intelligent	He gains honesty and emotional closure while supporting her better future rather than clinging.
Annie dons a sexy Santa outfit to seduce Jeff into joining glee club	Annie	Jeff	60	35	Bandit	She uses her sexuality to recruit him, benefiting the club and her goal while putting manipulative pressure on Jeff.
Annie sneaks peeks at naked Jeff during the Coach Bogner showdown	Annie	Jeff	55	45	Bandit	She gratifies her curiosity with minor invasion of his privacy.
Annie obtains a fake ID to drink underage in “Mixology Certification”	Annie	Herself / bar staff	35	45	Helpless	She risks legal and personal trouble for short-term adult-experience benefits; others are minimally affected.
Annie carries a gun due to living in a dangerous neighborhood	Annie	Potential attackers	55	60	Intelligent	She improves her own safety and deterrence in a high-risk environment, at most threatening would-be aggressors.
Annie moves in with Troy and Abed to fix her housing situation	Annie	Troy and Abed	80	75	Intelligent	She gains safer housing and closeness; they gain a balancing roommate who helps structure their lives.
Annie snaps at Troy and Abed about always having to adapt to their quirks	Annie	Troy and Abed	70	70	Intelligent	Her outburst leads to a healthier compromise where they also accommodate her needs.
Annie helps run the “Save Greendale” committee with heavy organizational labor	Annie	Greendale community	45	80	Helpless	She overworks herself to stabilize and improve the school, clearly benefiting others more than herself.
Annie investigates scam courses with Jeff in “Conspiracy Theories and Interior Design”	Annie	Greendale administration	75	60	Intelligent	She uncovers fraud and enforces standards, improving institutional integrity while only inconveniencing wrongdoers.
Annie aggressively interrogates the group and strips everyone for the missing pen	Annie	Study group	40	15	Stupid	Her obsession yields no resolution, humiliates friends, and damages trust without benefiting herself.
Annie repeatedly joins in bullying Todd whenever he appears	Annie	Todd	40	20	Bandit	She gains in-group acceptance and humor at the cost of Todd’s well-being.
