Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Jan barely doing any work at Dunder Mifflin anymore	Jan	Dunder Mifflin	15	10	Stupid	Her work avoidance contributes to her firing and harms the company’s interests.
Jan gets a boob job to win Michael back	Jan	Her own body / Michael	30	20	Bandit	She gains short-term relationship leverage at health/identity cost and objectifies herself, while manipulating Michael.
Jan starts wearing low-cut tops to win Michael back	Jan	Michael	40	25	Bandit	She benefits by successfully attracting Michael but uses sexualized manipulation that reduces his autonomy.
Michael chooses Jan’s “bigger” argument over Pam’s advice	Michael	Himself / Pam	30	40	Helpless	He gains short-lived satisfaction but ignores sound advice, worsening his long-term situation while Pam tries to help.
Jan sings sexually provocative songs to her infant in the office	Jan	Her infant / office coworkers	10	5	Stupid	It offers her little real benefit while inappropriately sexualizing the environment and disturbing others.
Jan accuses Pam of having eyes for Michael multiple times	Jan	Pam	35	20	Bandit	She momentarily soothes her jealousy while unfairly attacking Pam and straining social dynamics.
Jan tells Michael not to date Holly after disliking her	Jan	Holly / Michael	40	20	Bandit	She tries to control Michael’s dating life for her own emotional comfort, undermining his and Holly’s potential happiness.
Michael ignores Jan’s advice and warmly hugs Holly and asks her out	Michael	Holly	80	85	Intelligent	He pursues a mutually caring relationship that benefits both of them emotionally.
Jan continually derails the county sales meeting by being impersonal and numbers-focused	Jan	County clients / Dunder Mifflin	25	20	Stupid	Her rigid style undermines her own sales success and makes the meeting less effective for the clients and company.
Women in “Women’s Appreciation Day” urge Michael to break up with Jan	The women	Michael	55	70	Intelligent	They gain little personally but give him needed support to leave an abusive relationship.
Jan frequently travels to Scranton, neglecting her VP duties	Jan	Dunder Mifflin corporate	20	25	Stupid	She sacrifices her own standing and productivity while draining company resources and focus.
Jan has an apparent fling with her young assistant Hunter	Jan	Hunter	50	10	Bandit	She gains emotional/sexual gratification but risks his well-being and professional boundaries.
Jan gets into a relationship with Michael despite knowing he’s a poor fit	Jan	Michael	20	20	Stupid	Both enter a dysfunctional relationship that damages them emotionally without clear long-term gain.
After being fired, Jan decides to become a candle maker instead of using her qualifications	Jan	Herself	25	40	Helpless	She pursues an ill-suited path that harms her career while offering quirky products others enjoy.
Jan drains Michael’s bank account for her candle business and condo renovations	Jan	Michael	60	5	Bandit	She funds her lifestyle and venture at Michael’s severe financial expense.
Jan accuses Michael of being unable to manage his finances after helping cause his debt	Jan	Michael	45	20	Bandit	She shifts blame to protect her self-image while unfairly attacking Michael and obscuring the real causes.
Jan accuses Michael of getting her drunk in “The Client”	Jan	Michael	40	15	Bandit	She avoids responsibility for her choices, protecting herself while unfairly implicating Michael.
Jan escalates to accusing Michael of spiking her drinks	Jan	Michael	30	5	Bandit	She further protects her image by implying serious misconduct, significantly harming Michael’s reputation.
Jan breaks up with her husband because he doesn’t want children	Jan	Her husband	55	60	Intelligent	She aligns her life with her core desire for children while allowing him to avoid an unwanted role.
Jan later rejects the idea of having kids with Michael	Jan	Michael	45	50	Helpless	She avoids a possibly bad co-parenting situation but undermines her own previously stated goal of having children.
Jan has a child later on	Jan	Her child	70	80	Intelligent	She fulfills a central personal goal while providing life and care to her child.
Jan points out that Michael is money dumb	Jan	Michael	55	60	Intelligent	Despite her hypocrisy, the accurate criticism can help Michael recognize and address a serious weakness.
Jan uses her implants to manipulate Michael (“I Have Boobs, You Must Obey!”)	Jan	Michael	50	20	Bandit	She gains influence and favors from Michael, who is being emotionally and sexually manipulated.
Jan films sex with Michael without his consent and gives the tapes to her therapist	Jan	Michael	20	0	Stupid	She risks legal and relational fallout while violating Michael’s privacy and safety.
Jan’s therapist advises her to embrace self-destructive tendencies	Therapist	Jan	10	5	Stupid	The therapist undermines her mental health while providing no real therapeutic benefit.
Therapist watches Jan’s non-consensual sex tapes with Michael	Therapist	Michael	10	0	Stupid	He gains little beyond prurient interest while deeply violating Michael’s privacy and ethics.
Jan treats the Scranton branch harshly as revenge after Michael rejects her	Jan	Scranton branch	30	10	Bandit	She vents her hurt by jeopardizing others’ job security and stability.
Jan mistreats her secretary in her later business	Jan	Her secretary	40	20	Bandit	She maintains control and perhaps modest business benefits by abusing an employee, harming morale and likely future performance.
Jan talks Michael out of running away in “Money”	Jan	Michael	60	80	Intelligent	She gains some emotional redemption while meaningfully helping him avoid an impulsive, harmful choice.
Jan smiles warmly after Michael closes the deal in “The Client”	Jan	Michael	55	70	Intelligent	She takes professional and emotional satisfaction in his success, which also advances his standing.
Jan files a deposition against Dunder Mifflin for unlawful termination	Jan	Dunder Mifflin	35	25	Stupid	Her case fails, consuming her time and credibility while imposing costs and strain on the company without benefit.
Michael decides to stand by the company instead of supporting Jan in the deposition	Michael	Dunder Mifflin / Jan	65	70	Intelligent	He protects his job and the firm’s position, indirectly pushing Jan to face consequences, despite hurting her case.
