Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Logan introduces Greg as "Cousin Craig"	Logan	Greg	55	40	Bandit	Minor status harm to Greg while amusing/establishing Logan’s dominance with no cost to himself.
Waystar records Greg as "Greg Roy"	Waystar admin systems	Greg	55	40	Bandit	Misnaming slightly helps admin continuity while erasing Greg’s identity/status.
Mattson derisively calls Greg "Gary"	Mattson	Greg	60	35	Bandit	He asserts superiority at Greg’s expense, minor gain in social dominance.
Greg mockingly asks Logan "Where are your kids?"	Greg	Logan	60	30	Bandit	Greg vents and tests power but provokes a nasty outburst, harming Logan more.
Greg decides to side with Kendall because Kendall was nice to him	Greg	Kendall	70	60	Intelligent	Aligning with a more supportive ally helps Greg while aiding Kendall’s faction.
Greg betrays Tom’s plan to go public with cruise scandal to Gerri	Greg	Tom	75	25	Bandit	He boosts his credibility and protection by undermining Tom’s moral move.
Gerri believes Greg over Shiv about Tom’s plan	Gerri	Shiv	60	40	Bandit	Gerri gains leverage using Greg’s info, at Shiv’s expense.
Greg worries about the damning cruise files all season	Greg	Greg	40	50	Helpless	Anxiety harms him personally but stems from wanting wrongdoing addressed.
Greg secretly saves a few cruise-scandal files from Tom’s destruction	Greg	Waystar victims	70	35	Bandit	He protects leverage for himself more than victims, while endangering the company.
Tom orders Greg to destroy cruise-scandal documents	Tom	Waystar stakeholders	70	10	Bandit	Protects Tom and the firm short-term while harming justice and victims.
Greg sides with Kendall and releases the records	Greg	Waystar leadership	75	20	Bandit	He boosts his own position and potential inheritance while causing major harm to the firm.
Greg factors in regaining inheritance as motive for releasing records	Greg	Ewan	80	40	Bandit	He uses moral action partly as leverage to reclaim money from his grandfather.
Greg blackmails Tom repeatedly	Greg	Tom	80	20	Bandit	He secures protection and advantage while hurting Tom’s autonomy.
Greg blackmails multiple other characters who underestimate him	Greg	Various others	80	20	Bandit	Systematically gains leverage by threatening others.
Tom abuses his authority over Greg at work	Tom	Greg	70	25	Bandit	He asserts dominance/enjoyment while degrading Greg’s position and well-being.
Tom has Greg do dirty work like shredding docs after long drive	Tom	Greg	70	20	Bandit	He offloads stress and liability to Greg, who suffers tedium and risk.
Greg eagerly declares he doesn’t care about others and mocks needing a soul	Greg	General others	65	35	Bandit	Cynical stance helps him operate ruthlessly while normalizing harm to others.
Greg betrays anyone when it serves his interests	Greg	Various others	85	20	Bandit	Pattern of opportunistic betrayal maximizes his gain at others’ expense.
Greg fixates on “attack child” invading the safe room	Greg	Greg	30	55	Helpless	Irrational anxiety harms him while not affecting others.
Tom drags Greg into the cruise crimes cover-up	Tom	Greg	80	15	Bandit	Makes Greg complicit, protecting Tom while exposing Greg to legal risk.
Greg rats Tom out to Gerri over cruise crimes to protect his job	Greg	Tom	80	25	Bandit	He shields himself by sacrificing Tom’s attempt to come clean.
Greg initially tries to remain morally pure in the family’s world	Greg	Greg	40	55	Helpless	Idealism hinders his advancement while providing a thin moral counterweight.
Greg sues his grandfather’s charity to reclaim inheritance	Greg	Grandfather’s charity	85	10	Bandit	He chases money via litigation that directly harms the charity’s resources.
Greg dumps Comfry to pursue a wealthy contessa	Greg	Comfry	75	25	Bandit	He increases social/financial prospects at the cost of Comfry’s feelings.
Greg accepts Tom’s “deal with the devil” to stay at Waystar	Greg	Greg’s moral integrity	80	20	Bandit	He chooses career security over his conscience.
Greg gets a haircut because he wants someone soothing to touch his head	Greg	Barber	60	60	Intelligent	Buys comfort and human contact, mildly benefits barber via business.
Greg tries to stay on everyone’s good side to keep his wealth access	Greg	Various others	75	30	Bandit	People-pleasing and manipulation protect his position more than theirs.
Greg flip-flops three times on handling the cruise scandal for pragmatism	Greg	Various factions	75	20	Bandit	He navigates to personally safest outcome while worsening others’ uncertainty.
Greg rats Tom out to Gerri when Tom wants to come clean	Greg	Tom	80	25	Bandit	He protects himself at the direct cost of Tom’s plan and exposure.
Greg sides with Kendall to take down Logan using hidden evidence	Greg	Logan	80	25	Bandit	He bets on Kendall’s rise, damaging Logan and the company.
Greg defects back to Logan when Kendall’s route seems impractical	Greg	Kendall	80	25	Bandit	He abandons Kendall to align with more secure power.
Greg sleeps with a ditzy woman in Logan’s home	Greg	Young woman	65	35	Bandit	He gains casual sex and status-y thrill with little concern for her safety.
Greg confesses the hookup and blames the woman, letting Colin “deal with” her	Greg	Young woman	70	10	Bandit	He shifts all blame and risk to her to preserve his standing.
Greg delivers bad news to Kerry about not appearing on ATN	Greg	Kerry	60	40	Bandit	He safeguards Tom’s position and his own role while hurting Kerry’s ambitions.
Greg piles on Kerry only after Marcia has emotionally destroyed her	Greg	Kerry	70	15	Bandit	He gains status with higher-ups by safely bullying someone already crushed.
Shiv threatens to “screw” Greg if he follows Tom’s orders in “America Decides”	Shiv	Greg	70	25	Bandit	She tries to intimidate him to protect her own secrets.
Greg leaks Shiv’s dealings with Matsson to Kendall to spite her	Greg	Shiv	80	20	Bandit	He vindictively boosts his standing with Kendall at Shiv’s expense.
Greg’s father abandons the family to pursue his own life	Greg’s father	Greg’s family	75	20	Bandit	He gains personal freedom while harming familial bonds and Greg.
Ewan cuts Greg out of his will after Greg twice sides with Logan	Ewan	Greg	20	40	Helpless	He tries to teach Greg a lesson but mostly weakens Greg and his own influence.
Greg ignores Ewan’s advice and tries to sue his grandfather	Greg	Ewan’s charity	80	15	Bandit	He doubles down on greed, further alienating family and harming charity.
Tom uses Greg as a footstool/human furniture	Tom	Greg	75	20	Bandit	He asserts dominance and amusement by humiliating Greg.
Greg tries to get family to call him “Gregory”	Greg	Family	55	45	Intelligent	He attempts a more dignified image with negligible effect on others.
Greg gets fired from mascot job after getting high before a shift	Greg	Greg’s job	15	60	Helpless	He loses employment while slightly amusing customers/colleagues.
Greg unsuccessfully blames his firing on a contact high	Greg	Bosses	40	45	Helpless	Dishonesty fails, further damaging credibility without helping others.
