Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Leela's parents legally adopt Zoidberg in Season 10	Leela's parents	Zoidberg	82	78	Intelligent	Gives them a loved son and gives Zoidberg family, emotional security, and belonging.
Zoidberg moves back to his dumpster due to his adoptive parents' overbearingness	Zoidberg	Zoidberg	38	55	Helpless	He sacrifices more comfortable housing and support for mild autonomy, slightly disappointing caring parents.
Planet Express crew hire/retain Zoidberg as staff doctor despite his incompetence	Professor Farnsworth	Planet Express crew	40	25	Stupid	Professor keeps a loyal friend but exposes everyone to frequent medical harm for negligible organizational benefit.
Decapodians eat anchovies to extinction	Decapodians	Anchovy species / ecosystem	70	5	Bandit	They gain great pleasure and satisfaction while wiping out another species and its future utility.
Zoidberg becomes infatuated/addicted to anchovies	Zoidberg	Zoidberg	25	45	Helpless	His addiction harms his health and judgment while only giving short-term pleasure and no lasting gain.
Leela crashes the Planet Express ship through the roof in "Bender Gets Made"	Leela	Planet Express property	35	10	Stupid	She solves nothing by crashing and causes serious property damage with no offsetting benefit described.
Hermes docks Zoidberg's pay after Leela crashes the ship	Hermes	Zoidberg	60	10	Bandit	Hermes saves money for the company/himself while unfairly penalizing an innocent coworker.
Zoidberg destroys an entire buffet table in "Roswell That Ends Well"	Zoidberg	Buffet provider / hosts	55	15	Bandit	He satisfies extreme hunger but wastes large shared resources and likely inconveniences others.
A Tritonian Yeti nearly bites through young Zoidberg's skull	Tritonian Yeti	Zoidberg	10	10	Stupid	It grievously injures him without any benefit to itself indicated, and gains nothing.
Zoidberg accidentally snaps the Professor's bottled ship in two with his claws	Zoidberg	Professor Farnsworth	30	15	Stupid	His clumsiness ruins a valued object and gives him no benefit, possibly some guilt.
Zoidberg frames Fry for breaking the Professor's bottle	Zoidberg	Fry	40	10	Bandit	He briefly deflects blame but risks friendship and Fry’s treatment to avoid his own accountability.
Zoidberg feels guilty about framing Fry and tries to kill himself	Zoidberg	Zoidberg	5	40	Helpless	He attempts self-destruction over guilt, easing others’ anger slightly while massively harming himself.
Zoidberg severs Fry's right arm in a fight over a Decapodian female	Zoidberg	Fry	20	5	Bandit	He pursues mating advantage while inflicting severe bodily harm on Fry.
Zoidberg eventually fixes Fry's severed arm after several failed attempts	Zoidberg	Fry	70	70	Intelligent	He restores Fry’s arm and partially redeems himself, regaining trust and proving competence.
Zoidberg kills patients through medical incompetence	Zoidberg	Human patients	40	5	Stupid	He gains a job and identity as doctor while repeatedly causing lethal harm far outweighing any benefit.
Zoidberg kicks Clamps’ ass when Clamps threatens his job and Bender	Zoidberg	Clamps	75	60	Intelligent	He protects his job and Bender’s safety by subduing a dangerous aggressor.
Leela offers Zoidberg a chance to tag along on an adventure in "Spanish Fry"	Leela	Zoidberg	60	80	Intelligent	She includes an excluded coworker, offering him fun and belonging with minimal cost to herself.
Zoidberg declines Leela's adventure invitation	Zoidberg	Zoidberg	50	60	Intelligent	He forgoes a risky outing and is content staying behind, slightly easing group logistics.
Leela's parents and Zoidberg proudly hang up a family photo in their homes	Leela's parents & Zoidberg	Each other	80	80	Intelligent	Mutual display of family pride strengthens emotional bonds at effectively no cost.
Zoidberg leaves Mom’s well-paid exobiology job to stay with the Professor out of loyalty	Zoidberg	Zoidberg	25	85	Helpless	He sacrifices wealth and comfort to honor a life-debt and friendship, hugely benefiting the Professor.
Zoidberg remains with Farnsworth instead of staying with Mom, losing a life of wealth	Zoidberg	Zoidberg	30	80	Helpless	He trades long-term prosperity for friendship and duty, greatly enriching the Professor’s support network.
Zoidberg saves Professor Farnsworth from a yeti	Zoidberg	Professor Farnsworth	70	90	Intelligent	He risks his own safety to rescue his only friend, preserving both their relationship and the Professor’s life.
Zoidberg backstabs Robot Santa to save his friends	Zoidberg	Robot Santa	70	85	Intelligent	He risks angering a lethal being to protect the crew, keeping his own moral standing in Santa’s eyes.
Zoidberg remains on Robot Santa’s Nice List even after betraying him	Robot Santa	Zoidberg	80	65	Intelligent	Santa rewards his overall goodness, giving him gifts and sparing his life with minimal external cost.
Zoidberg buys several of Fry’s records from an infomercial instead of asking Fry for them	Zoidberg	Zoidberg’s finances	35	60	Helpless	He overpays out of ignorance, losing money while mildly benefiting Fry/retailers.
Zoidberg impulsively buys a late edition newspaper from a street vendor	Zoidberg	Street vendor	45	60	Helpless	He wastes scarce funds on something of trivial value, but slightly helps the vendor.
Zoidberg spends $300 on rich-guy food he finds disgusting	Zoidberg	Restaurants / suppliers	20	55	Helpless	He gets little enjoyment while draining his only windfall, though he pays others for their services.
Zoidberg buys a hot dog feast for a bunch of homeless people with his $300	Zoidberg	Homeless people	20	85	Helpless	He sacrifices rare funds for himself to provide a substantial meal to many others.
Zoidberg throws his entire mob-money pot on roulette and wins	Zoidberg	Zoidberg	95	40	Bandit	He takes a huge risk but gets massive wealth, advantaging himself while the casino loses.
Zoidberg bets everything again, wins again to over $10,000,000,000	Zoidberg	Zoidberg	100	40	Bandit	He maximizes his personal fortune dramatically at further expense to the casino.
Zoidberg then bets everything and loses it all in one spin	Zoidberg	Zoidberg	0	60	Helpless	He obliterates an unimaginable fortune, while the casino and employees gain hugely from his loss.
Zoidberg buys drinks for everyone in the casino after his big win	Zoidberg	Other gamblers / patrons	40	80	Helpless	He significantly depletes his winnings to give brief joy and free drinks to many others.
Zoidberg accepts the loss of his fortune calmly and walks out with dignity	Zoidberg	Zoidberg	55	60	Intelligent	He preserves his self-respect and emotional stability, modeling grace and reducing others’ discomfort.
Zoidberg gives up a loving relationship so his girlfriend can gain a sense of smell	Zoidberg	Zoidberg’s girlfriend	25	85	Helpless	He risks or sacrifices his romance to improve her life, ultimately benefiting her greatly.
Zoidberg performs surgery to give his human girlfriend a sense of smell	Zoidberg	His girlfriend	80	90	Intelligent	The surgery succeeds, enhancing her quality of life and strengthening their relationship.
Zoidberg gives up a literal fortune to show people a good time	Zoidberg	Partygoers / public	15	85	Helpless	He sacrifices major financial security for fleeting happiness of others.
Zoidberg risks life and limb for his friends in dangerous situations	Zoidberg	Planet Express crew	70	90	Intelligent	He endangers himself to protect or save friends, consistently benefiting them and deepening bonds.
Zoidberg holds onto Hermes’ discarded body parts as Hermes replaces them with robotic ones	Zoidberg	Hermes	60	70	Intelligent	He patiently stores the parts out of friendship, enabling a later reversal of harmful modifications.
Zoidberg reassembles Hermes from his original body parts when Hermes loses his humanity	Zoidberg	Hermes	85	90	Intelligent	He restores Hermes’ organic body, preserving his sense of self and earning lasting gratitude.
Robot Santa rewards Zoidberg with a pogo stick for being good	Robot Santa	Zoidberg	80	75	Intelligent	Zoidberg gains joy and recognition, and Santa fulfills his purpose of rewarding goodness.
Previous Planet Express crew love and befriend Zoidberg	Captain Tucker’s crew	Zoidberg	75	80	Intelligent	Mutual friendship and inclusion give Zoidberg support and improve crew morale.
Current Planet Express crew keep Zoidberg around because he can cut things	Planet Express crew	Zoidberg	55	35	Bandit	They benefit from his cutting ability while tolerating his incompetence and giving him only minimal appreciation.
Zoidberg eats garbage and random objects to survive	Zoidberg	Zoidberg	30	40	Helpless	He sustains himself in the short term but damages his health and dignity, with little external cost or benefit.
Zoidberg lives in a dumpster instead of better housing	Zoidberg	Zoidberg	20	45	Helpless	He endures poor living conditions, saving some money but losing comfort and status.
Robot Santa spares only Zoidberg on Xmas as not naughty	Robot Santa	Others on Earth	70	10	Bandit	He selectively benefits Zoidberg while continuing lethal punishment toward almost everyone else.
Hermes openly tells Zoidberg he is not his friend	Hermes	Zoidberg	60	10	Bandit	Hermes gains emotional honesty/relief while deeply hurting Zoidberg with no compensating benefit to him.
Leela invites Zoidberg to be part of group adventures at times	Leela	Zoidberg	65	80	Intelligent	She offsets his exclusion by offering social inclusion with minimal effort.
Mom offers Zoidberg his own fully staffed laboratory	Mom	Zoidberg	80	60	Bandit	She tries to secure a brilliant exobiologist for her interests while offering him comfort and prestige mainly to exploit his skills.
Farnsworth keeps Zoidberg employed out of friendship despite his incompetence	Professor Farnsworth	Zoidberg	70	35	Helpless	He helps Zoidberg avoid destitution but endangers others and undercuts organizational effectiveness.
Zoidberg steadfastly refuses to abandon his friends	Zoidberg	Planet Express crew	70	85	Intelligent	His unswerving loyalty strengthens group cohesion and provides dependable support at personal cost.
Zoidberg appears on Robot Santa’s Nice List by consistently good behavior	Zoidberg	General public	65	70	Intelligent	His general kindness benefits others and wins him rare protection and gifts.
Zoidberg treats human patients despite not understanding human anatomy	Zoidberg	Human patients	35	10	Stupid	He maintains his role and small income, but repeatedly endangers or kills patients through ignorance.
Zoidberg eats messily and rapidly when given food due to chronic hunger	Zoidberg	Those around him	45	35	Bandit	He gets crucial calories but creates disgust and minor social costs for others.
Zoidberg uses his cutting ability to help with physical tasks for the crew	Zoidberg	Planet Express crew	65	80	Intelligent	He meaningfully contributes in the few areas he’s effective, improving mission outcomes and justifying his presence.
Zoidberg attaches Fry’s head to Amy’s body to save Fry’s life	Zoidberg	Fry	85	85	Intelligent	He performs complex surgery that successfully preserves Fry’s life with limited downsides.
Zoidberg plugs a hole in a door to protect the gang from Trisolians	Zoidberg	Planet Express crew	80	90	Intelligent	He uses his body/resources to shield friends from danger, at some discomfort to himself.
Zoidberg holds a heavy bulkhead door open with one claw for the crew	Zoidberg	Planet Express crew	75	85	Intelligent	He exerts great effort to ensure others’ safety, gaining some respect for bravery.
Zoidberg destroys his own tangled slinky and underwater house when physics goes wrong	Zoidberg	Zoidberg	25	40	Helpless	He loses possessions and home through bad luck/ineptness, while any wider harm is minimal.
Zoidberg extrudes foul stench when bored or in heat, repulsing humans	Zoidberg	Human coworkers	45	30	Bandit	He cannot fully control it, but it benefits him sexually among Decapodians while grossing out humans.
Zoidberg keeps a photo of himself with the Turangas displayed	Zoidberg	Turanga family	75	80	Intelligent	He reinforces positive family identity, deepening mutual affection and pride.
Turanga parents display their photo with Zoidberg in their home	Leela's parents	Leela & Zoidberg	80	80	Intelligent	They normalize him as family, strengthening emotional ties and security for both children.
Zoidberg uses his empathy bladder and high sensitivity to comfort others emotionally	Zoidberg	Planet Express crew	65	80	Intelligent	His emotional openness helps others, giving him some acceptance and connection.
