Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Parents tie her thumbs together to stop her from cleaning	Her parents	Her	5	10	Stupid	Harms their daughter’s autonomy and mental health without any shown benefit to themselves.
She chews through the twine	Her	Her parents / restraint	40	40	Helpless	She escapes an abusive restraint (benefit) but likely worsens parental hostility and her own physical strain.
Parents pick on and belittle her mental illness	Her parents	Her	10	5	Stupid	They emotionally harm her and aggravate her condition with no indicated gain for themselves.
Sue informs Emma about Will's escapades	Sue	Emma	60	30	Bandit	Sue’s reveal fuels Emma’s anger and possibly Sue’s agenda while upsetting Emma and disrupting others.
Principal Figgins cancels the club after Regionals loss	Principal Figgins	New Directions	50	5	Stupid	He removes an activity that benefits students; any “administrative” gain is not shown and costs morale.
Terri tells Emma she’ll never have a chance with Will and should marry Ken	Terri	Emma	70	10	Bandit	Terri protects her own relationship prospects with Will while deeply discouraging Emma.
Emma gives and takes on board bad advice	Emma	Emma / advice recipients	40	35	Helpless	Her inconsistent counsel confuses others and undermines her professional effectiveness.
Emma is capable as a counselor when necessary (e.g., talking with Artie)	Emma	Artie	70	80	Intelligent	Her effective counseling benefits Artie and affirms her competence and purpose.
Emma makes Will listen to reason	Emma	Will	75	80	Intelligent	She helps Will make better choices while also strengthening their relationship.
Emma has pamphlets for everything	Emma	Students / others	70	65	Intelligent	Her extreme preparedness helps others navigate issues and reinforces her role and security.
Emma delivers deadpan snark to Sue	Emma	Sue	60	40	Bandit	Her snark gives her emotional release and status while mildly undercutting Sue.
Emma quips “Did someone finally punch you?” to Sue	Emma	Sue	65	30	Bandit	She gains satisfaction and social leverage at Sue’s expense, with no clear constructive outcome.
Emma tells Rachel “When you’re older, that will turn out to be a gift”	Emma	Rachel	60	75	Intelligent	She reassures Rachel about a trait that may benefit her later, while building rapport.
Emma avoids being touched, remaining a virgin	Emma	Emma / intimate partners	45	40	Helpless	Her avoidance protects her from anxiety yet blocks desired intimacy and connection.
Emma slowly gets better with touch and eventually sleeps with Will	Emma	Emma and Will	85	85	Intelligent	She overcomes a major fear, improving her own life and deepening her relationship with Will.
Emma has a panic attack and trashes her office	Emma	Emma / her office	10	20	Stupid	She harms herself and her workspace during the breakdown without helping anyone.
Finn “shut up kisses” Emma during her panic attack	Finn	Emma	40	25	Bandit	His impulsive kiss soothes his feelings/impulses more than hers and risks worsening her distress.
Emma changes her hair/style as dating Carl makes her less obsessive	Emma	Emma	80	70	Intelligent	The style change reflects beneficial personal growth and reduced obsessiveness, also easing others’ concern.
Emma sits in her car crying in the rain over her crush on Will	Emma	Emma	15	40	Helpless	She emotionally harms herself while her vulnerability modestly deepens her characterization and potential empathy from others.
Emma tells Ken she will keep her name	Emma	Ken	75	60	Intelligent	She asserts her autonomy while honestly setting expectations, which can support a clearer relationship boundary.
Emma marries Carl and changes her name to Pillsbury-Howell	Emma	Emma and Carl	80	70	Intelligent	The marriage and name change signal commitment, benefiting both partners socially and emotionally.
Emma confesses to Will that she’s a virgin	Emma	Will	65	70	Intelligent	Her honesty fosters intimacy and understanding, aiding both her growth and Will’s ability to respond appropriately.
Emma sanitizes everything around her and takes several decontamination showers	Emma	Emma / surroundings	35	40	Helpless	Her compulsions reduce her perceived risk but significantly burden her time and well-being.
Emma delivers a “What the Hell, Hero?” to Will over the wedding vs. Sectionals	Emma	Will	70	75	Intelligent	She challenges his selfish priorities, defending her own needs while pushing him toward more responsible behavior.
Emma confronts Will again after Sue tells her about Will and Shelby/April	Emma	Will	65	60	Intelligent	Calling him out on his actions protects herself and others from further hurt and pressures him to improve.
