Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Jon spares Ygritte’s life instead of killing her	Jon Snow	Ygritte	40	80	Helpless	Jon endangers his mission and safety but preserves Ygritte’s life and gains her future affection.
Ygritte becomes attracted to Jon because he spared her life	Ygritte	Jon Snow	70	60	Intelligent	Her affection brings her personal happiness and emotional support for Jon.
Jon makes Ygritte his prisoner	Jon Snow	Ygritte	40	20	Bandit	Jon gains tactical leverage while restricting her freedom and safety.
Ygritte mocks and punctures Jon’s southern customs	Ygritte	Jon Snow	60	55	Intelligent	Her mockery reinforces her identity while forcing Jon to question assumptions.
Ygritte asks Jon “Then why are you fightin’ us?” after his First Men claim	Ygritte	Jon Snow	60	70	Intelligent	She gains argumentative advantage while prompting Jon to confront his contradictions.
Ygritte answers Halfhand honestly about Wildlings killing him	Ygritte	Qhorin Halfhand	55	40	Bandit	Her honesty gives her no big gain but offers him only a grim, minimally useful truth.
Ygritte repeatedly taunts Jon with “You know nothing, Jon Snow”	Ygritte	Jon Snow	60	55	Intelligent	The teasing strengthens their bond and challenges his naivety more than it harms.
Ygritte tests Jon’s loyalty by pressuring him to have sex (“If you’re really a Wildling, fuck me”)	Ygritte	Jon Snow	65	30	Bandit	She secures emotional/sexual commitment while undermining his vows and position.
Jon has sex with Ygritte despite his vows	Jon Snow	Himself / Night’s Watch	70	20	Bandit	Jon gains intimacy and happiness but jeopardizes his oath and mission.
Ygritte shows Jon how things are “done down south” in the cave encounter	Ygritte	Jon Snow	70	65	Intelligent	Both gain pleasure and intimacy, strengthening their relationship.
Ygritte bonds with Jon through belligerent sexual tension and teasing	Ygritte	Jon Snow	70	70	Intelligent	Mutual attraction and banter create emotional benefits for both.
Ygritte openly defends Tormund from Styr	Ygritte	Tormund	60	65	Intelligent	She reinforces an ally’s status and earns mutual loyalty.
Tormund helps guide Ygritte’s relationship with Jon	Tormund	Ygritte	60	65	Intelligent	He strengthens her emotional life and deepens their shared trust.
Ygritte becomes more humorless and cold after Jon’s “betrayal”	Ygritte	Herself	30	30	Stupid	Her reaction corrodes her own well‑being and makes her more dangerous to others without real gain.
Ygritte vows to kill Jon after he chooses duty over her	Ygritte	Jon Snow	35	25	Stupid	The fixation hurts her emotionally and drives conflict with little tangible benefit.
Ygritte shoots three arrows into Jon’s back after he leaves	Ygritte	Jon Snow	25	20	Stupid	She gravely wounds someone she loves, gains nothing, and still cannot kill him.
Ygritte spares Jon’s life when she has him dead to rights in battle	Ygritte	Jon Snow	40	70	Helpless	She sacrifices a major tactical advantage out of love, greatly benefiting Jon.
Ygritte deliberately misses when shooting at Jon earlier (as implied by Tormund)	Ygritte	Jon Snow	45	65	Helpless	She forgoes killing an enemy, helping Jon at real risk to herself and her cause.
Ygritte happily butchers villages to draw the Night’s Watch into the field	Ygritte	Villagers / Night’s Watch	55	5	Bandit	She advances her side’s strategy and her warrior role while massacring innocents.
Ygritte shoots unarmed peasants during the slaughter	Ygritte	Peasants	50	0	Bandit	She fulfills her role and furthers the raid at maximal cost to innocents.
Ygritte snipes eight Night’s Watch archers defending Castle Black	Ygritte	Night’s Watch archers	60	10	Bandit	She greatly aids the Wildling assault while killing opponents.
Ygritte kills Olly’s parents with a bow	Ygritte	Olly’s parents	55	5	Bandit	She advances the raid while inflicting devastating harm on civilians and provoking future revenge.
Ygritte spares Gilly and baby Sam in the brothel	Ygritte	Gilly and baby Sam	55	80	Intelligent	She preserves her self‑image and takes little risk while saving two helpless lives.
Ygritte tells Gilly to stay quiet and leave	Ygritte	Gilly	55	75	Intelligent	She protects Gilly and the baby with minimal personal cost.
Ygritte spares Gilly and the baby specifically because Sam is a baby	Ygritte	Baby Sam	60	80	Intelligent	Her refusal to hurt a child upholds her values while saving his life.
Ygritte hesitates and smiles instead of immediately shooting Jon in their final encounter	Ygritte	Jon Snow	35	65	Helpless	Her pause gives Jon a chance to live but leaves herself exposed with no gain.
