Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Quits job after online praise to become a performer	Andy	Andy	20	40	Helpless	He abandons a stable job for a risky, poorly planned showbiz gamble that doesn’t help anyone in the story.
Rips scrotum trying to do a split on car keys	Andy	Andy	2	50	Helpless	A flashy, unnecessary stunt leaves him seriously injured with no benefit.
Does parkour high jump onto empty cardboard box and falls	Andy	Andy	5	55	Helpless	His reckless parkour attempt causes him physical harm and no gain.
Runs race hard enough to get bloody nipples	Andy	Andy	35	60	Helpless	He harms himself physically in a charity race that modestly benefits others.
Tries to break steel golf club over his legs	Andy	Andy	5	50	Helpless	He injures himself for bravado with no upside mentioned.
Demands to know who put calculator in Jell‑O, threatening to lose his mind	Andy	Office coworkers	25	30	Stupid	His overreaction hurts his own composure and poisons the office mood without real benefit.
Rants about stolen property and punches a hole in the wall	Andy	Office / Office property	10	20	Stupid	He damages property and scares coworkers while also worsening his own reputation and job security.
Gets enraged when Dwight mocks Cornell	Andy	Dwight	30	30	Stupid	His hypersensitivity strains relations and undermines his image without clear gain.
Goes through anger management and moderates behavior	Andy	Andy & coworkers	80	80	Intelligent	He improves his own self-control and becomes more likable and functional for the office.
Manipulates Michael into thinking Dwight is untrustworthy and gets him fired	Andy	Dwight	70	10	Bandit	He secures advantage with Michael at Dwight’s expense, harming Dwight’s job.
Becomes jealous, secretly checks Erin’s cell phone	Andy	Erin	20	15	Stupid	His snooping damages trust and makes him look worse without clear benefit.
Attempts to fire Pete after learning of Pete–Erin relationship	Andy	Pete	30	10	Bandit	He abuses authority to hurt Pete and protect his own relationship interests.
Puts Gabe through relationship derailment so he can date Erin	Andy	Gabe	60	20	Bandit	He advances his own romantic goals by undermining Gabe.
Accepts bonus paycheck for profits earned while he was away at sea	Andy	Office staff / Company	70	25	Bandit	He personally profits from work others did while he contributed nothing during that period.
Uses Oscar’s breakup as acting material then criticizes Oscar for mentioning his own breakup	Andy	Oscar	50	35	Bandit	He exploits Oscar’s pain for his craft yet shames Oscar for doing the same, helping himself more than Oscar.
Shows strong business competence as manager pre–Season 9	Andy	Andy & office	75	80	Intelligent	His relatively effective management helps both his career and branch performance.
Displays poor sales performance and becomes worst salesperson	Andy	Andy & company	25	35	Helpless	His incompetence undermines his own success and only slightly harms others through reduced results.
Desperately seeks power, status, and respect, alienating people	Andy	Coworkers	30	35	Stupid	His neediness hurts relationships and his own social standing with no offsetting benefit.
Parents neglect him and favor younger brother	Andy’s parents	Andy	40	15	Bandit	They appear to gain emotional satisfaction from favoring the younger son while undermining Andy’s well‑being.
Coworkers treat Andy more kindly after learning about his family neglect	Coworkers	Andy	60	75	Intelligent	Their increased empathy improves Andy’s emotional state and office cohesion.
Gabe tries to sabotage Andy’s manager interview with astronomy question	Gabe	Andy	45	20	Bandit	He attempts to undermine Andy’s promotion prospects for his own competitive standing.
Andy answers Sun–Earth question precisely, impressing in interview	Andy	Andy	80	70	Intelligent	His unexpected knowledge boosts his own candidacy and shows competence to others.
Takes acting/singing gigs and student films in late Season 9	Andy	Andy	35	45	Helpless	He expends time and career capital chasing showbiz with limited payoff while mildly entertaining others.
Accepts being an unflattering meme and makes it work for him	Andy	Andy & audience	75	70	Intelligent	He reframes a humiliation into personal and public benefit.
Constantly gives coworkers goofy nicknames	Andy	Coworkers	60	55	Intelligent	He boosts his own social identity and usually provides lighthearted fun, albeit with occasional annoyance.
Keeps insisting Angela date him, giving gifts and physical excuses to touch her	Andy	Angela	40	20	Bandit	He pursues his desire while disregarding her disinterest and boundaries, making her uncomfortable.
Follows Erin and Robert’s car after party despite having a girlfriend	Andy	Erin & Jessica	25	15	Stupid	His stalking harms trust in both relationships and yields no real benefit.
Follows Erin to Florida to win her back	Andy	Erin	35	25	Bandit	He prioritizes his own romantic agenda while pressuring Erin and potentially disrupting her work life.
Constantly pesters Michael for approval until Michael hides from him	Andy	Michael	30	30	Stupid	His clinginess annoys Michael and damages his own standing without advantage.
Parents rename Walter Jr. to Andrew and give name to younger brother	Andy’s parents	Andy	30	20	Bandit	They shift status and symbolic favor to the younger son at Andy’s emotional expense.
