Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Annie decides to get an abortion because she and Hughie feel unready and fear Homelander’s world	Annie	Fetus / future child	40	60	Helpless	She avoids bringing a child into a highly dangerous environment but suffers deep trauma and guilt with no broader good achieved.
Sister Sage conspires to have Firecracker publicly reveal Annie’s abortion	Sister Sage	Annie	80	5	Bandit	Sage advances her anti-Annie political strategy by inflicting massive reputational and psychological harm on Annie.
Firecracker reveals Annie’s abortion on live television, demonizing her	Firecracker	Annie	75	5	Bandit	She boosts her profile and cause by humiliating Annie and shattering her public image.
Annie savagely beats Firecracker onstage after the abortion reveal	Annie	Firecracker	25	10	Stupid	She vents rage but nearly kills Firecracker on live TV, losing allies, public support, and political leverage.
Butcher ends his deal with Annie after seeing her attack on Firecracker	Singer (as implied decision-maker)	Annie	70	20	Bandit	He protects his political position and bill optics at Annie’s expense, withdrawing crucial institutional support from her.
Annie accidentally blinds a woman in her first rescue at age 13	Annie	Innocent bystander	45	10	Stupid	Her attempt to save hostages succeeds but catastrophically harms an innocent due to uncontrolled power.
Firecracker later publicizes Annie’s childhood blinding incident to smear her	Firecracker	Annie	75	10	Bandit	She gains propaganda ammo while gratuitously dragging an old victimizing mistake into the spotlight against Annie.
Annie accidentally kills a bystander who aims a gun at her and Butcher	Annie	Innocent bystander	40	15	Stupid	She and Hughie survive immediately, but she kills a mistaken civilian and emotionally numbs herself, deepening her moral damage.
Starlight “soft” blackmails Stillwell using Vought’s #MeToo optics to avoid being fired	Annie	Vought / Stillwell	70	40	Intelligent	She preserves her Seven position and leverage while forcing Vought to respect her assault allegation optics.
Annie secretly films Gecko selling his limb and blackmails him to steal Compound V	Annie	Gecko	65	30	Bandit	She gains critical intel for the Boys but coerces and endangers a former friend.
Annie uses the Gecko tape to blackmail A-Train into cooperation	Annie	A-Train	60	35	Bandit	She weakens a dangerous supe and aids the Boys via coercion that could destroy his life.
Annie leaks Compound V to the press as a mole	Annie	Vought / Supes	75	30	Bandit	She meaningfully damages Vought and exposes corruption but also destabilizes the supe world and her own safety.
Annie beats up a thug harassing a girl in her establishing moment	Annie	Thug	80	85	Intelligent	She protects a victim, asserts her heroic identity, and faces little downside.
Annie joins the Boys as a mole inside the Seven	Annie	The Boys	75	70	Intelligent	She gains allies and purpose while supplying them insider intel against Vought.
Hughie starts taking V24 to get powers and “protect” Annie	Hughie	Hughie’s own health	30	40	Helpless	He gains temporary power and pride but risks severe health damage and strains his relationship.
Hughie stops using V24 and chooses to help Starlight without powers	Hughie	Hughie & Annie	75	80	Intelligent	He protects his health, restores trust with Annie, and still contributes meaningfully.
Homelander forces Annie into a fake public relationship as punishment	Homelander	Annie	85	5	Bandit	He increases control and PR narrative while inflicting ongoing humiliation and fear on Annie.
Annie initiates the kiss with Homelander onstage to manage the situation	Annie	Homelander (and public)	60	40	Intelligent	She strategically leans into the façade to buy time and reduce Homelander’s suspicion, despite personal disgust.
Homelander kills Supersonic to punish Annie’s coup plotting	Homelander	Supersonic / Annie	90	0	Bandit	He consolidates control and terrorizes Annie at the cost of an ally’s life.
Annie publicly exposes Homelander and Vought at the end of Herogasm and quits	Annie	Vought / Homelander	55	75	Helpless	She reclaims integrity and inspires resistance but loses institutional protection and becomes a top target.
Annie quits the Seven and throws away her Starlight costume	Annie	Annie’s public hero persona	60	60	Intelligent	She abandons a toxic role while aligning with her real values and new allies.
Annie beats The Deep unconscious after A-Train’s intervention	Annie	The Deep	65	65	Intelligent	She neutralizes a dangerous abuser with minimal visible fallout, regaining agency and some deterrence.
Annie kills the shapeshifter supe who kidnapped and impersonated her	Annie	Shapeshifter supe	70	65	Intelligent	She ends an immediate lethal threat, rescues others, and reasserts control over her identity.
Annie defeats Black Noir II using pure skill without powers	Annie	Black Noir II	75	70	Intelligent	She proves her combat growth, removes a major threat, and gains no evident downside.
Annie establishes and runs Starlight House for homeless/at-risk youth	Annie	Homeless youth	80	90	Intelligent	She leverages her brand to create concrete material help for vulnerable children.
Annie uses her popularity to revert to her original, less sexualized costume	Annie	Vought PR narrative	70	70	Intelligent	She regains bodily autonomy, shifts her image toward genuine heroism, and still remains marketable.
Hughie joins the Seven despite Annie warning him it’s dangerous	Hughie	Hughie	40	45	Helpless	He gets proximity to Vought and Annie but exposes himself to lethal supe politics.
Annie calls out Butcher’s supe racism and compares him to Homelander	Annie	Butcher	60	60	Intelligent	She risks his ire but confronts a destructive bias that undermines their alliance.
Annie lashes out at Hughie over the shapeshifter incident, blaming him	Annie	Hughie	35	25	Stupid	She gains no benefit and damages trust while he acted under deception; her trauma drives needless hurt.
Annie lies to Butcher about knowing why Firecracker hates her	Annie	Butcher	45	40	Stupid	She momentarily avoids shame but convinces no one and weakens trust with a key ally.
Annie spreads false rumors as a teen that Sparkler/Firecracker slept with judges	Young Annie	Firecracker	65	10	Bandit	She boosts her pageant success at the cost of Firecracker’s reputation and livelihood.
Annie later sincerely apologizes to Firecracker, accepting that her cruelty was part of her	Annie	Firecracker	65	50	Intelligent	She gains self-knowledge and offers genuine remorse, slightly softening Firecracker’s hostility.
Annie comforts Frenchie about his guilt and suggests he talk to someone (Kimiko)	Annie	Frenchie	70	75	Intelligent	She deepens trust and steers him toward healthier coping with no visible downside.
Hughie keeps Annie in the dark about working with Soldier Boy and V24	Hughie	Annie	35	30	Stupid	He briefly avoids conflict but corrodes trust and endangers coordination against Homelander.
Annie returns to heavy drinking when learning about being dosed with Compound V as a baby	Annie	Annie	30	40	Helpless	She numbs the pain short-term while worsening her mental state and self-control.
