Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
SpongeBob prevents the permanent paint from touching Mr. Krabs' prized possessions	SpongeBob	Mr. Krabs and his possessions	78	82	Intelligent	He expends effort but successfully protects his boss’s valuables with no downside shown.
SpongeBob saves Mr. Krabs from King Neptune by offering to journey to Shell City for the crown	SpongeBob	Mr. Krabs	65	90	Intelligent	He risks his own safety and ultimately succeeds in saving Krabs and the kingdom.
SpongeBob stays a long time in Sandy’s treedome without a helmet	SpongeBob	SpongeBob	20	50	Helpless	His ignorance nearly causes him serious harm while not affecting others.
SpongeBob expects overnight celebrity after obscure Krusty Krab commercial	SpongeBob	SpongeBob	45	55	Helpless	His inflated expectations bring him no benefit and some humiliation.
SpongeBob assumes he’ll be manager of Krusty Krab 2 and humiliates himself on the microphone	SpongeBob	Audience at Krusty Krab	30	60	Helpless	His overconfidence leads to repeated self-humiliation without clear harm to others.
SpongeBob takes Squidward in when he’s homeless and lets him live there long-term	SpongeBob	Squidward	25	75	Helpless	He sacrifices comfort and sanity to house Squidward, who exploits him.
SpongeBob drags Squidward (still in bed) to the Krusty Krab to get his job back	SpongeBob	Squidward	70	65	Intelligent	He forcefully pushes Squidward to employment, relieving his own burden and restoring Squidward’s job.
SpongeBob snaps and strangles Mr. Krabs while yelling about the dime	SpongeBob	Mr. Krabs	40	20	Stupid	His outburst risks his job and assaults his boss, only accidentally revealing the dime.
SpongeBob calls out Mr. Krabs for torturing Gary to get loose change	SpongeBob	Mr. Krabs	70	75	Intelligent	He confronts his boss to protect Gary, safeguarding his pet and pushing back against abuse.
SpongeBob explodes in rage when Patrick puts Krabby Patties on his feet	SpongeBob	Patrick	40	30	Stupid	He violently overreacts to a petty provocation, harming Patrick with no benefit.
SpongeBob protects Patrick and repeatedly goes through troubles to keep him okay	SpongeBob	Patrick	80	85	Intelligent	His protective efforts cost him but maintain Patrick’s well-being and their bond.
SpongeBob eats a homemade sundae of ketchup, onions, and a peanut plant	SpongeBob	SpongeBob	35	55	Helpless	He indulges in something that is unpleasant and harmful to himself with no upside.
SpongeBob throws Sandy on the ground to keep waiting for his toy	SpongeBob	Sandy	40	20	Stupid	He physically harms a friend over a trivial obsession and gains nothing long-term.
SpongeBob kills many scallops defending the Patty he loves	SpongeBob	Scallops	25	5	Bandit	He commits large-scale harm to protect an inanimate object he’s attached to.
SpongeBob tortures Plankton with his laugh at Mr. Krabs’ direction	SpongeBob	Plankton	55	10	Bandit	He cooperates in psychological torture, pleasing his boss while badly harming Plankton.
