Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Gary becomes very angry when someone hurts Selina	Gary	People who hurt Selina	40	40	Stupid	Anger stresses him and escalates conflict without clear benefit to anyone.
Gary flips out when Selina says he's unimportant to her	Gary	Selina	35	40	Stupid	Explosive reaction harms his emotional stability and relationship with no clear gain.
Gary screams and tries to throttle Andrew when his cheating on Selina is discovered	Gary	Andrew	30	20	Stupid	Violent outburst risks serious consequences for Gary and doesn’t materially help Selina.
Gary shows annoyance at Jonah	Gary	Jonah	48	45	Stupid	Mild hostility gives Gary slight venting but mostly adds negativity with no benefit.
Gary tells others “Get to the panic room!” during a shooter lockdown	Gary	Nearby people	80	90	Intelligent	Directs people toward safety, helping both himself and others in a dangerous situation.
Sue mocks Gary by saying “Every room you're in is a panic room”	Sue	Gary	60	30	Bandit	She gains amusement/status at Gary’s expense by belittling him.
Gary burns his hands holding VP Meyer's hot coffee while she chats	Gary	Selina	20	70	Helpless	He physically harms himself to provide trivial comfort and status benefit to Selina.
Gary repeatedly does similar self-harming favors for Selina in later episodes	Gary	Selina	15	70	Helpless	Ongoing pattern of self-sacrifice harms him while benefiting Selina’s comfort and image.
Gary never goes against Selina’s wishes	Gary	Selina	25	65	Helpless	Total submission limits his own prospects and agency while supporting Selina’s needs.
Gary forgives Selina for framing him for fraud	Gary	Selina	10	40	Helpless	Forgiveness deepens his self-betrayal and leaves Selina freer from guilt or consequences.
Gary refuses to say a bad word about Selina even after her betrayal	Gary	Selina	15	35	Helpless	Silence protects her reputation while keeping him trapped in a harmful dynamic.
Gary unwittingly takes the fall for Andrew Meyer’s fraudulent activities	Gary	Andrew	5	80	Helpless	He is punished and likely jailed while Andrew is shielded from consequences.
Gary softens “VPILF” to “would like to, you know, fool around with” when talking to Selina	Gary	Selina	55	60	Intelligent	He protects his own standing and spares Selina from a harsher, more insulting phrasing.
Amy bluntly says “Fuck” to define VPILF	Amy	Selina	60	30	Bandit	She gains directness/relief but risks offending Selina and harming their rapport.
Gary uses a rare precision F-strike when pushed to his limits	Gary	Whoever provoked him	45	40	Stupid	Venting offers fleeting relief but creates conflict and reputational risks.
Gary becomes passive-aggressive toward Selina’s boyfriends out of jealousy	Gary	Selina’s boyfriends	35	30	Stupid	Jealous behavior strains relationships and doesn’t secure real gains for him.
Gary reacts with anger when Selina says he’s unimportant and reminds her he’s more than a bagman	Gary	Selina	75	40	Bandit	He asserts his worth, improving his self-respect while challenging Selina and causing her discomfort.
Gary delivers “I’ve broken my body for you…” speech to Selina	Gary	Selina	80	45	Bandit	Confrontation boosts his self-definition and power while emotionally wounding her.
Gary walks in on Selina and Tom James having sex and is left in a whimpering daze	Gary	Gary	10	50	Helpless	He is emotionally wrecked while others remain unaffected or indifferent.
Gary cultivates deep knowledge of DC politics that is very useful to Selina	Gary	Selina	75	85	Intelligent	His expertise advances his own professional value and directly supports Selina’s operations.
Gary continues showing love and care for Selina despite it being unreciprocated	Gary	Selina	30	60	Helpless	His devotion emotionally costs him while giving Selina steady support and validation.
Gary and Selina keep their Labor Day incident secret, using its mention to end arguments	Gary	Selina	70	60	Intelligent	The shared secret gives Gary leverage and de‑escalates conflicts, benefiting them both.
Selina backs off and apologizes when Labor Day is mentioned	Selina	Gary	60	60	Intelligent	Her retreat and apology repair conflict and modestly protect her interests with Gary.
Gary exclaims “Shit just got real!” during the White House shooting incident	Gary	Nearby people	55	55	Intelligent	His reaction signals seriousness and may help others register the danger without causing harm.
Gary uses a precision F-strike in “The Reason You Suck” speech to Selina	Gary	Selina	78	42	Bandit	He gains catharsis and self-assertion while hurting her emotionally and challenging her authority.
Gary gives a “Reason You Suck” speech to Selina’s staff and Tom James for screwing up the election	Gary	Selina’s staff and Tom James	70	35	Bandit	He vents and asserts himself while undermining their morale and relationships.
Gary remains an extreme professional butt-kisser to Selina over time	Gary	Selina	25	65	Helpless	Long-term self-effacement supports Selina’s ego and status while limiting his own growth and dignity.
Gary takes a sneeze for Selina (“taking the bullet”)	Gary	Selina	35	70	Helpless	He suffers discomfort to spare her, with no real benefit to himself.
Gary breaks up with Selina’s boyfriend on her behalf	Gary	Selina’s boyfriend	40	30	Bandit	He increases his value to Selina but harms the boyfriend and social harmony.
Selina frames Gary for Andrew’s Meyer Fund crimes	Selina	Gary	90	5	Bandit	She protects her own career and power by sacrificing Gary to legal consequences.
Gary, initially hurt by the betrayal, still attends Selina’s funeral 24 years later	Gary	Selina’s memory	20	40	Helpless	He sustains loyalty and emotional pain while giving her legacy unearned devotion.
Gary cries at Selina’s coffin at her funeral	Gary	Selina’s memory	25	45	Helpless	His grief burdens him while symbolically honoring her and reinforcing her myth.
Gary increasingly adopts Selina-like cruelty and harsh insults over the series	Gary	Others around him	45	25	Bandit	He gains alignment and favor with Selina at the cost of others’ well-being and relationships.
Gary consistently sides with Selina over anyone else, no matter how vicious her actions	Gary	Everyone opposed to Selina	35	20	Stupid	His blind allegiance limits his own moral agency and contributes to wider harm from her decisions.
