Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Rom tries to fit the “good Ferengi” mold and go into sales despite no talent	Rom	Rom	20	40	Helpless	His choice traps him in an ill-suited, unsuccessful career without helping anyone else.
Nog becomes successful in Starfleet, contrasting with Rom’s failed Ferengi career	Nog	Rom	80	60	Intelligent	Nog’s success benefits himself and indirectly pushes Rom toward a better path.
Rom quits working for his brother, motivated by Nog’s disappointment	Rom	Rom	85	70	Intelligent	Leaving Quark’s employ lets him move toward engineering work and improves his life and usefulness.
Quark forces Rom to do all dirty jobs at the bar (repairs, waiting, cleaning)	Quark	Rom	70	30	Bandit	Quark benefits from cheap labor while Rom is overworked and underappreciated.
Starfleet recognizes Rom’s talents and gives him promotions	Starfleet	Rom	90	80	Intelligent	Recognition and promotions benefit Rom and put his skills to use for others.
Rom invents the self-replicating minefield trick	Rom	Alpha Quadrant	85	95	Intelligent	His idea is pivotal in blocking Dominion reinforcements, saving many lives and elevating his value.
Rom becomes Grand Nagus	Rom	Ferengi society	95	80	Intelligent	He gains maximum status while steering Ferengi society in more constructive directions.
Rom acts as a brave, if mostly ineffectual, spy and fighter	Rom	Allies vs Dominion	60	75	Intelligent	He risks himself with modest personal gain to help the anti-Dominion cause.
Rom attacks those who interfere with Nog	Rom	Threats to Nog	65	50	Intelligent	Protecting Nog has personal cost but defends his son; harm is only to would‑be aggressors.
Rom tries to convince Odo that Quark wouldn’t want to be kept alive artificially so he can inherit the bar	Rom	Quark	70	10	Bandit	He seeks financial gain by attempting to influence life‑and‑death decisions against Quark’s interests.
Rom cooperates in Quark’s repeated assassination attempts	Rom	Quark	40	5	Bandit	He risks legal/social fallout to gain Quark’s assets at Quark’s extreme expense.
Rom takes part in a plot to murder Quark in “The Nagus”	Rom	Quark	40	5	Bandit	Similar assassination plot aims for personal advancement at Quark’s life.
Quark easily forgives Rom for the murder plot and keeps him employed	Quark	Rom	60	60	Intelligent	Quark retains a useful worker and family tie while giving Rom stability and a fresh start.
Rom has an epiphany about the minefield while obsessing over trivial wedding issues	Rom	Allies vs Dominion	85	90	Intelligent	The insight greatly benefits the war effort and enhances his standing, trivial anxiety aside.
Rom gets an ear infection from excessive self-administered oomox	Rom	Rom	10	50	Helpless	His indulgence directly harms his health without providing enduring benefit.
Rom is more ruthless in early seasons, even trying to kill Quark in “The Nagus”	Rom	Quark	35	5	Bandit	The attempted fratricide risks himself for potential material gain at Quark’s expense.
Quark forgives Rom after the attempt and continues their relationship	Quark	Rom	70	65	Intelligent	Maintaining the relationship keeps Quark staffed and preserves family, helping both.
Rom eventually gets a job as a station maintenance worker	Rom	Station/crew	85	85	Intelligent	He finds work that fits his skills, improving his life and the station’s functioning.
Rom keeps all high technology in Quark’s Bar working through inventive fixes	Rom	Quark’s Bar	75	85	Intelligent	His competence supports bar operations while showcasing his engineering ability.
Rom designs an extremely convoluted lock for Quark’s bar	Rom	Quark’s Bar	70	75	Intelligent	The complex lock secures Quark’s property and demonstrates Rom’s ingenuity.
Rom becomes part of O’Brien’s maintenance crew and blossoms	Rom	Station/crew	90	90	Intelligent	Joining the crew maximizes his talents, benefiting him and the station.
Rom joins Chief O’Brien’s crew despite Ferengi prejudice against non‑business roles	Rom	Ferengi norms	80	75	Intelligent	He rejects harmful norms, succeeding personally and serving the station.
Rom gets swindled by Nog’s mother due to not checking the marriage contract	Rom	Nog’s mother	5	55	Helpless	His careless love costs him all his money while providing profit to his ex‑wife.
Quark sarcastically praises romance after Rom is swindled	Quark	Rom	55	55	Intelligent	Quark’s reaction costs him nothing and may reinforce a cautionary lesson for Rom.
Rom gives Quark advice on how to pass as a woman	Rom	Quark	60	70	Intelligent	He gains small relational credit while significantly helping Quark’s scheme.
Rom gives his entire net worth to a fund for war orphans	Rom	War orphans	15	95	Helpless	He sacrifices almost all his wealth to greatly aid vulnerable others.
Rom sometimes plays up his ditzy reputation to gain advantage	Rom	Others’ perceptions	70	40	Bandit	He exploits others’ underestimation to benefit himself with minor downside to them.
Rom uses obfuscating stupidity as a Secret Test of Character for Freeman and Vassery	Rom	Freeman and Vassery	70	65	Intelligent	His act helps evaluate them for Federation membership, aiding a just outcome.
Rom threatens to burn down Quark’s bar after Quark sabotages Nog’s test	Rom	Quark	45	30	Bandit	He defends Nog but by threatening major property damage, risking himself and harming Quark.
Rom provides undying loyalty, trusted with O’Brien’s wife’s life	Rom	O’Brien and Keiko	80	90	Intelligent	His steadfast reliability safeguards others and strengthens his own reputation.
Rom plays baseball so badly he causes bat-related injuries to his team	Rom	Baseball teammates	45	10	Stupid	His incompetence hurts teammates while giving him little or no benefit from playing.
