Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Homelander destroys the Baltimore mayor’s plane (killing his family) to stop blackmail about Compound V	Homelander	Baltimore mayor & family	80	5	Bandit	Eliminates a political threat and protects Vought and his image at the cost of innocent lives.
Homelander accidentally destroys the hijacked airliner’s controls with eye beams, then abandons all passengers to die	Homelander	Flight 37 passengers	40	0	Stupid	Lazily uses eye beams instead of a safer method, gains no benefit beyond short-term secrecy while causing mass death and later huge leverage against him.
Homelander later uses the Flight 37 disaster as propaganda to push Supes into the military	Homelander	General public	85	10	Bandit	Successfully turns a hidden atrocity into political capital while the dead gain nothing.
Homelander rapes Becca Butcher	Homelander	Becca	60	0	Bandit	He gratifies his entitlement and creates an heir but gains a relentless mortal enemy and massive future fallout.
Homelander engineers distribution of Compound V to terrorists to create Supe “supervillains”	Homelander	Global civilians	75	5	Bandit	Helps justify Supe militarization and his relevance while unleashing deadly new threats on innocents.
Homelander kills the eco‑terrorist’s hostage by overheating his gun with eye beams	Homelander	Hostage	35	5	Stupid	Intends to disarm but carelessly causes an explosion and death, gaining only blame and trauma.
Homelander murders all hostages and terrorists in his first mission after they call him a monster	Homelander	Hostages & terrorists	45	0	Stupid	Slaughters everyone out of rage, forcing a cover‑up and feeding his later instability without tangible gain.
Homelander accidentally kills a child in Africa while using eye beams on a “supervillain”	Homelander	African child	30	0	Stupid	Reckless power use kills an innocent, damaging his reputation with no compensating benefit.
Homelander dooms Ryan’s staged “hero” rescue by letting him kill Koy and reframing it as no big deal	Homelander	Ryan	25	10	Stupid	Protects his own ego while emotionally warping his son and undermining Ryan’s moral development.
Homelander repeatedly treats Ryan as an extension of himself and pressures him to adopt his worldview	Homelander	Ryan	30	10	Stupid	Short‑term emotional security for Homelander at the cost of alienating Ryan and destabilizing their bond.
Homelander beats Ryan half to death after Ryan confronts him about raping Becca	Homelander	Ryan	5	0	Stupid	Savagely injuring his son obliterates their relationship and provides no gain, only emotional and reputational risk.
Homelander tries to recruit Soldier Boy as his father and partner to rule, then protects Ryan when Soldier Boy attacks	Homelander	Soldier Boy	60	35	Intelligent	Gains insight into his lineage and preserves Ryan, while exposing Soldier Boy’s threat.
Homelander later confronts Soldier Boy with Butcher and lasers him alongside Butcher to protect Ryan	Homelander	Soldier Boy	70	55	Intelligent	Cooperates with an enemy to neutralize a greater danger to his child and others.
