Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Jian Yang possibly kills Erlich and assumes his identity	Jian Yang	Erlich	80	5	Bandit	Potential murder would remove Erlich and let Jian Yang take his place, benefiting himself while gravely harming Erlich.
Erlich repeatedly bursts into other people's conversations in college	Erlich	Other students	60	20	Bandit	He gains attention and social presence while loudly disrupting and annoying others.
Richard shows Erlich the "Kool-Aid" video and explains the real nickname meaning	Richard	Erlich	60	55	Intelligent	Richard gets to vent and clarify the truth while giving Erlich information that could help his self-awareness.
Erlich gives Richard business insight about using Hooli’s EndFrame acquisition as leverage	Erlich	Richard	55	85	Intelligent	Erlich is stoned but still strengthens Richard’s bargaining position, offering high value with little personal cost or gain.
Erlich makes valid points during "Mean Jerk Time" discussions	Erlich	Team	55	80	Intelligent	His accurate input helps the group’s decision-making and indirectly supports his own venture.
Erlich provides Richard with useful advice and guidance during serious moments	Erlich	Richard	60	85	Intelligent	His mentorship improves Richard’s outcomes and, via Richard’s success, sustains Erlich’s own stake.
Erlich offers housing, beer, and weed so people will hang around him	Erlich	Group	65	40	Bandit	He secures social presence and utility from others by providing resources, which helps them but is primarily self-serving and resource-draining.
TJ Miller misses multiple shooting days and sleeps after every shoot	TJ Miller	Rest of cast/production	70	10	Bandit	He preserves his own comfort at the expense of colleagues’ time and production reliability.
TJ Miller bullies others on set with his know-it-all attitude	TJ Miller	Others on set	65	15	Bandit	He asserts dominance and ego gratification while emotionally harming coworkers.
Erlich explains pro-tenant laws to Jian Yang, enabling Jian Yang to stay in his house for a year	Erlich	Jian Yang	10	70	Helpless	By informing Jian Yang, he accidentally arms him to exploit Erlich’s own property situation.
Jian Yang decides to keep staying at Erlich’s house using tenant protections	Jian Yang	Erlich	80	10	Bandit	He secures long-term free housing at significant cost and loss of control for Erlich.
Erlich tricks Big Head into giving him access to his fortune	Erlich	Big Head	75	15	Bandit	He gains control of another’s wealth for his own use, diminishing Big Head’s autonomy and security.
Erlich uses Big Head’s money to throw a big self-celebratory party	Erlich	Big Head’s fortune	30	20	Stupid	He squanders funds on vanity, gains fleeting pleasure, and incurs massive future financial liability.
Erlich discovers Big Head is broke and ends up on the hook for $1 million	Erlich	Erlich	5	50	Stupid	His earlier deceit leaves him financially devastated with no offsetting benefit.
Erlich sells his Pied Piper shares to cover $713,000 of debt	Erlich	Erlich	15	55	Stupid	He sacrifices potentially billions in future equity to clear debt created by his own irresponsibility.
Acquiring more of Pied Piper later leads to Erlich owning half a company in terrible shape	Erlich	Erlich	45	40	Bandit	He ends up with major ownership that could help him but in a weakened company, while earlier actions hurt partners and stability.
Erlich tries to use Big Head's Stanford CS students as free labor for See Food	Erlich	Students	70	25	Bandit	He attempts to extract unpaid work for his project, seeking gain while exploiting them.
Students realize the scheme and steal Erlich’s See Food idea	Students	Erlich	20	40	Helpless	They help themselves by taking the idea but destroy Erlich’s potential value, which he had already positioned against his own interests.
Erlich sleeps with other men's wives	Erlich	Husbands/relationships	65	5	Bandit	He gains sexual gratification and ego support while undermining marriages and harming spouses.
Erlich goes home after Keenan’s betrayal and sets the palapa on fire while sitting under it	Erlich	Erlich	5	40	Stupid	His apparent suicide attempt risks his life without solving his problems or aiding anyone.
Erlich becomes non-responsive after Keenan Feldspar backstabs him	Erlich	Erlich	10	50	Stupid	His breakdown incapacitates him, providing no compensating benefit to himself or others.
Keenan Feldspar backstabs Erlich to work for Jack Barker at Hooli	Keenan Feldspar	Erlich	85	15	Bandit	He advances his own career by discarding Erlich, materially harming Erlich’s prospects.
Erlich literally knocks down Richard’s locked door to check on him	Erlich	Richard	40	90	Intelligent	He sacrifices a door and effort to ensure Richard’s safety, strongly benefiting Richard and the team.
Erlich ushers the others out and replaces the door to give Richard privacy	Erlich	Richard	55	80	Intelligent	He expends effort to restore the door and preserve Richard’s focus and comfort, helping both Richard and their project.
Erlich goes on psychotropic mushroom trips while trying to think up a good company name	Erlich	Erlich	35	55	Helpless	The vision quest may yield ideas but risks mental coherence and productivity for dubious creative gain.
Erlich copies aspects of Japanese business culture, such as ritualized gift-giving	Erlich	Business contacts	60	70	Intelligent	His mimicry may improve relationships and deals, modestly benefiting both him and counterparts.
Erlich knocks himself effectively "out of society" and ends up in a Tibetan house smoking opium	Erlich	Erlich	15	55	Stupid	Retreating into heavy opium use in Tibet removes him from opportunities, offering only ephemeral relief.
