Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Quinn and Kurt secretly help Sam at the motel	Quinn and Kurt	Sam	65	60	Intelligent	They support Sam as good friends, helping him without evident harm to themselves or others.
Sam dates multiple girls and stays close friends with them afterward	Sam	His ex-girlfriends	70	70	Intelligent	He gains romantic experience and lasting friendships while they retain a positive relationship with him.
Santana briefly dates Sam to hide that she’s a lesbian	Santana	Sam	40	25	Bandit	She gains cover and safety while deceiving him and limiting his informed choice in the relationship.
Sam protects his reputation by reacting strongly if accused of cheating or selling himself	Sam	Accusers	55	45	Intelligent	Defending boundaries protects his social standing, with at most minor social friction toward others.
Sam refuses to tolerate attacks on anyone in New Directions	Sam	Attackers of New Directions	65	80	Intelligent	He risks conflict but clearly benefits and protects his friends and group cohesion.
Sam struggles with whether to embrace a “brainless beauty” image	Sam	Sam	40	50	Helpless	Trying to fit a shallow image undermines his self-concept without concrete benefit shown.
Artie mocks Sam’s “Bieber cut” at their first meeting	Artie	Sam	55	30	Bandit	Artie gains a brief social laugh at Sam’s expense, offering Sam no clear benefit.
Sam sings Justin Bieber songs in “Comeback”	Sam	Audience/glee club	70	65	Intelligent	He gains performance time and likely praise while entertaining others.
Sam declares publicly he will fight to win Mercedes back despite her boyfriend	Sam	Mercedes and her boyfriend	55	35	Bandit	He pursues his desires at the cost of awkwardness and pressure for Mercedes and disrespect toward her existing relationship.
Sam stealth-proposes to Mercedes twice	Sam	Mercedes	45	35	Bandit	His repeated, partly covert proposals pursue his romantic goal while pressuring her and ignoring her boundaries.
Sam joins the swimming team to impress Mercedes	Sam	Swim team / Mercedes	60	60	Intelligent	He improves himself and contributes athletically while giving Mercedes a non-harmful display of dedication.
Sam puts Mercedes’ name in lights	Sam	Mercedes	65	75	Intelligent	He invests effort and possibly resources to delight her, benefiting both with little downside.
Sam refuses to take back the Valentine gift when Mercedes rejects him	Sam	Mercedes	55	70	Intelligent	He accepts her decision yet leaves her with a gift, gaining some dignity while giving her an unencumbered present.
Sam continues to look at Mercedes with obvious longing after ending his advances	Sam	Mercedes	45	40	Helpless	His lingering attachment hurts his own emotional recovery and may cause her discomfort without helping either of them.
Mean jocks call Sam “Lady Lips”	Mean jocks	Sam	55	20	Bandit	They gain amusement and dominance at notable emotional cost to him.
Sue mistakes Sam for a girl and comments on getting “that girl” on her Cheerios	Sue	Sam	60	30	Bandit	She treats him as an object for her squad, asserting her agenda while disregarding his identity.
Sam hides the fact that he bleaches his hair	Sam	Sam’s peers	55	50	Intelligent	Concealing a trivial cosmetic secret protects his image without harming anyone.
Sam confesses his hair-bleaching secret to Quinn when Kurt figures it out	Sam	Quinn	60	70	Intelligent	Admitting the truth relieves his anxiety and deepens trust with Quinn.
Sam is more active in protecting his friends than Finn is	Sam	His friends	75	80	Intelligent	His protective behavior benefits him through loyalty and purpose while clearly safeguarding others.
Sam gives his word to sing a duet with Kurt	Sam	Kurt	70	80	Intelligent	He commits to support Kurt artistically despite potential social risk, strengthening both their positions.
Finn advises Sam not to sing with Kurt to avoid bullying	Finn	Sam and Kurt	35	20	Stupid	Finn gains no benefit and encourages fear-based self-limiting that harms their opportunities and Kurt’s support.
Sam insists on keeping his word to Kurt despite Finn’s warning	Sam	Kurt	75	80	Intelligent	He upholds integrity and solidarity with Kurt, accepting risk to do what’s right for them both.
Sam hides his inner dork and accepts insults to stay with Quinn	Sam	Quinn	30	45	Helpless	He sacrifices authenticity and endures mistreatment for the relationship, giving Quinn a compliant boyfriend while harming himself.
Sam hides his inner dork and accepts insults to stay with Santana	Sam	Santana	30	40	Helpless	He tolerates disrespect and self-erasure for her benefit, hurting his own well-being.
Glee club members pool money to buy Sam’s guitar back	Glee club	Sam	40	85	Helpless	They sacrifice their own resources to restore his property, strongly helping him at some personal cost.
Sam cries when he sees they bought his guitar back	Sam	Glee club	70	85	Intelligent	His emotional response strengthens bonds and gratitude, rewarding the group socially.
Sam gives a No-Holds-Barred beatdown to Karofsky defending Kurt, Mike, and Artie	Sam	Karofsky	40	70	Intelligent	He risks punishment and injury but meaningfully protects bullied friends, offering them safety and solidarity.
Sue repeatedly comments on Sam’s mouth size and appearance	Sue	Sam	55	30	Bandit	She treats him as an object for ridicule or desire, asserting power at his expense.
Sam works as a stripper after moving to support his family	Sam	Sam’s family	75	80	Intelligent	He endures stigma but gains income and significantly helps his struggling parents.
Sam becomes a walking shirtless scene for calendars, modeling, and playing Rocky	Sam	Audience/employers	70	70	Intelligent	He monetizes and leverages his assets while entertaining others, with no clear harm mentioned.
Sam develops signature body rolls that spread to other club guys	Sam	Other club guys	65	70	Intelligent	His moves enhance performances and influence peers’ style, benefiting everyone artistically.
Sam dates five of the six girls in glee club in quick succession	Sam	Various girlfriends	55	45	Bandit	He avoids loneliness and gains repeated romantic fulfillment while creating emotional instability for others.
Sam repeatedly falls into “epic romance” thinking and proposes twice	Sam	His partners	40	35	Helpless	His impulsive overcommitment undermines his own emotional stability and pressures partners without clear long-term gain.
