Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Works a chain of deals to get O'Brien supplies and Martok better bloodwine without Sisko noticing his desk is gone	Nog	Chief O'Brien / Martok / Captain Sisko's property	82	86	Intelligent	Nog gains reputation and connections while O'Brien and Martok get needed items at the minor, unnoticed cost of Sisko’s desk.
Uses Ferengi hearing during several missions to assist outcomes	Nog	Starfleet crew on missions	78	84	Intelligent	He leverages a unique ability to help missions succeed, benefiting both his career and his comrades’ safety.
Learns to understand the station’s mixed technologies as one of the only competent engineers there	Nog	Deep Space Nine station operations	88	92	Intelligent	Technical mastery advances his career and helps keep the station functioning for everyone.
Becomes first Starfleet officer on the station to learn of the Romulan–Dominion non‑aggression pact	Nog	Starfleet on DS9	76	80	Intelligent	Early awareness gives him informational advantage and helps the station respond to a major political development.
Receives a synthetic replacement leg after the Siege of AR‑558	Starfleet medical staff	Nog	70	88	Intelligent	The procedure restores most of his physical function while returning an able officer to Starfleet.
Struggles to adapt to his synthetic leg at first	Nog	Nog	32	40	Helpless	His difficulty coping hampers his own functioning and offers little immediate benefit to anyone else.
Marches around the promenade goose‑stepping and orders Klingons to stop loitering	Nog	Loitering Klingons	60	55	Intelligent	His overzealous display bolsters his sense of authority while successfully enforcing station regulations with no serious harm.
Lets Jake teach him to read and write in English	Nog	Nog / Jake	90	88	Intelligent	Literacy greatly improves his future prospects and deepens his friendship with Jake.
Hero‑worships Red Squadron before “Valiant”	Nog	Nog	55	52	Intelligent	The admiration motivates him even if it later proves misplaced, with no real cost to others.
Loses his pedestal for Red Squadron after his experience in “Valiant”	Nog	Nog	74	60	Intelligent	Becoming disillusioned gives him a clearer, more realistic view of Starfleet that benefits his judgment.
Gets arrested by Odo for petty crime	Odo	Nog	45	70	Intelligent	The arrest harms Nog in the short term but pushes him toward a better path, while upholding station law.
Attempts stereotypical Ferengi-style crime/greed which ultimately fails	Nog	Nog / various marks	35	40	Helpless	His efforts to “be a Ferengi” don’t pay off, mostly wasting his energy without clear gains or serious external harm.
Persuades Captain Sisko to sponsor his application to Starfleet Academy	Nog	Captain Sisko	92	86	Intelligent	He secures entry into Starfleet while giving Sisko a motivated, capable officer.
Uses his connections to make Chief O’Brien’s life run smoother	Nog	Chief O’Brien	80	92	Intelligent	Being a fixer boosts his value and reputation while significantly helping O’Brien’s work.
Corrects Jake’s spelling instead of giving broader feedback on his writing	Nog	Jake Sisko	58	55	Intelligent	His nitpicking satisfies his standards and improves Jake’s technical writing slightly, though it’s less helpful than Jake hoped.
Enthusiastically adopts militaristic behavior once in Starfleet	Nog	Nog / Starfleet	72	64	Intelligent	His zeal for discipline advances his Starfleet career and contributes to order, even if overdone at times.
Withdraws into the holosuite and avoids reality after AR‑558 trauma	Nog	Nog / his duties	20	35	Helpless	His avoidance severely harms his own recovery and usefulness, with only minor side effects on others.
Becomes an effective, canny operator at acquiring parts and favors despite claiming weak “lobes” for business	Nog	Starfleet colleagues	86	90	Intelligent	He gains status and self-esteem while providing valuable logistical help to others.
Earns a reputation that leads to a 32nd‑century starship being named after him	Nog	Starfleet legacy	95	88	Intelligent	His distinguished service greatly benefits his legacy and provides inspiration and honor for Starfleet.
Points out to Sisko that he is from a “family of failures” and wants a different path	Nog	Captain Sisko / himself	78	80	Intelligent	His candid self‑assessment persuades Sisko and redirects his life onto a more successful track.
Chooses to join Starfleet to avoid repeating his family’s failed Ferengi pattern	Nog	Nog	94	90	Intelligent	Joining Starfleet transforms his prospects and ultimately benefits the wider Federation.
Becomes a neat freak after the Academy, annoying messy roommate Jake	Nog	Jake Sisko	68	60	Intelligent	His tidiness helps his own discipline and only mildly inconveniences Jake.
Studies reading with Jake as an ongoing subplot	Nog	Jake Sisko	88	90	Intelligent	The shared effort improves Nog’s skills and strengthens their mutual bond.
Forms an initially discouraged but eventual strong friendship with Jake	Nog	Jake Sisko	92	92	Intelligent	Their friendship deeply benefits both of them emotionally and developmentally.
Enforces station regulations on General Martok and orders Klingons to clear off	Nog	General Martok / Klingons	75	72	Intelligent	He risks himself to uphold rules but earns Martok’s respect and improves order on the station.
Serves as a cadet during the Dominion War and accepts field promotion to ensign	Nog	Starfleet	88	86	Intelligent	The promotion advances his career and gives Starfleet a much‑needed competent junior officer.
Accepts promotion to Ensign before graduating due to wartime need	Nog	Starfleet	90	86	Intelligent	He gains rank and responsibility while filling a critical manpower gap.
Accepts promotion to Lieutenant Junior Grade in the finale	Nog	Starfleet	94	90	Intelligent	Advancement reflects his contributions and increases his capacity to help others.
Becomes Chief Engineer of the Enterprise‑E in the expanded universe	Nog	Enterprise‑E crew	96	94	Intelligent	Holding a senior engineering post maximally benefits his career and the ship’s performance.
Eventually becomes captain of the USS Chimera	Nog	Crew of USS Chimera	98	94	Intelligent	Reaching captaincy is a pinnacle of self‑benefit and enables strong positive impact on his crew and missions.
Uses Ferengi hearing to crack a safe during the “Badda‑Bing, Badda‑Bang” heist	Nog	Heist team / casino owner	82	40	Bandit	He helps his team succeed in a caper that benefits them while financially harming the casino owner.
Listens repeatedly to Vic Fontaine songs after surgery, distressing Jake	Nog	Jake Sisko	30	25	Stupid	His compulsive listening entrenches his trauma, drives Jake away, and provides no real benefit to either of them.
Navigates the “Great Material Continuum” to scrounge needed Starfleet supplies	Nog	Chief O’Brien / Starfleet teams	90	92	Intelligent	His resourcefulness boosts his standing and delivers critical materials for others.
Introduces Jake to the concept of “whopper lies”	Nog	Jake Sisko	58	42	Bandit	Teaching elaborate lying gives Nog social fun and leverage while encouraging behavior that can cause trouble for Jake and others.
Later lets Jake drag him into zany schemes while he’s become the straight arrow	Nog	Jake Sisko	52	55	Intelligent	Going along with Jake’s plans slightly distracts him but mainly supports their friendship with limited downside.
