Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Is complicit in Logan's crimes	Marcia	Logan’s crime victims / wider public	65	5	Bandit	She protects Logan and her position while helping sustain harmful criminal behavior.
Remains polite and personable despite awareness of crimes	Marcia	People she interacts with socially	55	65	Intelligent	Her civility maintains social harmony and relationships while mildly benefiting her reputation.
Retaliates when people “piss her off” (implied sharp consequences)	Marcia	Those who anger her	60	20	Bandit	Her assertive retaliation protects status but likely harms others socially or professionally.
Maintains caring, amicable contact with Logan post-separation	Marcia	Logan	70	70	Intelligent	Mutual affectionate contact supports both their emotional well-being.
Gives coldly efficient badass boast to Rhea	Marcia	Rhea	60	30	Bandit	The threat bolsters her intimidation and bargaining power while unsettling/intimidating Rhea.
Delivers a devastating “Reason You Suck” speech to Shiv	Marcia	Shiv	55	25	Bandit	She asserts power and vents resentment while inflicting emotional harm on Shiv.
Refuses to let the siblings see Logan after his stroke	Marcia	Roy siblings	65	40	Bandit	She protects her influence and Logan’s boundaries/health but significantly harms their access and relationship.
Is interested in framing dead caterer as thief to clear Logan	Marcia	Dead caterer’s reputation	70	5	Bandit	Clearing Logan benefits her and him while severely wronging an innocent dead man.
Calls Shiv a “spoiled slut” after cruises scandal	Marcia	Shiv	55	15	Bandit	She asserts moral and social dominance while demeaning and hurting Shiv.
Delivers “Reason You Suck” speech to Shiv partially in French	Marcia	Shiv	55	20	Bandit	Code-switching intensifies her verbal attack, enhancing her venting/power at Shiv’s expense.
Makes repeated snide comments about Willa’s background	Marcia	Willa	55	20	Bandit	She reinforces her own sense of superiority while needling and belittling Willa.
Accepts Willa’s comeback with silent fuming	Marcia	Marcia	30	60	Helpless	Her status is undercut and she absorbs humiliation while Willa gains validation and footing.
Knows Kendall killed the waiter and it was covered up	Marcia	Kendall	70	10	Bandit	Knowledge increases her leverage and security while contributing to ongoing injustice.
Tells Kendall he’s a nice boy and that misery builds character while holding him in place	Marcia	Kendall	40	10	Bandit	She maintains control and emotional leverage while compounding his guilt and trauma.
Looks after Logan in scatterbrained moments	Marcia	Logan	60	80	Intelligent	Caretaking stabilizes Logan’s functioning and preserves her role and household.
Defends Logan like a clueless child	Marcia	Logan	65	40	Bandit	Her protection buffers him from consequences but also enables his harmful behavior.
Expresses strong loyalty and usually takes Logan’s side against his children	Marcia	Roy siblings	70	25	Bandit	Loyalty secures her position with Logan while alienating and undermining the kids.
Refuses to let Roy siblings see Logan (perceived as wicked stepmother behavior)	Marcia	Roy siblings	65	35	Bandit	Protects her gatekeeping power and possibly Logan’s recovery at the cost of their access and trust.
Is not happy about being sidelined and tells Logan so	Marcia	Logan	60	40	Intelligent	Asserting her displeasure can rebalance their relationship and may prompt him to treat her more fairly without clear harm.
Eviscerates Kerry verbally at Logan’s wake	Marcia	Kerry	70	15	Bandit	She exacts revenge and reasserts status while causing Kerry intense distress.
Callously kicks Kerry out of the wake and mocks her social status	Marcia	Kerry	75	5	Bandit	She reinforces dominance and emotional satisfaction while deeply humiliating and excluding Kerry.
Takes pleasure in verbally destroying Kerry at the wake	Marcia	Kerry	75	10	Bandit	Her sadistic enjoyment benefits only her emotions while greatly harming Kerry.
Later takes Kerry’s hand as she weeps at the funeral	Marcia	Kerry	60	70	Intelligent	The small act of comfort helps Kerry grieve and modestly redeems Marcia’s own social and moral standing.
