Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Dwight calls Angela "monkey" as an affectionate nickname	Dwight	Angela	70	70	Intelligent	Nicknaming is mutual-affection signaling that strengthens their bond without harming others.
Angela insults and bosses around Party Committee members as head, especially Phyllis	Angela	Party Committee members (esp. Phyllis)	60	10	Bandit	She gains control and ego gratification while making others’ experience miserable.
Angela shows compassion and affection toward her cats	Angela	Cats	80	80	Intelligent	Genuine care for her pets benefits them and gives her emotional fulfillment.
Dwight and Angela control others due to shared egomaniacal tendencies	Dwight and Angela	Other office workers	65	20	Bandit	They gain power and satisfaction at the expense of coworkers’ autonomy and comfort.
Angela moves into a squalid studio apartment after separating from the Senator	Angela	Angela	10	50	Helpless	The move is a major material downgrade for her but is neutral-to-slightly-positive for others (no one is directly harmed).
Angela loses her cats after a neighbor complains, leading to two “sackfuls” being taken	Neighbor	Angela and her cats	55	10	Bandit	Neighbor likely gains peace or satisfaction while causing Angela emotional harm and removing her pets.
Angela is evicted from her studio apartment with only $25 in her bank account	Landlord	Angela	5	40	Helpless	Eviction severely harms her stability, while others remain neutral or mildly relieved (e.g., landlord, neighbors).
Angela marries Dwight and ends up happily married	Angela	Dwight	90	90	Intelligent	The marriage provides mutual long-term emotional benefit without indicated harm to others.
Angela drops F-bombs at Dwight after he nearly runs her off the road	Angela	Dwight	55	40	Helpless	She vents understandable anger but risks the relationship; Dwight is verbally attacked without clear gain.
Angela screams at Mose after he releases her from his trunk	Angela	Mose	40	30	Stupid	Her fury brings no benefit and damages rapport after he actually lets her out.
Angela frequently engages in rude or cruel behavior for no good reason	Angela	Various coworkers	60	10	Bandit	She derives ego satisfaction at ongoing social cost to others.
Angela refuses to speak to her sister for 16 years over a forgotten argument and feels proud	Angela	Sister	20	10	Stupid	She sacrifices a close relationship and gains only hollow pride, while her sister also loses contact.
Angela later reconciles enough to choose Oscar (Latino, gay ex-lover of her ex-husband) as godfather to her child	Angela	Oscar and her child	80	80	Intelligent	Selection reflects growth; it strengthens support network for her child and deepens her and Oscar’s bond.
Angela lies to Jan that Pam has been ogling Michael at the dinner party	Angela	Pam	65	5	Bandit	She boosts her own standing with Jan by slandering Pam, who gets needless social harm.
Angela calls Pam the “office mattress” despite her own worse record	Angela	Pam	60	5	Bandit	She elevates herself via slut-shaming that unfairly damages Pam’s reputation.
