Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Chris comforts a victim while murdering them	Chris	Victim	60	0	Bandit	He maintains politeness to keep killings efficient, aiding his work while giving no benefit and clear lethal harm to the victim.
Chris speaks against Marlo’s decision to kill Bodie	Chris	Bodie	40	70	Helpless	His brief objection risks displeasing his boss with no gain while (slightly) trying to protect Bodie’s life.
Chris speaks against Marlo’s later decision to kill Michael	Chris	Michael	40	75	Helpless	Again he mildly resists an order to kill Michael, risking status while attempting to spare his protégé.
Chris reacts unhappily to news that Omar was killed by a random kid	Chris	Omar	50	30	Helpless	He gains nothing and loses a respected worthy opponent, while Omar is already dead so no direct benefit or harm to others occurs.
Chris and Snoop bicker about how executions should be carried out	Chris	Snoop	55	40	Bandit	The disagreement marginally serves Chris’s preferences in methods while only creating minor friction with Snoop.
Chris beats Michael’s stepfather to death for being a child molester	Chris	Michael’s stepfather	30	25	Stupid	The uncontrolled rage killing exposes him to legal risk and capture while removing a predator but in a way that backfires on him and their crew.
Chris trains his soldiers to shoot for the head or groin	Chris	Marlo’s soldiers	70	10	Bandit	He increases his and his crew’s combat effectiveness while making them deadlier to others.
Chris disposes of or hides bodies after killings	Chris	Investigation/public	75	5	Bandit	He protects himself and the crew from detection while worsening closure and justice for others.
Chris gives Marlo honest advice and carries out ruthless orders to the letter	Chris	Marlo	80	10	Bandit	His loyalty and competence secure his position and influence while enabling Marlo’s violent power.
Chris visits his girlfriend and kids during a gang war	Chris	Chris’s family	75	60	Intelligent	He nurtures his family bonds and well-being, briefly improving their emotional life despite some security risk.
Chris later avoids visiting his family to keep them from being targeted	Chris	Chris’s family	65	80	Intelligent	He sacrifices personal contact to protect them from violent retribution, benefiting them more than himself.
Chris becomes extremely angry when he fails to kill Omar because it means he can’t go back to his family	Chris	Chris’s family	40	40	Helpless	His frustration harms his composure and relationships without improving his situation or theirs.
Chris goes into hiding during Marlo’s war with Omar to keep his family safe	Chris	Chris’s family	60	85	Intelligent	He reduces his ability to act openly but significantly increases his family’s safety.
Chris takes good care of his family even after being imprisoned for life	Chris	Chris’s family	45	85	Helpless	Despite his own lost freedom, he invests resources and care to support his family’s well-being.
Chris paces, throws a knife into the floor, and snaps at Snoop when forced to stay from family	Chris	Snoop	30	35	Stupid	His stress behaviors give him no benefit and damage his working relationship without helping anyone.
Chris drags Michael into the drug trade and turns him into a killer while saving him and his brother from an abusive home	Chris	Michael & Bug	60	35	Bandit	He gains a loyal young soldier and rescues them from abuse but at the cost of Michael’s corruption and danger.
Chris becomes a father figure to Michael	Chris	Michael	60	70	Intelligent	He gains loyalty and emotional connection while giving Michael guidance and protection, despite the criminal context.
Chris is hesitant to believe Michael is a snitch but ultimately does not stop the gang from hunting him	Chris	Michael	50	20	Helpless	His weak resistance neither protects Michael nor clearly benefits Chris, allowing harm with no gain.
Chris and Snoop teach Michael and other “pups” the ways of the game	Chris	Young recruits	70	20	Bandit	He builds capable subordinates and organizational strength while pushing youths deeper into crime and violence.
Chris, with Marlo’s crew, gives children money for clothes and books before school	Chris	Neighborhood children	65	80	Intelligent	The gesture boosts Marlo’s image and potential future loyalty while tangibly helping kids with school needs.
Chris tries to convince Marlo that the giveaway will “make his name ring out”	Chris	Marlo	65	60	Intelligent	He offers branding advice that could improve both Marlo’s power and community perceptions.
Chris kills problems, rivals, and potential leaks on behalf of the organization	Chris	Rivals/leaks	80	5	Bandit	He solidifies his value and their power structure while severely harming targets and public safety.
Chris tortures Blind Butchie to get Omar’s location	Chris	Blind Butchie	70	0	Bandit	The torture serves his mission to draw out Omar while inflicting extreme harm on Butchie.
Chris kills Blind Butchie after commending his refusal to talk	Chris	Blind Butchie	70	0	Bandit	He ends the interrogation and uses Butchie’s death as bait for Omar, benefiting the crew while killing an innocent mentor figure.
Chris plans Butchie’s murder so Omar will come out of hiding for revenge	Chris	Omar	75	5	Bandit	He sets an effective trap to kill a dangerous enemy, enhancing his crew’s strategic position while endangering Omar.
Chris tortures a blind old man to death (Butchie) despite respecting him	Chris	Blind Butchie	70	0	Bandit	His respect doesn’t change the outcome; he executes a brutal mission that advances his side while destroying the victim.
Chris weaponizes his knowledge of Baltimore club music to identify New York dealers	Chris	New York dealers	65	20	Bandit	He improves his ability to spot and target outsiders, helping his crew while exposing others to violence.
Chris asks officials in the courthouse for directions without them realizing who he is	Chris	Courthouse officials	60	45	Intelligent	He safely gathers needed information while leaving them unharmed and unaware.
Chris spits on Michael’s stepfather	Chris	Michael’s stepfather	40	20	Stupid	The spiteful act provides fleeting emotional release, later contributing to his capture while not materially helping anyone.
Chris beats Devar’s face in so violently that he breaks his own protocols, leaving DNA evidence	Chris	Chris himself	20	10	Stupid	His deviation from clean methods leads to forensic exposure and eventual arrest with no compensating benefit.
Chris visits his girlfriend and kids warmly and affectionately amid the war	Chris	Chris’s family	75	70	Intelligent	He strengthens family bonds and gives them emotional comfort while getting personal solace himself.
Chris befriends Wee-Bey in prison	Chris	Wee-Bey	60	60	Intelligent	He gains a strong ally and companionship inside while mutually supporting another lifer.
Chris commends Butchie’s toughness before killing him	Chris	Blind Butchie	55	5	Bandit	The respect offers negligible personal benefit and no real comfort while the lethal outcome still serves his mission.
Chris remains completely loyal and refuses to talk as long as Marlo cares for his family	Chris	Marlo	40	60	Helpless	He sacrifices his own chances of freedom to protect his family and uphold loyalty, benefiting them and Marlo at his own expense.
