Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Black Noir stabs Kimiko in the foot to pin her down	Black Noir	Kimiko	70	5	Bandit	He effectively restrains a dangerous opponent, benefiting himself while causing her pain.
Black Noir cuts Kimiko’s torso open, disabling her briefly	Black Noir	Kimiko	70	5	Bandit	He severely injures her to neutralize her, gaining a major tactical edge while harming her.
Kimiko kills everyone in the room when traffickers let her loose	Kimiko	Human traffickers & nearby Boys	55	15	Bandit	She destroys her captors (benefit to her) with extreme lethal force that also endangers / traumatizes others.
Last captor shoots himself after seeing Kimiko escaped	Last captor	Last captor	0	60	Helpless	His suicide ends his own suffering while removing a dangerous criminal from the world.
Kimiko escapes the lair and hunts down the woman who trafficked her	Kimiko	Human trafficker	65	10	Bandit	She secures her freedom and revenge while brutally killing her former exploiter.
Kimiko intervenes in the alley and saves Frenchie from Black Noir	Kimiko	Frenchie	70	80	Intelligent	She risks herself to stop Noir and preserve a vital ally and loved one.
Kimiko hugs Annie and holds hands in gratitude when they reunite	Kimiko	Starlight	65	75	Intelligent	She strengthens a helpful alliance and expresses thanks, improving trust for both.
Black Noir apparently kills Kimiko in the alley (before healing kicks in)	Black Noir	Kimiko	40	10	Bandit	He believes he has removed a major threat, a gain for him at substantial harm to her.
Kimiko holds off Black Noir and gets gutted to keep him from Frenchie	Kimiko	Frenchie	30	75	Helpless	She incurs serious injury to delay Noir and protect Frenchie, gaining little herself.
Kimiko later breaks free and slaughters Nina’s gang of criminals	Kimiko	Nina’s gang	65	20	Bandit	She eliminates those who captured and threatened her, benefiting herself via savage retribution.
Nina runs away in fear after Kimiko attacks her gang	Nina	Kimiko / scene	45	55	Intelligent	Her retreat preserves her own life and ends the fight without adding harm to bystanders.
A-Train smashes Kimiko’s head at super speed, trying to kill her	A-Train	Kimiko	60	10	Bandit	He attempts a lethal removal of a perceived obstacle, believing it secures him at her extreme expense.
Stormfront snaps Kimiko’s neck in battle	Stormfront	Kimiko	60	10	Bandit	She tries to eliminate an enemy, which would aid her side while gravely harming Kimiko.
Kimiko re-snaps her neck into place and returns to the fight	Kimiko	Opponents	75	30	Bandit	She rapidly restores herself, regaining combat advantage to continue brutal attacks.
Kimiko regrows limbs and fully heals from extreme injuries over time	Kimiko	Kimiko	85	60	Intelligent	Her use of regeneration preserves her effectiveness and reassures allies depending on her.
Tala ambushes Kimiko with a point-blank chest shot	Tala	Kimiko	55	10	Bandit	She gains a short-lived edge by devastating Kimiko’s body, though the advantage quickly erodes.
Kimiko pieces herself back together and returns to fight Tala	Kimiko	Tala	80	25	Bandit	She leverages her healing to re-enter combat and overpower an enemy.
Kimiko breaks A-Train’s leg with a pipe as timed backup for Hughie	Kimiko	A-Train	70	80	Intelligent	She executes a precise disabling strike that protects Hughie and advances the team’s mission.
Kimiko invents a new sign language with her brother	Kimiko	Self & Kenji	80	75	Intelligent	They create a communication system that empowers both of them and improves coordination.
Kimiko teaches Frenchie to understand her signs	Kimiko	Frenchie	70	80	Intelligent	Sharing her language deepens mutual understanding and makes them more effective partners.
Kimiko drinks many beers to cope after seeing a misused trafficking photo	Kimiko	Kimiko	30	40	Helpless	She self-medicates with alcohol that her healing quickly cancels, gaining little and risking impairment.
