Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Mother verbally abuses Hyde with contempt and blame	Hyde's mother	Hyde	55	5	Bandit	She vents frustration and maintains her ego at Hyde's expense, seriously harming him while gaining some emotional release/control.
Hyde and Sam drunkenly get married in Vegas	Hyde and Sam	Each other	20	20	Stupid	Both enter an invalid, complication-causing marriage that benefits neither and creates legal/emotional mess.
Sam marries Hyde despite already being married and not divorced	Sam	Hyde and first husband	35	10	Bandit	She gains temporary emotional/security benefits while creating bigamy chaos and harming both partners.
Sam returns to Vegas, abandoning Hyde	Sam	Hyde	60	15	Bandit	She frees herself from a bad/invalid marriage but leaves Hyde with emotional fallout and instability.
Hyde chooses to sit around in the basement instead of using his intelligence	Hyde	Hyde	25	40	Helpless	He wastes his talents and prospects while providing minor company/amusement to friends.
Hyde tells job interviewer his weakness is brutal honesty and calls him a pinhead	Hyde	Job interviewer	10	20	Stupid	He torpedoes his own job chance and insults the interviewer with no meaningful benefit.
Hyde calls his parents by their first names	Hyde	Edna and Bud	60	30	Bandit	He asserts emotional distance/self-protection while slightly disrespecting them with little positive for them.
Hyde calls his kinder biological father by his first name	Hyde	William Barnett	55	45	Helpless	He keeps emotional distance, marginally protecting himself but slowing bonding with a supportive parent.
Hyde vents and yells at Bud for abandoning him	Hyde	Bud	55	35	Bandit	He gains needed catharsis and honesty while causing Bud emotional discomfort without clear benefit to Bud.
Bud fully admits his failings and says he deserves Hyde’s anger	Bud	Hyde	40	60	Helpless	Bud humbles and condemns himself, helping Hyde process pain at significant cost to his own dignity.
Hyde and Bud drop the conflict and have beers together	Hyde and Bud	Each other	60	60	Intelligent	They both deescalate, bond, and gain some mutual peace.
Hyde matures and becomes more responsible under Red and Kitty’s influence	Hyde	Hyde and Foremans	75	80	Intelligent	He improves his life while becoming more helpful and reliable for his surrogate family.
Hyde jokes that his mother must have been relieved he came out white	Hyde	Hyde's mother (as target of joke)	55	40	Bandit	He copes with trauma via humor but reinforces a hurtful racial/parental narrative.
Hyde avoids deeper commitment with Jackie, leading to their breakup	Hyde	Jackie	35	25	Stupid	He preserves short‑term freedom but loses a meaningful relationship and hurts Jackie, leaving both worse off.
Hyde spreads and promotes conspiracy theories	Hyde	Friends/others	55	30	Bandit	He entertains himself and boosts his persona while lowering others’ grip on reality and serious discourse.
Hyde hates police officers	Hyde	Police/authority	50	40	Helpless	His blanket hatred offers him identity but increases his risk in encounters and erodes constructive relations.
Hyde resists accepting help after his mother abandons him	Hyde	Hyde	20	60	Helpless	He hurts his own stability and recovery while sparing others some burden and forcing them to work harder to help.
Red forces Hyde to move in with the Formans	Red	Hyde	80	85	Intelligent	Red’s coercive care dramatically improves Hyde’s life and integrates him into a stable family.
Hyde is the only one who remembers Kitty’s birthday	Hyde	Kitty	75	85	Intelligent	He gains emotional closeness with Kitty and makes her feel valued and loved.
Hyde stops himself from stealing jewelry at Beatrice’s funeral	Hyde	Jewelry owner/mourners	65	80	Intelligent	He avoids legal/moral trouble and prevents additional harm to grieving people.
Hyde repeatedly needles Kelso and sets traps to expose/embarrass his cheating	Hyde	Kelso	60	30	Bandit	He amuses himself and pressures Kelso while increasing Kelso’s stress and risk of being caught.
Hyde refuses to tell Jackie that Kelso is cheating on her	Hyde	Jackie	55	15	Bandit	He protects loyalty and comfort with Kelso at the cost of keeping Jackie in the dark and prolonging her harm.
Hyde chides Donna for pressuring Eric to tell Jackie about Kelso’s cheating	Hyde	Donna (and indirectly Eric)	60	45	Bandit	He defends Eric and his own “no snitching” code but discourages Donna’s advocacy for Jackie.
The Formans take Hyde in after his parents abandon him	Red and Kitty	Hyde	65	85	Intelligent	They incur costs and effort but dramatically improve Hyde’s welfare and family stability.
Hyde helps out with chores at the Formans’ house	Hyde	Forman family	60	80	Intelligent	He contributes labor and earns standing while easing their household burden.
Hyde beats up a guy who insults Jackie at Red’s barbecue	Hyde	Man who insults Jackie	35	30	Stupid	He gains Jackie's admiration but risks consequences and escalates violence, giving little real protection benefit.
Hyde cheats on Jackie with a nurse believing Jackie cheated first	Hyde	Jackie	20	10	Stupid	He damages himself emotionally and their relationship based on a misunderstanding, and seriously hurts Jackie.
Hyde tells Jackie the truth about cheating as soon as he discovers his mistake	Hyde	Jackie	55	45	Helpless	He risks losing her and takes full blame while giving her honest information and agency to respond.
Hyde goes to prom and helps Jackie get back with Kelso	Hyde	Jackie and Kelso	45	70	Helpless	He sacrifices his own romantic chances and comfort to support Jackie’s wishes with Kelso.
Hyde takes the fall for Jackie’s weed and goes to jail	Hyde	Jackie	10	80	Helpless	He incurs legal trouble and punishment to spare Jackie from serious consequences.
Red kicks Hyde out for getting arrested over the weed incident	Red	Hyde	30	25	Stupid	He asserts discipline but destabilizes Hyde and family relations without improving Hyde’s behavior.
Donna explains to Red that Hyde took the fall for Jackie	Donna	Red and Hyde	70	80	Intelligent	She restores crucial context, helping Red reconsider and ultimately improving Hyde’s situation.
Red relents and lets Hyde come back, while giving him an angry lecture	Red	Hyde	75	70	Intelligent	He reinstates support but reinforces expectations and accountability, benefiting both.
Hyde encourages everyone to make stupid choices	Hyde	Friends	55	15	Bandit	He gains entertainment and shared risk while nudging friends into harmful decisions.
Hyde mocks friends until they give in to bad ideas	Hyde	Friends	60	10	Bandit	His ridicule pressures them into self‑damaging acts that primarily amuse him.
Hyde teaches Jackie to be “zen” to annoy Laurie	Hyde	Jackie (and Laurie as indirect target)	70	60	Intelligent	He helps Jackie gain composure and confidence while jointly pranking Laurie.
Hyde compliments Jackie for being “totally badass” after her zen act	Hyde	Jackie	70	80	Intelligent	He strengthens Jackie’s self-esteem and deepens their bond with no real cost to himself.
Hyde manages his dad’s record store mainly to be around his dad and music	Hyde	Hyde and William Barnett	65	70	Intelligent	He gains income, experience, and connection with his father, and supports the business.
Hyde slacks off and spends much of his time smoking weed instead of working hard	Hyde	Hyde and coworkers/customers	25	40	Helpless	He undercuts his own long‑term prospects and reliability while mildly inconveniencing others.
