Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Sméagol murders Déagol for the Ring	Sméagol	Déagol	90	5	Bandit	He gains the Ring and extended life at the cost of killing his cousin and starting his own ruin.
Sméagol examines and hooks a live bait-worm with a smile	Sméagol	Bait-worm	55	40	Intelligent	He secures fishing bait for himself; minimal broader impact beyond routine hunting.
Sméagol spends centuries alone in the mountains with only the Ring	Sméagol	Himself	10	50	Helpless	His isolation and dependence on the Ring devastate his mind and life without affecting others directly.
Sauron’s forces torture Gollum for information about the Ring	Sauron’s forces	Gollum	70	5	Bandit	They likely gain intelligence at the cost of severely harming Gollum.
The Ring extends Gollum’s lifespan to ~600 years	The Ring (as force)	Gollum	75	40	Intelligent	He gains vast longevity despite corruption already in place, others largely unaffected yet.
The Ring drives Sméagol to kill his cousin and abandon normal life	The Ring (as force)	Sméagol	20	10	Stupid	It pushes him into murder and lifelong ruin with no real gain beyond obsession.
Bilbo takes the Ring and leaves Gollum in the dark	Bilbo	Gollum	80	20	Bandit	Bilbo secures safety and the Ring, while Gollum loses his “Precious” and is left desperate.
Gollum plays a riddle game with Bilbo	Gollum	Bilbo	55	60	Intelligent	The contest delays violence and gives both a chance to get what they want with their wits.
Gollum decides to kill Bilbo after losing the riddle game	Gollum	Bilbo	30	10	Stupid	The intent to kill risks exposing himself and fails, yielding no benefit and harm to another.
Gollum attempts to kill Bilbo out of spite when he loses	Gollum	Bilbo	20	5	Stupid	The murder attempt fails and only increases his loss and danger to others.
Gollum looks at his reflection and realizes Bilbo has the Ring	Gollum	Himself	65	50	Intelligent	He correctly deduces the Ring’s location, improving his informational position.
Gollum stalks and trails the Fellowship to retake the Ring	Gollum	Fellowship	50	20	Bandit	He pursues a chance to reclaim the Ring while posing a covert threat to them.
Gollum survives starvation, marshes, torture, and a cliff fall through sheer determination	Gollum	Himself	75	45	Intelligent	His tenacity preserves his life and capacity to act, with limited direct effect on others.
Gollum reacts with horror to Elven rope and lembas bread	Gollum	Himself	30	60	Helpless	His corruption makes beneficial items agonizing, harming him while blocking help from others.
