Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Ben sends Ethan and Goodwin to infiltrate the survivors	Ben	Survivors of Oceanic flight	65	10	Bandit	Gives Ben intel and leverage but leads to deaths and terror among survivors.
Ben masquerades as Henry Gale and claims he crashed on the island	Ben	Survivors (esp. Jack, Locke)	70	5	Bandit	Deception preserves his cover and control while endangering and destabilizing the survivors.
Ben pretends to be a low-ranking Other after his cover is blown	Ben	Survivors	65	15	Bandit	Minimizes his perceived threat and keeps him alive while misleading those holding him.
Ben lies that the real Henry Gale died in the balloon crash	Ben	Survivors	60	10	Bandit	Short-term preservation of his fake identity at the cost of trust and clarity for others.
Ben lies again, claiming he didn't personally kill Henry	Ben	Survivors	55	20	Bandit	Slight protection from personal blame while further muddying truth for everyone else.
Ben claims the Others' leader is “a brilliant man” to deflect suspicion	Ben	Survivors	60	20	Bandit	Tries to distance himself from responsibility while confusing opponents about leadership.
Ben sends Ethan, their chief surgeon, on a dangerous mission despite needing surgery soon	Ben	Ethan / Others	30	15	Stupid	Risks losing his only “brilliant” surgeon just after discovering his own cancer, harming both him and his people.
Ben draws an accurate map to the balloon to support his lie	Ben	Sayid, Charlie, Ana Lucia	55	45	Bandit	Helps sustain his story and survival but sends them on a dangerous wild-goose chase into the jungle.
Ben constantly lies so much that no one believes him when it matters	Ben	Ben’s future self	25	30	Stupid	Habitual lying later undermines his own survival and plans and prevents others from avoiding danger.
Ben convinces Sun to trust him when he’s actually telling the truth	Ben	Sun	60	60	Intelligent	Accurate information helps both his cooperation strategy and Sun’s safety.
Ben attempts to kill Locke in Season 3 by a single gut shot and leaves him	Ben	Locke	20	5	Bandit	Short-term benefit in removing rival, but sloppy attempt fails and later worsens his own position.
Ben similarly shoots Desmond once in the stomach without confirming the kill	Ben	Desmond	20	5	Bandit	Again tries to eliminate a threat but incompetently, gaining little and provoking later resistance.
Ben manipulates survivors in the Hatch, playing Jack and Locke against each other	Ben	Jack and Locke	70	15	Bandit	Strengthens his leverage and freedom while increasing division and danger for them.
Ben lies as his first instinct when confronted with problems	Ben	People around him	40	30	Stupid	Short-term escapes accumulate long-term distrust that repeatedly backfires on him.
Ben miscalculates by assuming the flight manifest didn’t survive, leading to Ethan’s exposure	Ben	Ethan / Others	30	25	Stupid	Overconfidence gets Ethan killed and undermines Ben’s infiltration strategy.
Ben gambles on reverse psychology with Keamy by denying love for Alex	Ben	Alex	5	0	Stupid	Move catastrophically backfires, getting Alex killed and emotionally destroying Ben.
Ben shows Juliet Goodwin’s dead body to assert ownership of her	Ben	Juliet	40	5	Bandit	Intimidates Juliet into compliance at the cost of deep trauma and future resentment.
Ben tries to kill John Locke out of envy when Locke appears chosen	Ben	Locke	25	10	Bandit	Eliminates a rival “chosen one” but increases his own guilt and future problems.
Ben ultimately succeeds in murdering Locke out of petty jealousy	Ben	Locke	15	0	Bandit	Removes a major rival yet crosses a moral event horizon that later torments and weakens him.
Ben helps the Hostiles exterminate the Dharma Initiative during the Purge	Ben	Dharma Initiative	60	0	Bandit	Secures his place with the Others and power while annihilating his former group.
Ben executes his drunk, abusive father with toxic gas during the Purge	Ben	Roger Linus	55	15	Bandit	Frees himself from abuse and advances with the Others, while still committing patricide.
Ben orders or condones abductions of Claire’s baby and Walt	Ben	Claire, Walt, survivors	65	5	Bandit	Strengthens his group’s leverage and goals while traumatizing parents and children.
