Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Darryl’s father yells at him and calls him an “emasculated sock puppet”	Darryl’s father	Darryl	5	5	Stupid	Emotionally abuses his son, harming him with no benefit to himself mentioned.
Darryl represses memories of his father’s abuse	Darryl	Darryl	30	50	Helpless	Coping by repression may protect him short-term but hurts his psychological health long-term.
Rebecca helps Darryl reconcile with his ex-wife	Rebecca	Darryl and ex-wife	70	80	Intelligent	Her intervention leads to a healthier, amicable post-divorce relationship.
Darryl and his ex-wife agree to reconcile as amicable exes	Darryl	Darryl and ex-wife	75	80	Intelligent	They choose cooperation over conflict, easing their own and each other’s lives.
Darryl and White Josh decide to stay friends after breakup	Darryl	White Josh	70	75	Intelligent	They preserve emotional support and mutual goodwill despite romantic split.
Darryl encourages White Josh to date other guys	Darryl	White Josh	65	80	Intelligent	He puts his ex’s happiness first, accepting some loss for himself to help Josh move on.
Darryl strongly seeks attention and inclusion	Darryl	Others around him	40	45	Helpless	His neediness somewhat harms his own dignity and can mildly tax others socially.
Darryl gives employees perks like “Weekend Tuesdays”	Darryl	Office employees	65	70	Intelligent	He improves office morale and is liked as a benevolent boss, with minor downsides.
Darryl calls a staff meeting just to announce he’s bisexual	Darryl	Office employees	55	40	Bandit	Helps his own self-acceptance/visibility while wasting staff time and focus.
Darryl interrupts Maya’s self-introduction to center his coming-out	Darryl	Maya	55	25	Bandit	He asserts his identity at Maya’s expense, momentarily undermining her inclusion.
Darryl admits to hating Maya because she embodies what he hates in himself	Darryl	Maya	70	70	Intelligent	Honesty enables self-awareness, resolves their tension, and begins real friendship.
Darryl and Maya eventually become close friends	Darryl	Maya	80	85	Intelligent	Their mutual friendship gives both strong social support and positive work dynamic.
Madison arranges an encounter forcing Darryl and White Josh to talk and break up	Madison	Darryl and White Josh	45	40	Stupid	She pushes a confrontation that leads to a painful breakup with no shown gain.
Darryl is a very attentive, affectionate father to Madison	Darryl	Madison	85	90	Intelligent	His loving parenting benefits her development and gives him deep fulfillment.
Darryl behaves professionally in legal work while Rebecca makes scenes	Darryl	Clients / firm	70	70	Intelligent	His competence protects clients’ interests and his own professional standing.
Darryl enthusiastically leans into being “Camp” and expressive at work	Darryl	Colleagues	60	60	Intelligent	His openness supports his authenticity and creates a more accepting atmosphere.
Darryl embraces being seen as “adorkable,” attracting White Josh	Darryl	White Josh	75	70	Intelligent	His genuine dorkiness brings him a positive romantic connection.
