Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Tormund calls Sandor “the Dog” instead of “the Hound”	Tormund	Sandor	60	55	Intelligent	Familiar teasing slightly amuses himself and mildly annoys Sandor without lasting harm.
Sandor constantly drinks wine and demands wine instead of water during Blackwater	Sandor	Sandor	20	40	Helpless	Heavy drinking harms his own functioning and reliability while having little clear effect on others.
Sandor abandons his post during the Battle of Blackwater	Sandor	Lannister side	35	20	Bandit	He preserves his own life and sanity at the cost of their military position and trust.
Sandor refuses to become a knight despite qualifying	Sandor	Sandor	45	55	Helpless	His stance preserves integrity but costs him status and opportunities with no direct benefit to others.
Septon Ray finds Sandor and restores him to health	Septon Ray	Sandor	80	80	Intelligent	Ray expends effort to save Sandor, gaining a capable ally and benefitting Sandor greatly.
Sandor joins the Brotherhood Without Banners in Season 7	Sandor	Brotherhood Without Banners	70	75	Intelligent	He gains belonging and purpose while they gain a powerful fighter.
Sandor defects from the Lannisters	Sandor	Lannisters	60	30	Bandit	Leaving protects him and frees his conscience but undermines their power and security.
Sandor offers to take Arya for ransom to her family	Sandor	Arya’s family	65	60	Intelligent	He expects payment while also aiming to reunite Arya with her kin.
Sandor goes out of his way to pull Arya out of the Red Wedding massacre	Sandor	Arya	55	85	Intelligent	He risks himself without ransom prospects to save Arya from certain death.
Sandor helps Arya kill a squad of Frey soldiers	Sandor	Frey soldiers	65	30	Bandit	He satisfies his own vengeance while helping Arya but further harms their enemies.
Sandor butchers Polliver’s squad partly due to their cruelty	Sandor	Polliver’s men	70	35	Bandit	He avenges wrongs and removes threats but in a brutal, self-gratifying way.
Sandor resumes killing after Ray’s community is massacred, targeting worse people	Sandor	Evildoers	65	70	Intelligent	He channels violence into punishing more dangerous villains while gaining catharsis and purpose.
Sandor protects Sansa from abuse in King’s Landing	Sandor	Sansa	60	80	Intelligent	He risks disfavor with his masters to shield Sansa, gaining some self-respect.
Sandor acts as protector and teacher to Arya while posing as her father	Sandor	Arya	70	80	Intelligent	He gains companionship and purpose while teaching her survival and defense.
Sandor agrees to bring Arya back for ransom despite mutual hatred	Sandor	Arya	60	70	Intelligent	He pursues profit by taking on the risk of escorting her to relative safety.
Sandor accepts the nickname “the Hound” and wears a dog helm	Sandor	Sandor	55	50	Helpless	Embracing a dehumanizing persona aids intimidation but entrenches his own trauma.
Sandor admits his horrible deeds instead of hiding them	Sandor	Others	60	60	Intelligent	Acceptance of guilt aids his self-awareness and lets others see him clearly.
Sandor returns to the robbed cottage to bury the devout man and daughter	Sandor	Dead peasants	40	70	Helpless	He gains mostly emotional pain and cold while giving them belated dignity and closure.
Sandor repeatedly keeps Arya safe physically and mentally over the years	Sandor	Arya	75	90	Intelligent	Acting as a guardian gives him purpose and gives Arya survival and emotional support.
At the Red Keep, Sandor convinces Arya to abandon revenge and leave	Sandor	Arya	40	90	Helpless	He knowingly throws away his own chance to live while saving Arya from likely death.
Arya thanks Sandor and calls him by his true name as they part	Arya	Sandor	65	80	Intelligent	Her gratitude gives him emotional closure while honoring what he did.
Sandor fights Gregor to a standstill and obeys King Robert’s order to stop	Sandor	Gregor	60	60	Intelligent	He proves his prowess and loyalty while preventing Gregor from murdering Loras.
Sandor guts Sansa’s would-be rapists during a riot and rescues her	Sandor	Rioters attacking Sansa	70	85	Intelligent	He risks himself in chaos to save Sansa and decisively stop multiple attackers.
Sandor cuts down Stannis’ men during Blackwater	Sandor	Stannis’ army	60	30	Bandit	He performs as paid killer, boosting his standing while harming the attackers.
Sandor kills a squad of Frey men in the S3 finale	Sandor	Frey soldiers	65	40	Bandit	He gains revenge and safety for himself and Arya at the expense of enemy troops.
Sandor fights Brienne, is badly wounded, and asks Arya to mercy-kill him	Sandor	Sandor	10	55	Helpless	His stubborn combat nearly kills him and his plea gives Arya a difficult choice without aiding others.
Arya robs the wounded Sandor and walks away without killing him	Arya	Sandor	60	20	Bandit	She gains resources and emotional satisfaction while leaving him in agony and probable death.
Sandor repeatedly tucks into food taken from those he’s killed or beaten	Sandor	Dead/unconscious victims	65	20	Bandit	He nourishes himself at the direct expense of the people he’s just harmed.
Sandor saves Sansa from attempted gang rape in “The Old Gods and the New”	Sandor	Sansa	70	90	Intelligent	He risks himself in a riot to rescue her from severe harm with no clear downside.
Sandor abandons Joffrey during the riot to search for and rescue Sansa	Sandor	Joffrey/Sansa	65	70	Intelligent	He forsakes his formal duty to protect the person actually in mortal danger.
Sandor and Beric save Arya from wights; Sandor carries her to safety	Sandor	Arya	70	90	Intelligent	He risks death in the Long Night to pull Arya out of overwhelming danger.
Sandor demands wine after seeing a man burn at Blackwater	Sandor	Sandor	30	50	Helpless	He self-medicates trauma in a way that doesn’t help him long-term.
Sandor joins the Kingsguard while refusing knighthood	Sandor	Lannister regime	65	40	Bandit	He gains elite status and security while enforcing a tyrannical regime.
Sandor stands by while Tyrion slaps Joffrey without intervening	Sandor	Joffrey	55	55	Intelligent	He avoids conflict, subtly undercuts Joffrey, and nothing bad comes of his inaction.
Sandor kills Mycah the butcher’s boy on Joffrey’s command	Sandor	Mycah	45	5	Bandit	Obeying gains him favor with his masters at the cost of murdering an innocent child.
