Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Grandma yells at family	Kitty's mother	Kitty / family	15	5	Stupid	Her habitual yelling traumatizes her daughter without helping herself.
Grandpa drinks heavily	Kitty's father	Kitty / family	20	10	Stupid	His drinking harms family life while offering him only fragile, short-term relief.
Kitty reads helpful books about her mother	Kitty	Herself	72	60	Intelligent	She seeks understanding of her mother's emotional distance, aiding her coping and empathy.
Kelso and Fez grope Kitty at supermarket	Kelso and Fez	Kitty	40	5	Bandit	They get brief sexual thrill while disrespecting her boundaries.
Kitty thanks Kelso and Fez for groping her	Kitty	Kelso and Fez	55	30	Helpless	She gains a fleeting ego boost while normalizing their bad behavior toward women.
Kitty threatens to put foot in Red’s ass when angry	Kitty	Red	48	20	Stupid	The threat vents her anger but risks escalating conflict with no clear benefit shown.
Kitty calls Red a dumbass in rage	Kitty	Red	52	25	Bandit	She releases frustration and asserts herself while belittling him.
Red admits Eric is going to fight a rival for Donna	Red	Eric / Donna’s rival	55	30	Bandit	He implicitly endorses macho conflict that may gratify him while risking Eric’s safety.
Red previously fought a lifeguard who pinched Kitty	Red	Lifeguard	60	20	Bandit	He defends Kitty but uses excessive violence that mainly feeds his pride.
Lifeguard pinches Kitty’s fanny	Lifeguard	Kitty	40	0	Bandit	He seeks sexual gratification at Kitty’s expense with clear harassment.
Kelso gropes Kitty’s butt at grocery store	Kelso	Kitty	35	0	Bandit	He chases a thrill by touching a stranger inappropriately, disregarding her autonomy.
Fez remains to face Kitty after Kelso runs	Fez	Kitty	30	20	Helpless	He’s left in an embarrassing, risky position while Kitty gains feelings of attractiveness.
Red drops his pants as prank at USO dance	Red	Crowd / authority	58	45	Bandit	He gets laughs and attention but risks social censure; it incidentally leads to meeting Kitty.
Kitty gets drunk “loose as a goose” at USO dance	Kitty	Herself / attendees	45	65	Helpless	Her heavy drinking harms her judgment but contributes to a fun atmosphere and meeting Red.
Kitty drunkenly trips over Red at dance	Kitty	Red	70	70	Intelligent	The accident leads to mutual romantic “love at first sight” without notable harm.
Kitty calls Laurie out on fake good-girl act	Kitty	Laurie	60	65	Intelligent	She protects family and others from Laurie’s manipulation while clarifying reality for herself.
Kitty worries more about Eric telling Red about marijuana than the drug use	Kitty	Eric	55	60	Intelligent	She prioritizes managing Red’s reaction, shielding Eric from harsher consequences.
Kitty later tries marijuana herself	Kitty	Herself / drug-using kids	52	55	Intelligent	She experiments mildly, building empathy and understanding with the kids with little shown harm.
Kitty demands cigarette from gang after bad day	Kitty	Gang	40	52	Helpless	She harms her own health while candidly acknowledging at least one of them smokes.
Kitty saves patient from penicillin allergy as nurse	Kitty	Allergic patient	80	95	Intelligent	She uses expertise to prevent likely severe harm while reinforcing her professional role.
Kitty smokes despite knowing health risks	Kitty	Herself	20	40	Helpless	Her addiction harms her health while only giving temporary relief and minor social bonding.
Kitty tries to quit smoking and fails	Kitty	Herself / Eric	35	65	Helpless	She suffers through quitting attempts yet doesn’t succeed, though Eric gains empathy for her.
Kitty throws birthday party for Hyde at 18	Kitty	Hyde	70	85	Intelligent	She strengthens Hyde’s sense of belonging and her bond with him with no evident downside.
Kitty and Red forget Kitty’s own birthday	Red and Kitty	Kitty	30	55	Helpless	Kitty is hurt by neglecting her own celebration while others escape obligation.
Kitty does nothing special for Eric’s 18th birthday	Kitty	Eric	55	60	Intelligent	She avoids smothering him in a way he dislikes, even if it seems neglectful to others.
Kitty prioritizes resuming sex life with Red over Eric’s 18th	Kitty	Herself / Red	75	55	Intelligent	She invests in marital intimacy at a time Eric supposedly dislikes birthday fuss.
Fez and Kelso publicly call Kitty a hot mom	Fez and Kelso	Kitty	60	30	Bandit	They enjoy objectifying her; she gains some flattery but is reduced to an object.
