Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Reins in Tony’s impulses and supports him as consigliere	Silvio	Tony	78	40	Intelligent	Strengthens his own position and the family’s stability while somewhat restraining Tony’s excesses.
Maintains loyalty and trust so Tony can completely rely on him	Silvio	Tony	80	45	Intelligent	Full loyalty preserves his safety and influence while giving Tony a uniquely dependable ally.
Refuses to pry when Tony may have killed a made man over a horse	Silvio	Tony	62	38	Bandit	Protects himself and Tony’s authority at the cost of the code and collective interests.
Runs Bada Bing as abusive pimp, using girls as terrorized prostitutes	Silvio	Strippers/sex workers	78	5	Bandit	Generates substantial income and power by heavily exploiting and terrorizing the women.
Is physically abusive toward Tracee for skipping work and talking back	Silvio	Tracee	72	3	Bandit	Maintains control and income through violence while seriously harming her.
Coldly insults and executes Adriana as she begs for her life	Silvio	Adriana	70	2	Bandit	Removes an informant and demonstrates loyalty/power at the cost of her life.
Personally participates in executing FBI informant Jimmy Altieri	Silvio	Jimmy Altieri	68	10	Bandit	Eliminates a traitor and raises his standing while harming Jimmy and his family.
Personally participates in executing Big Pussy for informing	Silvio	Big Pussy	68	10	Bandit	Gains safety and status by removing a dangerous mole, harming the victim.
Personally participates in executing Adriana for informing	Silvio	Adriana	70	8	Bandit	Protects the organization and himself, gravely harming Adriana.
Bans Ralphie from the Bing for life after he beats Tracy to death	Silvio	Ralphie	55	32	Intelligent	Reasserts house rules and respect; minor personal risk but improves internal norms and image.
Is elated when Tony tells him to personally deal with Coach Hauser	Silvio	Coach Hauser	60	35	Bandit	Seeks satisfaction and status from punishing a pedophile, with extra-legal harm to target.
Gets visibly pissed when Tony later calls off the hit on Coach Hauser	Silvio	Tony’s decision	40	50	Helpless	Frustration and loss of desired action; others are spared more violence and escalation.
Lies in wait to murder Meadow’s soccer coach over abuse revelation	Silvio	Coach Hauser	60	35	Bandit	Prepares to avenge perceived harm and uphold family code via extrajudicial killing.
Leads a furious crusade against Native protesters over Columbus Day	Silvio	Native protesters / community	30	20	Stupid	Incurs big headaches for Tony and himself while antagonizing others with no real gain.
Shows hair-trigger temper and insults people when gambling goes bad	Silvio	Nearby gamblers (incl. Tony)	40	35	Stupid	Damages relationships and reputation from anger without material benefit.
Throws insults and kicks dirt at a referee at his daughter’s game	Silvio	Soccer referee	35	40	Stupid	Hurts his own image and risks trouble while providing no real advantage to anyone.
Fails under stress as acting boss, has asthma attack and is hospitalized	Silvio	Himself	10	30	Helpless	Accepts top role then physically collapses from stress, harming himself more than others.
Serves as acting boss while Tony is in a coma and makes poor decisions	Silvio	Crime family	25	35	Stupid	Suffers near-breakdown and damages crew morale and approval with mismanagement.
Counsels Tony to hand over Tony Blundetto to avoid wider mob war	Silvio	Tony / Tony Blundetto	75	60	Intelligent	Protects himself and the family from escalation despite sacrificing an associate.
Strongly recommends Tony reject Vito’s return to prevent internal strife	Silvio	Tony / Vito / crew	72	58	Intelligent	Maintains his and Tony’s standing and reduces risk of violent splits in the ranks.
Refuses to tolerate pedophiles within his moral code	Silvio	Pedophiles	60	40	Intelligent	Enhances his internal and social standing while targeting widely condemned behavior.
Rejects idea of a bomb scare at an informant’s wake as too disrespectful	Silvio	Radical crew members	55	65	Intelligent	Moderates excess cruelty, preserving some norms with little cost to himself.
Objects to Tony’s nepotism in making Christopher acting capo	Silvio	Tony’s decision	52	62	Intelligent	Risks minor disfavor to push for competent leadership benefitting the crew.
Is less bothered than Tony but still repulsed by Ralphie’s killing of Tracy	Silvio	Ralphie	50	40	Intelligent	Recognizes line-crossing, reinforcing minimal standards without direct personal loss.
Intends only to beat Fat Dom and send him on his way for insults	Silvio	Fat Dom	48	30	Bandit	Plans moderate retaliation to maintain respect with limited harm relative to norms.
Feels Fat Dom doesn’t deserve death and is disturbed when Carlo kills him	Silvio	Carlo / situation	35	55	Helpless	Experiences guilt and stress while at least wanting to limit excess killing.
Tries to keep Tony from seeing Fat Dom’s body to avoid involving him	Silvio	Tony	60	55	Intelligent	Attempts to shield Tony legally and politically while limiting wider fallout.
Hustles Tony out, telling him “you don’t know nothin’!” over Dom’s body	Silvio	Tony	62	58	Intelligent	Reduces Tony’s exposure and culpability with negligible cost to himself.
Is content to simply beat Fat Dom instead of killing him	Silvio	Fat Dom	52	45	Intelligent	Aims for proportionate response that preserves respect while avoiding full escalation.
Sanctions Patsy Parisi’s insubordination in “No Show”	Silvio	Tony / Patsy	45	30	Stupid	Vents frustration at Tony but undermines hierarchy, risking backlash without net benefit.
Leads major Columbus Day protest actions against Native activists	Silvio	Native protesters / Tony’s organization	25	20	Stupid	Stirs conflict and problems for Tony and himself for purely symbolic payoff.
Gets into serious conflict with Tony over Columbus Day issue	Silvio	Tony	35	30	Stupid	Strains relationship with his protector and boss with no real strategic gain.
Counsels Tony firmly but politely over Tony’s pride (“What the Hell, Hero?”)	Silvio	Tony	70	65	Intelligent	Risks mild offense to give honest feedback that benefits Tony and the organization.
Acts as living lie detector, sensing Tony lies about Christopher’s death but staying silent	Silvio	Tony	55	45	Intelligent	Protects himself by not confronting Tony while keeping accurate read for future advice.
Snarks at Tony and others, including about Vito’s sexuality	Silvio	Tony / crew	55	30	Bandit	Gets social capital and humor at others’ expense, mildly harming targets’ dignity.
Politely calls out Tony’s nepotism and bad decisions	Silvio	Tony	65	60	Intelligent	Improves decision-making climate while incurring modest interpersonal risk.
