Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Organizes a posse with Poot to defend the Pit using a bat	Bodie	Rival dealers	60	10	Bandit	Strengthens his own crew’s position and income while escalating violence against rivals.
Repeatedly outsmarts the police in his dealing	Bodie	Police	70	20	Bandit	Protects himself and his operation at the expense of law enforcement’s efforts to curb crime.
Plays friendly pool with Herc and Carver after being beaten and arrested	Bodie	Herc and Carver	40	40	Helpless	Builds rapport but only after suffering a serious beating and arrest, with limited broader benefit.
Organizes defense of the Pit with Poot	Poot	Rival dealers	60	10	Bandit	Helps secure their territory for profit while contributing to violent turf conflict.
Kills Wallace on Stringer’s orders	Bodie	Wallace	20	0	Stupid	Gains only a short‑term, hollow promotion while destroying a close friend and deepening his own trauma.
Kills Wallace on Stringer’s orders	Poot	Wallace	30	0	Bandit	Obeys orders and preserves his own standing while helping murder a friend.
Rallies to defend the Pit in finale (general crew action)	Bodie’s posse	Rival upstarts	55	15	Bandit	Protects their trade and income while fostering more violence and fear.
Escapes juvenile hall using a mop bucket disguise	Bodie	Juvenile facility	65	20	Bandit	Improves his own situation by escaping custody, undermining the facility’s control.
Takes initiative to fight another crew for territory when business is bad	Bodie	Rival crew	55	15	Bandit	Aims to improve his crew’s position and product flow while escalating conflict.
Escalates street brawl into a shootout where an innocent boy is killed	Bodie	Bystander boy	10	0	Stupid	Brings heavy police heat and guilt on himself while an uninvolved child dies.
Chastises Bodie for causing the boy’s death	Stringer	Bodie	55	30	Intelligent	Reasserts control and teaches limits, mildly checking Bodie’s recklessness and protecting the organization.
Keeps working hard for Barksdales believing effort leads to promotion	Bodie	Barksdale organization	40	30	Helpless	Benefits the organization’s stability while trapping himself in a rigged system with little return.
Kills rival gangsters in conflicts (non‑Wallace violence)	Bodie	Rival gangsters	60	10	Bandit	Protects his crew and standing while harming others in the game.
Gets enraged at Little Kevin’s body being pulled from a vacant and denounces Marlo	Bodie	Marlo / his practices	35	40	Helpless	Expresses moral outrage that costs him standing and draws attention but offers some truth and solidarity to others.
Vents anger by breaking a police car window	Bodie	Police	20	10	Stupid	Feels brief catharsis while inviting arrest and trouble, and damaging public property.
Scuffles with cops after breaking the window	Bodie	Police	15	15	Stupid	Further worsens his legal situation and provokes physical conflict with no real upside.
Gets McNulty to have the charges dropped	Bodie	Himself	70	30	Intelligent	Regains freedom and avoids a case while minimally burdening the system via McNulty’s discretion.
Drives Bodie from prison after getting charges dropped	McNulty	Bodie	55	45	Intelligent	Builds a cooperative relationship and advances his own investigative interests while helping Bodie immediately.
Decides to go out fighting when he realizes Chris and Snoop are hunting him	Bodie	Chris and Snoop	25	10	Stupid	Chooses a stance that ensures his death while inflicting only marginal resistance.
Stands his ground on his corner instead of running	Bodie	Himself	20	20	Stupid	Affirms pride and code but sacrifices any chance of survival with little broader effect.
Engages Chris and Snoop in a last stand gunfight	Bodie	Chris and Snoop	25	10	Stupid	Inflicts some threat and symbolic defiance while all but guaranteeing his own death.
Shoots at Chris and Snoop diagonally like a pawn	Bodie	Chris and Snoop	25	10	Stupid	Slight tactical move that doesn’t materially change his doomed outcome.
Kills Bodie with two bullets to the back of the head	O-Dog	Bodie	50	5	Bandit	Carries out an execution that secures his standing in Stanfield’s crew at the cost of another life.
Successfully alleges “contrapment” after Hamsterdam arrest	Bodie	Police case	75	30	Intelligent	Uses street‑level legal insight to escape charges, forcing police to drop a weak case.
Treats Bodie with amused respect as “Mr. Entrapment”	McNulty	Bodie	55	45	Intelligent	Builds rapport with a useful informant prospect while acknowledging Bodie’s savvy.
