Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Plants marijuana in Finn's locker to force him to join Glee	Will	Finn	72	5	Bandit	He gets a talented singer for his club and faces no consequences while coercing and frightening a student.
Tells Finn later that he planted the marijuana	Will	Finn	60	40	Intelligent	He risks Finn's view of him but gains honesty and Finn responds positively, strengthening their bond.
Uses Glee Club to put on shows to impress Emma	Will	Glee Club members	70	25	Bandit	He leverages students’ work to pursue his romantic interest, benefiting himself more than them.
Hits on Emma after promising Carl he wouldn't	Will	Emma & Carl	55	20	Bandit	He chases his own romantic desires at the expense of Carl’s trust and relationship stability.
Steals Finn's letterman jacket the first time	Will	Finn	35	10	Bandit	He takes a sentimental object for himself, slightly comforting himself but clearly violating Finn.
Lectures Puck for stealing Finn's jacket while secretly keeping it	Will	Puck & Finn	40	20	Bandit	He postures as moral authority yet plans to keep the jacket, mildly easing his guilt while misleading others.
Steals Finn's letterman jacket after Finn’s death and breaks down	Will	Finn’s memory / Glee community	20	40	Helpless	He harms himself emotionally and disrespects boundaries while gaining only painful catharsis that somewhat honors his grief.
Drills Mercedes harshly at the start of season three	Will	Mercedes	55	35	Bandit	His strictness is more about control than support, aiding his goals while discouraging her.
Drills Marley harshly during Katy vs. Gaga week	Will	Marley	55	35	Bandit	Again his harsh coaching prioritizes performance expectations over a student’s well-being.
Fails to intervene when football players harass Kurt and throw him in a dumpster	Will	Kurt	55	5	Bandit	His inaction preserves his own comfort and avoids conflict while allowing serious bullying to proceed.
Does nothing about repeated slushie attacks on Glee kids	Will	Glee kids	60	10	Bandit	He keeps his own life easier by ignoring ongoing harassment that hurts his students.
Does nothing when club members mock Rachel and threaten to punch her	Will	Rachel	60	15	Bandit	He avoids difficult discipline conversations while leaving Rachel unprotected.
Confronts Terri about her fake pregnancy and tears off the fake baby bump	Will	Terri	65	15	Bandit	He asserts himself and frees himself from deception, but does so in a frightening, aggressive way that harms her.
Walks out on Terri and stops taking her “bullshit”	Will	Terri	80	40	Intelligent	Ending a toxic marriage greatly benefits him and removes an unhealthy dynamic affecting others.
Blows up in fury when he finds out Terri was faking pregnancy	Will	Terri	40	20	Helpless	His rage gives emotional release but damages communication and likely his own stability more than it helps.
Risks his life to find Brittany during the school shooting incident	Will	Brittany	30	90	Helpless	He endangers himself significantly to protect Brittany, with little direct self-benefit.
Unhangs Sue’s telephone after she steals gifts for homeless children	Will	Sue	55	40	Intelligent	He mildly inconveniences an antagonist with essentially no downside to himself and minor satisfaction.
Invites Vocal Adrenaline to watch New Directions perform funk as “revenge” for Rachel’s treatment	Will	Vocal Adrenaline	70	70	Intelligent	He channels anger into a performance that boosts his team’s confidence and teaches the rival group a lesson.
Stops his Glee guys from directly retaliating against Vocal Adrenaline	Will	Male Glee members	65	75	Intelligent	He protects his students from escalation and consequences while maintaining his authority and values.
Sleeps on the free mattress, endangering Glee’s eligibility	Will	Glee Club eligibility	20	25	Stupid	A trivial comfort almost costs the team Sectionals, with little meaningful gain for him.
Takes the eligibility “bullet” so the team can still go to Sectionals	Will	Glee Club	45	85	Helpless	He sacrifices his own ability to compete to ensure the students can go, strongly benefiting them at his expense.
Acts as a father figure to Finn over time	Will	Finn	80	85	Intelligent	He gains meaningful relationship and purpose while giving Finn guidance and emotional support.
Tells Finn he thought Finn was pathetic after leaving the military	Will	Finn	30	10	Stupid	His cruel honesty damages Finn and their bond while providing him no clear benefit.
Gives emotional “Journey” speech that it’s the journey that counts	Will	New Directions	70	80	Intelligent	He motivates and reassures the students, strengthening their morale and his leadership.
Gives rousing speech before Regionals, affirming belief and love in them	Will	New Directions	75	85	Intelligent	He deepens their confidence and cohesion, and his own sense of purpose.
Frequently looks out for students and goes out of his way for their interests	Will	Students	80	85	Intelligent	Consistent mentorship helps the kids thrive and gives him fulfillment.
Acts as “Team Mom,” tracking emotional well-being and holding group together	Will	Glee Club	80	85	Intelligent	He provides emotional labor that benefits the club while giving him identity and connection.
Makes things about himself and does bad things if they benefit him	Will	People around him	65	30	Bandit	His self-centered choices boost his ego or goals while often undermining others.
Uses his “Chick Magnet” status in “Funk” to seduce Sue with dancing	Will	Sue	60	40	Bandit	He gains leverage over Sue and some petty revenge while emotionally manipulating her.
Seduce‑teases Sue in “Funk” despite her loathing him	Will	Sue	60	35	Bandit	He enjoys power and advantage over an enemy while toying with her feelings.
Lets April stay at his house while still married	Will	April & Terri	45	25	Bandit	He gets companionship and excitement while destabilizing his marriage and confusing boundaries.
Makes out with Shelby while married/entangled with others	Will	Shelby & Terri/Emma	50	25	Bandit	He satisfies his desires but complicates multiple relationships, risking later fallout.
Cheats on Terri with Emma	Will	Terri & Emma	40	20	Bandit	He gains illicit emotional/physical satisfaction but undermines his marriage and Emma’s position.
Gets angry at Kurt and Mercedes for joining Cheerios despite others already on teams	Will	Kurt & Mercedes	55	25	Bandit	He clings to control and his vision for them while unfairly limiting their opportunities.
Assigns “Funk” revenge plan and frames lesson so that “lesson learned: don’t go after his kids”	Will	Vocal Adrenaline & his kids	70	75	Intelligent	He turns vengeance into a performance that empowers his students and deters bullies with minimal real harm.
Lectures club in “Special Education” on their selfish behavior and his failings	Will	Glee Club	65	70	Intelligent	Honest criticism and self-critique help reset group dynamics, improving both his leadership and their behavior.
Gets called out by Emma for “slutty” behavior in front of faculty (Emma’s action)	Emma	Will	35	60	Helpless	She risks her own social comfort to hold him publicly accountable, which benefits the community more than herself.
