Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Falls for Pete while Andy is on his lengthy boat trip	Erin	Andy and Pete	70	20	Bandit	She gains a new romantic connection but emotionally harms Andy by shifting affection during his absence.
Upon realizing Andy was engaged to Angela she goes nuts and ends up chucking a cake at him	Erin	Andy	20	10	Stupid	She vents anger by throwing cake, hurting Andy and damaging her own image without real benefit.
She throws away disposable cameras after using up the film roll, lamenting she will never see the pictures	Erin	Herself	5	50	Helpless	She deprives herself of all photos due to ignorance, with no effect on others.
Takes over from Pam in watching over Michael	Erin	Michael	65	75	Intelligent	She assumes a caretaking role that strengthens her bond with Michael and helps keep him in check.
Lets Michael have his eccentricities but guides him toward the right thing for collective happiness	Erin	Office coworkers	80	85	Intelligent	She balances indulging Michael with steering him toward choices that help most people, including herself.
Reuses hot dog water to make them more flavourful and makes tea by boiling gatorade	Erin	People who consume her food	40	25	Stupid	Her unconventional cooking may mildly amuse her but largely produces unpleasant or unhealthy results for others.
Just signing for a shipment of pens she takes as Serious Business	Erin	Office workflow	70	70	Intelligent	Her diligence gives her a sense of purpose and ensures mundane but useful office logistics are handled carefully.
Endures Gabe steamrolling her (e.g., forcing horror movies) due to his being her superior	Erin	Gabe	15	30	Helpless	She sacrifices her comfort and autonomy, while Gabe gets some benefit but also sustains an unhealthy relationship dynamic.
Actively avoids Gabe and openly states she dislikes being with him	Erin	Gabe	60	35	Bandit	She improves her own well-being by pulling away, though it emotionally harms Gabe.
Leaves Gabe after Pam’s encouragement	Erin	Herself and Gabe	85	40	Bandit	Ending the relationship greatly benefits her but hurts Gabe emotionally.
Is ecstatic when Darryl chooses her to help in his schemes	Erin	Darryl’s scheme targets	75	40	Bandit	She gains excitement and camaraderie while happily joining slightly underhanded plans that may disadvantage others.
Throws herself into her receptionist job with enthusiasm and diligence	Erin	Office coworkers	80	80	Intelligent	Her love for the job boosts her own satisfaction and improves office functioning and morale.
Takes an immediate dislike to Holly due to protectiveness over Michael	Erin	Holly	45	30	Bandit	She feels loyal and protective but treats Holly unfairly, harming Holly’s social standing.
Treats Holly in a hostile “Jerkass to One” manner	Erin	Holly	35	25	Stupid	Her antagonism gives her little tangible benefit while making interactions worse for Holly and the office.
Develops a Like-A-Daughter relationship with Michael	Erin	Michael	90	90	Intelligent	The mutual parental bond gives both deep emotional support and growth.
Treats Michael as a Parental Substitute and is crushed when he denies it	Erin	Herself	20	50	Helpless	Her emotional overinvestment causes her pain when the role is rejected, while not really helping anyone.
Michael, realizing how much she cares, decides to treat her as the daughter he never had	Michael	Erin	85	90	Intelligent	He gains emotional fulfillment and provides Erin with much-needed parental support.
Refuses to put out the candy Pam and Jim brought back from their honeymoon because of rules	Erin	Coworkers wanting candy	55	35	Bandit	She preserves her own sense of rule-following correctness while mildly frustrating everyone else.
Grows increasingly concerned about taking a delivery of pens due to not knowing where to put them	Erin	Herself	25	55	Helpless	Her anxiety and confusion hurt her more than anyone, while the pens eventually benefit the office.
Once Dwight takes over, she follows his strict security rules to the letter	Erin	Office coworkers	60	40	Bandit	She gains approval and security-role satisfaction while imposing inconvenient rigidity on others.
Happily blasts people with steam if they get the password wrong, even Dwight	Erin	Office coworkers	40	20	Stupid	She derives minor fun or duty satisfaction while physically and socially harming others with needless punishment.
Takes charge rationally in dealing with the lice infestation	Erin	Office coworkers	85	85	Intelligent	Her leadership protects herself and others from lice more effectively than others’ approaches.
Decides to leave Andy for Pete because she seeks a good man	Erin	Andy and Pete	80	30	Bandit	Switching partners promises her a healthier relationship but emotionally harms Andy.
Supports Andy and tries to cheer him up when his parents go bankrupt	Erin	Andy	75	80	Intelligent	Her kindness deepens their bond and alleviates his distress.
Begins to fall for Pete only after Andy leaves on a boat trip and barely communicates for three months	Erin	Andy	65	30	Bandit	She gains emotional comfort and a new attachment while Andy is left neglected and ultimately hurt.
Struggled to express her affection for Andy at first	Erin	Herself and Andy	40	60	Helpless	Her inability to communicate feelings mainly frustrates her and delays mutual benefit, while Andy is somewhat positively affected by her eventual openness.
Participates in an Unrequited Love Switcheroo with Andy	Erin	Andy	45	45	Helpless	The mismatched timing of affection brings mutual confusion and emotional strain with little net benefit.
Has a Clingy Jealous Girl attitude toward Michael in a “Father/Daughter” way	Erin	Michael	50	40	Helpless	Her overattachment offers some affection but also emotional pressure and awkwardness for Michael.
Becomes clingy and jealous toward Andy when he dates Jessica	Erin	Andy and Jessica	35	25	Stupid	Her jealousy harms Andy and Jessica’s relationship and her own dignity with little real gain.
Veers close to being a Psycho Ex-Girlfriend toward Andy’s girlfriend Jessica	Erin	Jessica	30	20	Stupid	Her obsessive hostility damages Jessica and her own reputation without improving her situation.
Actively avoids Gabe but still needs Pam’s encouragement to leave him	Pam	Erin	75	80	Intelligent	Pam’s push helps Erin escape a bad relationship with minimal downside to others.
Claims to a client that Andy has an important phone call so he can ignore it to look better	Andy	Client	70	30	Bandit	He enhances his image at the cost of misleading the client.
Takes Andy’s request to fake a call to mean she should invent a story about his mother dying	Erin	Andy	25	15	Stupid	Her overkill lie embarrasses and harms Andy while providing her no real benefit.
Ignores Andy’s attempts to get her to stop the “mother died” lie	Erin	Andy and listeners	20	10	Stupid	Persisting in the lie increases chaos and harm to Andy without helping her.
Contributes to Andy’s “pathetic” comeback by claiming he is abusing her	Erin	Andy	15	5	Stupid	Her false accusation severely damages Andy’s reputation and also risks reflecting badly on her if exposed.
Takes charge of clearing the lice infestation more rationally than Dwight and Meredith	Erin	Dwight and Meredith	85	80	Intelligent	Her sensible actions protect everyone and save Dwight and Meredith from their own harmful approaches.
