Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
D'Angelo participates in the drug trade because of his family background	D'Angelo	Community / drug trade victims	60	10	Bandit	He gains money/status from dealing while contributing to a violent, harmful drug economy.
D'Angelo expresses desire to leave the Game and “breathe like regular folk”	D'Angelo	Himself / potential future community	70	70	Intelligent	Wanting to exit crime helps his safety and would reduce harm to others if realized.
D'Angelo mentors the boys in the pit (especially Wallace)	D'Angelo	Pit boys (esp. Wallace)	55	75	Intelligent	He gains emotional meaning and loyalty while giving guidance, care, and attention to younger dealers.
D'Angelo grows out his hair in prison to distance himself from his criminal family	D'Angelo	Himself / Barksdale image	60	55	Intelligent	This signals personal disidentification from the gang, aiding his own psychological break with only mild image costs to the crew.
D'Angelo panics and kills Blanchard when he “couldn't take a beating”	D'Angelo	Blanchard	40	5	Bandit	Preserves his pride and avoids a beating but creates legal trouble and lethal harm to another.
D'Angelo lies about having committed an additional murder to seem tough	D'Angelo	His crew	45	35	Bandit	He gains temporary status but misleads others and contributes to a violent, macho culture.
D'Angelo celebrates his acquittal in the club after the murder trial	D'Angelo	His crew / bystanders	65	30	Bandit	He enjoys freedom and status but openly flaunting it fuels the cops’ attention and normalizes violence to others.
Avon reprimands D'Angelo for getting charged with murder	Avon	D'Angelo	80	25	Bandit	Avon protects organizational stability and his own interests by tightening control while offering little benefit to D'Angelo.
D'Angelo explains chess to Bodie and Wallace using drug-game parallels	D'Angelo	Bodie and Wallace	60	80	Intelligent	He gains respect and self-expression while giving them insight into their expendability and the Game’s structure.
D'Angelo enthusiastically spends drug money and clout for prestige	D'Angelo	General public / rivals	70	20	Bandit	He enjoys material gain and status while reinforcing the drug economy’s harms and provoking rivals/law enforcement.
D'Angelo complies with family expectations and “always tries to do what the family says”	D'Angelo	Barksdale family	55	25	Helpless	He keeps familial protection but at major moral/legal risk, strengthening a harmful organization.
D'Angelo serves as a distracting pawn in Deirdre’s killing	D'Angelo	Deirdre	30	5	Bandit	He gains favor and security in the organization while enabling a civilian’s murder.
D'Angelo’s visible acquittal for a public shooting prompts formation of the Major Crimes Unit	D'Angelo	Barksdale organization	20	75	Helpless	His earlier impulsive killing harms his own organization (and thus his protection) but leads to more capable policing.
D'Angelo behaves as an unrefined patron in a fancy restaurant	D'Angelo	His partner / staff	55	60	Intelligent	He awkwardly navigates a new environment yet still participates in normal life, mildly benefiting himself and others through ordinary social interaction.
D'Angelo carries guilt over the killings of Deirdre, Gant, and Wallace	D'Angelo	Himself	35	55	Helpless	The guilt hurts him emotionally but fosters moral awareness and potential empathy.
Stringer and Avon have Gant killed for testifying	Stringer and Avon	Gant / justice system	80	5	Bandit	They protect themselves and their operation by murdering a witness and undermining justice.
Stringer has Wallace killed to prevent him from talking	Stringer	Wallace / D'Angelo	75	5	Bandit	Stringer protects the organization and himself while destroying a young subordinate and devastating D'Angelo.
D'Angelo attempts a Heel–Face Turn by considering flipping on Avon	D'Angelo	Himself / wider community	60	80	Intelligent	Cooperating could reduce his sentence and meaningfully damage a violent operation.
D'Angelo ultimately refuses to flip on his uncle after his mother talks him out of it	D'Angelo	Barksdale organization	40	20	Helpless	He preserves loyalty and some family standing but sacrifices a chance at protection and reform while sustaining a harmful crew.
D'Angelo minimizes his time around Avon while in prison	D'Angelo	Avon / Barksdale influence	55	55	Intelligent	He modestly protects himself from manipulation while slightly weakening Avon’s emotional hold.
Stringer arranges D'Angelo’s staged suicide in prison	Stringer	D'Angelo	90	5	Bandit	Stringer removes a perceived liability and romantic rival through murder, gravely harming D'Angelo.
Stringer has an affair with D'Angelo’s girlfriend Donette	Stringer	D'Angelo	70	15	Bandit	He gains sexual/romantic satisfaction while betraying D'Angelo and destabilizing personal loyalties.
D'Angelo shares an insightful analysis of The Great Gatsby in prison	D'Angelo	Fellow inmates / himself	60	70	Intelligent	He gains self-understanding and status while offering others meaningful perspective.
D'Angelo expresses a wish to “start over” and live an average life	D'Angelo	Himself / potential future community	65	75	Intelligent	Clarifying this goal helps his internal shift away from crime and, if realized, would lessen harm to others.
D'Angelo shows fondness and protection toward his hoppers, especially Wallace	D'Angelo	Hoppers (esp. Wallace)	55	80	Intelligent	He gains emotional connection and loyalty while giving care, guidance, and some protection to vulnerable youths.
D'Angelo brags that he killed Blanchard to establish dominance	D'Angelo	His crew	45	25	Bandit	He gains perceived toughness but normalizes reactive violence and undercuts more disciplined behavior.
D'Angelo falsely claims he killed Deirdre to look like a real killer	D'Angelo	His crew	40	20	Bandit	He gains status but propagates a violent identity and lies about his role in murder.
D'Angelo shoots Blanchard instead of calling for backup or taking the beating	D'Angelo	Barksdale organization / community	35	10	Bandit	He avoids humiliation but brings legal heat and public fallout, harming both the org and broader community.
D'Angelo is reassigned to a “crap detail” as punishment for the murder charge	Barksdale leadership	D'Angelo	30	40	Helpless	They sideline him to reduce exposure, weakening his position more than it helps him while slightly reducing street risk.
D'Angelo questions the loyalty and morality of Barksdale “family” after Wallace’s death	D'Angelo	Barksdale leadership	50	65	Intelligent	His disillusionment costs him emotional comfort but clarifies the organization’s true nature and undercuts blind loyalty.
D'Angelo follows cryptic orders to accompany Wee-Bey to an isolated place, fearing a setup but going anyway	D'Angelo	Wee-Bey / Barksdale ops	50	45	Helpless	He obeys despite fear, preserving short-term safety yet reinforcing his own entrapment in the Game.
