Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Manny breaks a stranger’s cell phone after the man insults Mary Poppins	Manny	Stranger with cell phone	10	5	Stupid	Damages someone else’s property out of anger with no benefit and likely negative consequences for himself.
Manny warns Jay that it’s not worth giving into anger	Jay	Manny	65	70	Intelligent	By cautioning Jay against anger, he helps Jay avoid trouble and reinforces his own role as a mature advisor.
Manny lectures his parents that arguing will harm unborn Joe	Manny	Gloria and Jay	70	80	Intelligent	His warning aims to improve his parents’ behavior and protect Joe, with no self-cost and likely relational benefits.
Manny tells Claire he dislikes her drinking while watching baby Joe	Manny	Claire	60	75	Intelligent	Raising concern about Claire’s drinking improves Joe’s safety and shows Manny’s responsibility, with some social risk to himself.
Manny frequently hits on every female character he meets	Manny	Various girls and women	40	35	Bandit	He pursues his own romantic desires while making others uncomfortable and getting frequent rejection.
Manny shows affection openly to crushes despite frequent rejection	Manny	Crushes	45	40	Bandit	His persistence serves his longing for love but often causes awkwardness or annoyance for others.
Manny has crushes on teenage girls and adult women as a child	Manny	Older girls/women	35	30	Bandit	He chases unrealistic romantic interests for self-satisfaction, while putting adults in uncomfortable situations.
Manny develops crushes on his nieces Haley and Alex	Manny	Haley and Alex	25	20	Bandit	His attraction mildly benefits his own romantic fantasies while unsettling family members who disapprove.
Manny stops showing romantic interest in his step-nieces as he matures	Manny	Haley and Alex	70	80	Intelligent	Backing off protects family harmony and his own social standing.
Manny’s arrogance and vanity early on damage his relationships	Manny	Peers and family	30	30	Stupid	His self-importance alienates others without giving him real gains.
Manny tones down his arrogance and vanity over time	Manny	Peers and family	75	80	Intelligent	Becoming humbler improves his relationships and social comfort.
Manny channels his emotional support mainly through his mother	Manny	Gloria	65	70	Intelligent	Focusing support on Gloria strengthens their bond and gives both emotional benefits.
Manny openly displays emotions and “charming” behavior despite low social skills	Manny	People he interacts with	40	35	Bandit	He expresses himself in ways that feel good to him but often discomfort or drive away others.
Manny insists French would be a better fit for him than Spanish	Manny	Gloria	55	50	Intelligent	Pursuing a language he feels suits his identity may help his development, and it’s neutral for others beyond mild exasperation.
Manny claims Gloria added a name he’s never heard before to his long name	Manny	Gloria	55	55	Intelligent	Lightly challenging his mother’s embellishment is humorous and harmless, giving them both a playful interaction.
Manny flirts with several of Joe’s nannies	Manny	Joe’s nannies	35	30	Bandit	His pursuit of older women amuses him but risks awkwardness and disruption in Joe’s care.
Manny carries himself like a princely sophisticate despite poor upbringing	Manny	Peers and family	60	55	Intelligent	His cultivated demeanor boosts his self-image and mildly impresses or entertains others.
Manny believes he is more popular at school than he really is	Manny	Classmates	30	45	Helpless	His self-delusion gives short-term confidence but leads to public embarrassment while classmates are mostly unaffected or amused.
Manny gives a grand speech at a dance assuming classmates admire him	Manny	Classmates	25	55	Helpless	He suffers public humiliation when told no one knows him, while others gain amusement without harm.
Manny frequently has a new crush (Serial Romeo / Kid-anova)	Manny	Various girls	45	40	Bandit	His rotating crushes satisfy his romantic fantasies but often create awkwardness for his targets.
Manny drinks coffee as a child	Manny	Himself	40	55	Helpless	Adult-like coffee drinking hurts his health more than it helps, with negligible impact on others.
Manny has adult-like conversations with Claire about her marriage and kids	Manny	Claire	70	80	Intelligent	His mature talks provide Claire with emotional support and give him meaningful connection.
