Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Artie parks himself between Finn and Karofsky/Azimio to stop a fight	Artie	Finn and Karofsky/Azimio	78	86	Intelligent	He risks himself to prevent Finn getting hurt and in trouble, and succeeds socially as a brave mediator.
Artie calls Brittany "stupid" under heartbreak pressure, leading to breakup	Artie	Brittany	22	18	Stupid	He lashes out, hurts Brittany, and ruins his own relationship with no clear benefit.
Artie plans Brittany and Santana’s wedding despite past history	Artie	Brittany and Santana	80	88	Intelligent	He invests time to help their relationship and shows maturity, gaining goodwill and purpose.
Artie initially hangs around Brittany to make Tina jealous	Artie	Tina (initially), Brittany (indirectly)	44	28	Bandit	He seeks emotional leverage over Tina at the cost of manipulating Brittany’s feelings.
Artie and Brittany become an actual couple once mutual liking is clear	Artie	Brittany	82	84	Intelligent	They shift from manipulation to genuine relationship, benefiting both emotionally.
Artie spikes the prom punch with lemonade	Artie	Prom attendees	55	60	Intelligent	He creates a harmless prank that amuses others without real risk or harm.
Artie auditions for New Directions with “Pony”	Artie	Himself / New Directions	83	72	Intelligent	He showcases his talent, increasing his chances of joining and entertaining the group.
Artie becomes a Casanova in New York (serial romantic/sexual activity)	Artie	His various partners	35	40	Bandit	His short-lived flings gratify him somewhat but end poorly and create emotional fallout.
Artie becomes close friends with Mike despite the Tina situation	Artie	Mike	76	80	Intelligent	He chooses forgiveness over rivalry, gaining a strong friendship and group harmony.
Artie is “doggone nice” to everyone to be seen past the chair	Artie	Peers	70	78	Intelligent	His consistent kindness improves social acceptance for himself and support for others.
Artie snarks to ego-check his friends	Artie	Friends	63	68	Intelligent	His sarcastic feedback keeps others grounded while maintaining his own social role.
Artie hangs out as the “Only Sane Man,” staying down to earth	Artie	Glee club	71	77	Intelligent	His rational, low-drama stance helps stabilize the group and earns him respect.
Artie and Tina reunite in the finale and work on his films together	Artie	Tina	88	90	Intelligent	They form a supportive romantic and professional partnership that benefits both.
Artie becomes a film director (in progress)	Artie	Himself / collaborators	90	74	Intelligent	Pursuing directing advances his career and lets him create opportunities for others.
Artie delivers brutal honesty (“you’re irritating most of the time…”)	Artie	Unnamed person	58	52	Intelligent	Honesty may sting slightly but offers candid feedback with modest social cost.
Artie insults Brittany and receives a “What the Hell, Hero?” from others	Artie	Glee club / Brittany	30	35	Stupid	His outburst damages his standing and hurts Brittany, prompting justified pushback.
Artie confronts Tina after she reveals she faked her stutter	Artie	Tina	64	46	Bandit	Calling her out protects his dignity but also embarrasses her and strains trust.
Artie calls out club’s prejudice against Becky (“Yes/No”)	Artie	Glee club	75	82	Intelligent	He risks friction to challenge their bias, improving fairness and Becky's inclusion.
Artie protests to Will about not fighting back against bullying (“Michael”)	Artie	Will / Glee club	69	76	Intelligent	He pushes leadership to address bullying, seeking better treatment for himself and others.
Artie imagines and performs “Scream” dance sequence with Mike	Artie	Himself / Mike / audience	72	70	Intelligent	The shared musical number boosts his expression and entertains others.
Artie serenades Brittany with “P.Y.T.” on Valentine’s Day	Artie	Brittany	79	81	Intelligent	A heartfelt musical gesture strengthens their bond and gives her positive attention.
Artie brings straight guys to serenade Brittany with “Isn’t She Lovely”	Artie	Brittany	74	72	Intelligent	Despite post-breakup awkwardness, it’s an affectionate, public compliment to her.
Artie serenades Sugar with “Let Me Love You” to outdo Rory	Artie	Sugar	61	43	Bandit	He competes for her affection primarily to win over Rory, giving her mixed-benefit attention.
Artie and Kitty start a relationship that later ends after his move	Artie	Kitty	66	63	Intelligent	Despite the breakup, the relationship provides mutual affection and growth while it lasts.
Artie breaks up with Kitty after graduation and moving to New York	Artie	Kitty	48	32	Bandit	He prioritizes his new life and career, hurting Kitty while reducing his own romantic support.
Artie later approaches Kitty to ask her to rejoin Glee club	Artie	Kitty	70	78	Intelligent	He puts aside awkwardness to recruit her, restoring ties and strengthening the club.
Artie and Kitty make amends after she rejoins	Artie	Kitty	76	80	Intelligent	Reconciling heals hurt feelings and rebuilds a supportive friendship/connection.
