Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Sansa insists on staying in King’s Landing to marry Joffrey after Ned orders his daughters sent home	Sansa	Sansa	10	5	Stupid	Her refusal to leave a dangerous court directly traps her in years of abuse and benefits no one else.
Sansa calls Joffrey a “golden lion” instead of a stag	Sansa	Ned	55	65	Intelligent	The slip gives Ned the clue to investigate Joffrey’s parentage, ultimately aligning with his protective goals despite later fallout.
Ned starts investigating Joffrey’s heritage after Sansa’s remark	Ned	Lannister-Baratheon regime	10	20	Helpless	He gains nothing and is destroyed, but his inquiry weakens the illegitimate regime and informs others.
Sansa survives multiple deadly situations and war through guile and caution	Sansa	Sansa	90	60	Intelligent	Her nonviolent survival strategies keep her alive and later useful to others without evident harm.
Arya corrects Sansa about Joffrey’s sigil being a stag	Arya	Sansa	55	55	Intelligent	The correction improves Sansa’s factual understanding without harming or greatly helping anyone immediately.
Ned arranges Sansa’s betrothal to Joffrey	Ned	Sansa	40	5	Helpless	Intended as an alliance, it destroys Sansa’s safety while barely stabilizing a doomed political situation.
Joffrey orders Ned’s execution in front of Sansa	Joffrey	Sansa	40	0	Bandit	He asserts power and removes an enemy while traumatizing Sansa and destabilizing the realm.
Cersei has Sansa’s direwolf Lady executed in place of Nymeria	Cersei	Sansa	45	5	Bandit	She preserves her son’s position by punishing Sansa, gaining short-term control at cruel cost to Sansa.
Sansa lies and refuses to refute Joffrey’s story about the Mycah incident	Sansa	Mycah	30	10	Bandit	She protects her engagement status while enabling injustice that gets Mycah and Lady killed.
The Hound saves Sansa from gang rape by the mob	Sandor	Sansa	70	80	Intelligent	He risks himself to rescue her, preserving his own code and her safety.
Joffrey threatens to rape Sansa after marriage	Joffrey	Sansa	5	0	Stupid	The threat further terrorizes Sansa, offers no political gain, and corrodes his own support network.
Tyrion refuses to consummate his forced marriage with Sansa	Tyrion	Sansa	70	80	Intelligent	He forgoes immediate gratification and paternal approval to spare her more trauma, enhancing his moral standing.
Littlefinger and Tywin arrange for Sansa to marry Tyrion for political advantage	Littlefinger and Tywin	Sansa	65	15	Bandit	They strengthen their power blocs at Sansa’s emotional and dynastic expense.
Littlefinger arranges Sansa’s marriage to Ramsay Bolton	Littlefinger	Sansa	30	0	Bandit	He gains leverage in the North while subjecting her to horrific abuse.
Ramsay repeatedly rapes and beats Sansa	Ramsay	Sansa	5	0	Stupid	His sadism brings short-lived satisfaction but creates the conditions for his downfall and death.
Theon pushes Myranda off the rampart to save Sansa	Theon	Sansa	75	80	Intelligent	He risks Ramsay’s wrath to save Sansa, catalyzing his own moral recovery and their escape.
Sansa escapes Winterfell with Theon’s help	Sansa	Sansa	85	70	Intelligent	Flight removes her from immediate torture and eventually aids the North without harming others.
Sansa almost pushes Joffrey off the battlements but is stopped by the Hound	Sansa	Joffrey	30	30	Helpless	Killing him might avenge her father but would almost certainly cause her own execution and chaos.
Sansa hides that she has started menstruating to delay marrying Joffrey	Sansa	Sansa	40	40	Helpless	It might briefly delay marriage but risks severe punishment if discovered, offering little real benefit.
Sansa fakes heartbreak when Joffrey repudiates her for Margaery	Sansa	Lannister court	65	70	Intelligent	She conceals her relief to maintain safety and sympathy while avoiding further ire.
Sansa refuses food and isolates herself in the godswood after the Red Wedding	Sansa	Sansa	20	40	Helpless	Her withdrawal harms her own health and agency while minimally affecting others.
Sansa protects Littlefinger from the lords of the Vale by supporting his story	Sansa	Littlefinger	45	25	Helpless	She keeps an abuser and manipulator alive, slightly securing her own position but empowering a future threat.
Littlefinger kisses Sansa without consent at the Eyrie	Littlefinger	Sansa	20	5	Bandit	He indulges obsession with minimal strategic gain while risking exposure; Sansa gains nothing.
Sansa later pushes Littlefinger away when he tries to kiss her again	Sansa	Littlefinger	70	60	Intelligent	She asserts boundaries and signals independence, weakening his emotional hold without clear collateral damage.
Joffrey has his guards beat Sansa instead of striking her himself	Joffrey	Sansa	35	0	Bandit	He preserves his “kingly” image and vents cruelty at Sansa’s expense.
Sansa pleads with Joffrey to spare Ser Dontos and suggests making him a fool	Sansa	Dontos	60	75	Intelligent	She creatively preserves her own safety while saving Dontos’s life.
Sansa attempts to cut blood from the mattress to hide her first period	Sansa	Sansa	25	40	Helpless	She risks severe punishment with little chance of delaying political plans meaningfully.
Sansa glomps Jon when reunited at Castle Black	Sansa	Jon	80	85	Intelligent	The reconnection strengthens both their morale and alliance with no downside.
Sansa glomps and forgives Theon when he returns to Winterfell in Season 8	Sansa	Theon	75	80	Intelligent	Forgiveness stabilizes an important ally and emotionally benefits both.
Sansa slaps Robin Arryn after he destroys her Winterfell snow castle	Sansa	Robin	40	40	Helpless	She vents justified anger but risks alienating her nominal lord with no strategic gain.
