Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Shiv convinces Kira to stay silent about the cruise abuses by lying that she’ll expose the company from within	Shiv	Kira	70	5	Bandit	Protects herself/family and career while severely harming Kira and other victims by suppressing abuse.
Kendall publicly exposes the company’s cruise abuses, effectively doing what Shiv falsely promised	Kendall	Abuse victims & public	75	80	Intelligent	Risks family standing but significantly benefits victims and public accountability while boosting his own moral/strategic position.
Shiv begs Logan to ensure the “blood sacrifice” is not Tom, accepting it will be her brother instead	Shiv	Tom	30	25	Helpless	Protects Tom somewhat at cost to herself and Kendall, increasing her guilt and humiliation without clear net gain.
Shiv asks Tom to agree to an open marriage on their wedding night while she continues cheating	Shiv	Tom	60	10	Bandit	Secures sexual freedom/power for herself while deeply destabilizing Tom and the relationship.
Shiv arranges and participates in a threesome with another woman while Tom watches	Shiv	Tom & third woman	55	40	Bandit	Derives sexual gratification and control but strains Tom and objectifies the third party.
Shiv frequently bullies, belittles, and insults Tom and expects obedience	Shiv	Tom	65	15	Bandit	Maintains a feeling of control and superiority while eroding Tom’s well-being and the relationship.
Shiv cheats on Tom during their relationship	Shiv	Tom	50	10	Bandit	Gains short-term pleasure/validation while inflicting emotional harm and long-term instability on Tom.
Shiv defends Tom from Logan and loses Logan’s respect	Shiv	Tom	35	40	Helpless	Helps protect Tom from Logan’s abuse but damages her own standing with her father.
Shiv sides with her brothers against Logan in the Season 3 finale	Shiv	Kendall & Roman	40	60	Helpless	Supports and protects her brothers emotionally and strategically while sacrificing her position with Logan.
Shiv looks after Kendall when he admits he’s in a bad way	Shiv	Kendall	60	75	Intelligent	Provides care and stability to Kendall and reinforces a supportive bond that also emotionally sustains her.
Shiv tries to support Roman when he’s vulnerable and tells him she genuinely supports him	Shiv	Roman	60	70	Intelligent	Offers rare emotional support that strengthens family ties and gives her some genuine connection.
Shiv lies badly to Tom when he asks if she’s cheating, making it obvious	Shiv	Tom	35	20	Stupid	Undermines her own credibility and the relationship while further hurting Tom with no real benefit.
Shiv abandons Eavis’ campaign and sabotages the cruise-crimes witness to protect Royco executives	Shiv	Cruise victims & Eavis	75	5	Bandit	Improves her position with Logan and Waystar while severely harming victims’ justice and Eavis’ cause.
Shiv changes the subject when Tom makes incest jokes and when Logan’s sexual abuse is hinted at	Shiv	Tom & family	55	45	Intelligent	Manages her own trauma and keeps conversations functional by de-escalating disturbing topics.
Shiv drinks heavily to drown her sorrows after bad news	Shiv	Herself	25	55	Helpless	Temporarily numbs pain but damages her own health and coping capacity without helping others.
Shiv tells Tom she wants an open relationship on their wedding night instead of admitting her fears	Shiv	Tom	45	20	Bandit	Partly protects herself from vulnerability while structurally harming Tom’s security and the marriage.
Shiv admits to Nate she feels like a massive piece of shit and hates what she’s become	Shiv	Herself	60	65	Intelligent	Recognition of her own moral degradation may catalyze change and offers honesty to another.
Shiv avoids crying in public by seeking privacy to break down after betrayals	Shiv	Herself	55	55	Intelligent	Manages her emotional state in a way that preserves both her image and mental processing.
Shiv calls out Logan for staging fake therapy and for planting hit pieces on Kendall	Shiv	Logan	60	70	Intelligent	Affirms reality and defends Kendall while modestly asserting her own agency against Logan.
Shiv confronts Logan about beating Roman for ordering lobster	Shiv	Logan	60	65	Intelligent	Challenges past abuse, validating Roman and modestly strengthening her moral stance.
Shiv abandons Gil’s campaign yet still tries to play both Gil and Logan, ending up with nothing	Shiv	Herself	20	45	Helpless	Miscalculated double-game costs her political career and Logan’s interest without helping anyone else.
Shiv pressures Tom into agreeing to an open marriage despite his discomfort	Shiv	Tom	65	15	Bandit	Secures asymmetric freedom and control at the cost of Tom’s emotional safety.
Shiv browbeats Tom out of sleeping with another woman while she is free to do so herself	Shiv	Tom	55	20	Bandit	Preserves proprietary control over Tom while denying him the same latitude she takes.
Shiv air outs all of Kendall’s personal issues on TV to destroy him	Shiv	Kendall	55	10	Bandit	Gains short-term favor with Logan and tactical advantage while inflicting serious harm on Kendall.
Shiv and Kendall mutually humiliate each other in “The Disruption” (press conference sabotage vs personal attacks)	Shiv & Kendall	Each other	20	10	Stupid	Both damage their own credibility and relationships while inflicting gratuitous harm on each other.
Shiv calls victims like Kiera and Gerri to persuade them to keep quiet about sexual abuse/harassment	Shiv	Kiera & Gerri	70	5	Bandit	Protects the company and her standing by actively undermining victims’ justice.
Shiv uses her own vulnerability and trauma as a tool to manipulate others (“Wounded Gazelle Warcry”)	Shiv	Various counterparts	60	25	Bandit	Gains leverage and concessions while eroding trust and potentially retraumatizing others.
Shiv tries to block Logan from endorsing a fascist candidate and pushes for Delgado instead	Shiv	General public	45	75	Helpless	Attempts to avert greater harm to democracy but damages her own standing with Logan and gets overruled.
Shiv initially balks at using Kendall’s mental health to cut him down and is anxious when Roman does	Shiv	Kendall	55	65	Intelligent	Hesitation indicates some ethical restraint and concern for Kendall, even if she is later swayed.
Shiv half-jokingly suggests a classist “hand sanitizer” remark about a “prole”, getting herself fired	Shiv	Gil’s staffer	25	30	Stupid	Loses her political job over a cruel, needless classist joke with little benefit to anyone.
