Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Phoebe overcomes stage fright and works as an extra	Phoebe	Production/show	68	60	Intelligent	Gains work experience and confidence while helping the show run.
Phoebe becomes overconfident and conceited about her acting	Phoebe	Herself / Joey	40	35	Stupid	Her inflated ego gives little durable benefit and strains dynamics with Joey.
Phoebe and Rachel decide to get tattoos	Phoebe and Rachel	Their own bodies	55	55	Intelligent	Mutual choice for self-expression and bonding with no shown harm.
Phoebe backs out of getting a tattoo when she realizes needles are used	Phoebe	Herself	52	50	Intelligent	Protects herself from intense fear with no clear cost or benefit to others.
Phoebe believes auras, omens, reincarnation, etc.	Phoebe	Herself	60	55	Intelligent	Non-harmful beliefs that give her meaning and occasionally insight.
Phoebe dates many men and also expresses attraction to women	Phoebe	Her romantic partners	65	60	Intelligent	Pursues her preferences and connection without depicted harm.
Phoebe immediately chooses Rachel in hypothetical relationship question	Phoebe	Rachel	58	55	Intelligent	Honest, low-stakes expression of attraction, mildly affirming for Rachel.
Phoebe tells Joey about Monica’s past crush on him despite Monica’s signals to stop	Phoebe	Monica and Joey	40	30	Stupid	Gets a tiny moment of sharing at Monica’s expense and breaches trust.
Phoebe tells Richard that Monica has been with a lot of guys before him	Phoebe	Monica and Richard	38	25	Stupid	Her bluntness risks Monica’s relationship and gives Phoebe no benefit.
Phoebe asks Monica in front of Chandler if she told him about lunch with Richard	Phoebe	Monica and Chandler	30	15	Stupid	Publicly exposes a sensitive secret, threatening their anniversary and trust.
Phoebe tells Chandler Monica originally wanted to sleep with Joey in London	Phoebe	Monica and Chandler	28	10	Stupid	Provokes another argument without any gain for herself.
Phoebe mentions Monica’s secret bachelorette party in front of Chandler	Phoebe	Monica and Chandler	32	20	Stupid	Undercuts Monica’s secrecy and fun with no upside.
Phoebe decides to seek a serious relationship instead of one-night stands	Phoebe	Herself	82	70	Intelligent	Long-term choice leads to marriage and a “normal” happiness she values.
