Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Gains Vought backing to build a heroic public persona and following	Stormfront	General public	80	10	Bandit	She leverages corporate backing to gain influence and fans while ultimately intending harm.
Runs an online meme campaign that undercuts Homelander’s image	Stormfront	Homelander	75	20	Bandit	Her trolling boosts her own brand and influence while damaging his standing.
Uses a small troll farm to astroturf support and dominate online discourse	Stormfront	General public	80	15	Bandit	Her cheap, effective propaganda machine increases her clout while misinforming and polarizing others.
Starts a meme-based campaign specifically against Homelander to prop herself up	Stormfront	Homelander	78	15	Bandit	She gains relative popularity and leverage at direct cost to his reputation.
Backs down and apologizes to Homelander when he intimidates her with heat vision	Stormfront	Homelander	40	60	Intelligent	She preserves her own safety and de‑escalates a dangerous confrontation, also preventing wider collateral damage.
Has a daughter with Vought (Chloe) and raises a family	Stormfront	Chloe	60	55	Intelligent	Having and caring for a child gives her personal fulfillment and gives Chloe a life and upbringing.
Immigrates with Frederick Vought and becomes his first Compound V test subject, gaining ageless powers	Stormfront	Herself	90	10	Bandit	She gains immense longevity and power while enabling a Nazi super-soldier program that harms others.
Attends social functions with Goebbels and Himmler and aligns with Nazi leadership	Stormfront	WWII victims	70	5	Bandit	She gains status and proximity to power while supporting genocidal actors.
Kills a black man in 1972 as Liberty after falsely accusing him of robbery	Stormfront	Black civilian	70	0	Bandit	She satisfies her racist impulses and perceived authority at maximal lethal cost to an innocent.
Frames and maims an innocent black man for crimes he did not commit	Stormfront	Black civilian	65	0	Bandit	She exercises racist power and impunity while severely harming an innocent target.
Habitually murders black motorists as Liberty over years	Stormfront	Black civilians	80	0	Bandit	Serial racist killings gratify her ideology with catastrophic harm to victims.
Indulges in police‑style brutality against black people when she has the chance	Stormfront	Black civilians	75	0	Bandit	She takes pleasure in racist violence while causing extreme physical and social harm.
As Liberty, leaves such a trail of racist abuse that Vought must repeatedly repackage and move her	Stormfront	Vought	30	10	Stupid	Her unchecked racism forces costly cover‑ups, damages Vought, and ultimately undermines her long‑term position.
Allows Vought to rebrand her from Liberty to Stormfront to escape exposure	Stormfront	Vought	65	30	Bandit	She preserves her career and cover while helping Vought maintain a deceptive image.
Joins the Seven as a fresh identity (Stormfront) to start a new public life	Stormfront	Seven/General public	75	20	Bandit	New membership restores her prominence while exposing the team and society to a hidden Nazi.
Wanders onto Homelander and Maeve’s PSA set while livestreaming to her followers	Stormfront	Homelander & Vought PR	70	35	Bandit	She boosts her engagement and image while undermining their scripted messaging.
