Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Lectures students on Native history and threats	Monica	University students / public	70	80	Intelligent	She uses her role to educate others about Native issues, benefiting herself as an academic and her community.
Dresses in suggestive clothing to lure murder suspect	Monica	Suspected murderer	40	65	Intelligent	She risks her own comfort/safety to help catch a man suspected of killing a Native girl, aiding justice more than harming herself.
Cuts her long hair short in grief after unborn child’s death	Monica	Herself	20	40	Helpless	Her grief-driven act offers some catharsis but largely reflects and reinforces her trauma without helping others.
Admits she is never mean to Monica and will defend her	Beth	Monica	60	70	Intelligent	Beth commits to protecting Monica, strengthening their bond and Monica’s safety with minimal cost to herself.
Tries to keep Tate out of the Duttons’ dysfunction	Monica	Tate	70	75	Intelligent	She actively shields her son from a harmful environment, benefiting him and preserving her own emotional stability.
Tells her husband to kill Tate’s kidnappers	Monica	Kidnappers	45	30	Bandit	Her call for lethal revenge prioritizes her family’s emotional satisfaction and sense of justice while promoting violence that mainly harms others.
Motivated by grief after losing unborn child in car wreck injury	Monica	Herself	25	45	Helpless	The loss severely harms her; her subsequent grief-driven motivation gives limited personal growth and no clear benefit to others in the text.
Briefly separates from Kayce and dates her physical therapist	Monica	Kayce	55	45	Bandit	She explores another relationship, potentially aiding her recovery while straining her marriage, with no clear benefit to Kayce.
Refuses Martin’s advances when he tries to be intimate	Monica	Martin	60	50	Intelligent	She maintains her boundaries and long-term interests while causing no clear harm or benefit to others beyond neutrality.
Gets accused of shoplifting and forced into strip-search	Police officers	Monica	10	20	Stupid	The baseless accusation and coerced strip-search humiliate and harm her without yielding any demonstrated benefit to the officers or public.
Beth steps in to stop the strip-search	Beth	Monica	70	80	Intelligent	Beth’s intervention protects Monica from further violation, strengthening their relationship with little cost to herself.
