Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Bronn beats by parents (implied upbringing violence)	Bronn's parents	Young Bronn	5	0	Stupid	Abusive beatings harm Bronn and confer no clear benefit beyond sadistic gratification.
Mother breaks Bronn’s nose while aiming for brother	Bronn's mother	Bronn	5	0	Stupid	She injures Bronn unintentionally with no benefit to anyone.
Parents beat Bronn’s brother (implied)	Bronn's parents	Bronn’s brother	5	0	Stupid	Violence against the brother is harmful and not shown to provide any benefit.
Tyrion promotes Bronn to Lordship and Small Council	Tyrion	Bronn	70	80	Intelligent	Tyrion saves himself and gains a capable ally while hugely improving Bronn’s status.
Bronn refrains from killing Tyrion in exchange for promotion	Bronn	Tyrion	85	75	Intelligent	He secures high office and retains a profitable friendship instead of a one‑off murder fee.
Bronn plans to have sex with Brienne	Bronn	Brienne (as sexual target)	55	45	Intelligent	He seeks consensual pleasure; no harm or clear benefit to others is implied.
Bronn asks Tyrion “When have you ever risked your life for me?”	Bronn	Tyrion	55	60	Intelligent	Calling out imbalance clarifies expectations and strengthens honest terms between them.
Bronn accepts being “an upjumped cutthroat”	Bronn	Himself / social accusers	60	55	Intelligent	Owning his status defuses insults and maintains social equilibrium.
Bronn boasts he can “impregnate” the Eyrie with ten men	Bronn	Listeners / potential employers	60	55	Intelligent	Exaggerated boast raises his reputation and amuses others without harming anyone.
Bronn admits he can’t take the Mountain	Bronn	Himself / Tyrion	70	60	Intelligent	Realistic self‑assessment protects his life and helps Tyrion see the risk clearly.
Tyene poisons Bronn	Tyene Sand	Bronn	40	20	Bandit	She endangers him for leverage and amusement, benefiting herself at his expense.
Tyene gives Bronn the antidote	Tyene Sand	Bronn	50	60	Intelligent	She keeps him alive to avoid escalating consequences while ending the immediate harm.
Prince Trystane lets Bronn go free if he accepts a slap	Trystane	Bronn	60	65	Intelligent	He asserts dignity with mild retaliation while sparing Bronn’s life and further conflict.
Bronn accepts Trystane’s slap instead of harsher punishment	Bronn	Himself	70	60	Intelligent	He trades minor pain for full freedom, minimizing trouble for everyone.
Tyene and Bronn engage in hostile flirtation	Tyene Sand & Bronn	Each other	55	45	Intelligent	Mutual teasing yields entertainment and tension without clear harm.
Bronn saves Sandor at Blackwater	Bronn	Sandor Clegane	75	70	Intelligent	He preserves a valuable fighter and ally while enhancing his own war record.
Bronn refuses City Watch finery for practical gear	Bronn	Himself / City Watch	70	65	Intelligent	Functional kit improves his survival and combat effectiveness for the Watch.
Tyrion promotes Bronn to City Watch commander	Tyrion	Bronn	70	65	Intelligent	Tyrion gains a ruthless, competent enforcer and Bronn gains rank and income.
Bronn bluntly tells Jaime truths Jaime doesn’t want to hear	Bronn	Jaime	60	65	Intelligent	Honest feedback costs him little and helps Jaime confront reality.
Joffrey has Sansa beaten by Meryn (recalled)	Joffrey	Sansa Stark	80	5	Bandit	He gratifies his cruelty while severely harming Sansa.
Meryn brutalizes weaker people	Meryn Trant	Weaker victims	70	5	Bandit	He enjoys impunity and sadism at the expense of defenseless targets.
Tywin destroys Tyrion’s first wife (recalled)	Tywin Lannister	Tyrion’s first wife	90	5	Bandit	He reasserts family control by ruining an innocent woman’s life.
Bronn attacks a woman in self‑defense, killing her	Bronn	Attacking woman	55	20	Bandit	He preserves his own life by killing an armed aggressor, harming her to benefit himself.
Tyrion asks if Bronn could kill a baby like Janos did	Tyrion	Bronn (moral probe)	55	50	Intelligent	He tests Bronn’s limits, gaining insight into his ally at no real cost.
Bronn considers he might kill a baby for enough payment	Bronn	Potential infant victim	55	5	Bandit	He contemplates trading another’s extreme harm for substantial gain to himself.
Unsullied choose to fight for Daenerys out of belief	Unsullied	Daenerys / realm	60	70	Intelligent	They gain purpose and status while supporting a cause they deem just.
Tyrion explains loans and money rules to Bronn	Tyrion	Bronn	60	65	Intelligent	Tyrion shows off knowledge; Bronn gains financial understanding.
Bronn refuses to champion Tyrion against the Mountain	Bronn	Tyrion	80	40	Bandit	He preserves his life and new deal while leaving Tyrion in deeper peril.
Cersei grants Bronn a lordship and marriage to buy him	Cersei Lannister	Bronn	80	30	Bandit	She secures his support at Tyrion’s expense, trading titles for loyalty.
Bronn accepts Cersei’s offer over Tyrion’s	Bronn	Tyrion	80	40	Bandit	He chooses a safer, richer path while abandoning Tyrion to likely death.
Bronn later boasts he could beat prime Jaime	Bronn	Jaime	60	55	Intelligent	Possibly needling; it amuses himself and pushes Jaime without harm.
Bronn dodges Ser Vardis until he’s exhausted then kills him	Bronn	Ser Vardis Egen	70	30	Bandit	He wins freedom and status through a lethal but self‑benefiting tactic.
Lysa rebukes Bronn for “fighting without honor”	Lysa Arryn	Bronn	40	50	Helpless	Her scolding offers no gain and highlights her poor grasp of survival.
Bronn strikes Jaime when he stoops for a practice sword	Bronn	Jaime	60	55	Intelligent	He teaches pragmatic awareness, briefly hurting Jaime to improve his fighting.
Bronn refuses to wear the gold cloak as commander	Bronn	City Watch norms	70	65	Intelligent	He maximizes stealth and mobility, improving both his safety and unit performance.
Bronn kills a Dothraki warrior with a ballista bolt	Bronn	Dothraki warrior	65	30	Bandit	He removes an active threat, preserving his own life by killing the attacker.
Bronn wears only light leather armor even in battle	Bronn	Himself	65	60	Intelligent	Light gear preserves his mobility and ends up saving him from drowning.
Bronn steps into roles (Bywater, Payne, Marbrand)	Bronn	Various Lannisters	70	65	Intelligent	Versatility earns him continuous employment while giving them a reliable operative.
As commander, Bronn orders all known thieves executed	Bronn	Known thieves of King’s Landing	65	10	Bandit	He secures order and his standing by extreme preemptive killings.
Bronn rounds up and kills the thieves prior to siege	City Watch under Bronn	Known thieves	60	10	Bandit	The force keeps supply security and discipline by massacring suspects.
Tyrion and Varys accept Bronn’s thief‑killing solution	Tyrion & Varys	Citizens of King’s Landing	55	40	Bandit	They get rapid stability but at the moral and human cost of mass executions.
King Bran appoints Bronn Lord of Highgarden & Master of Coin	Bran/Bronn	Realm of the Reach	75	55	Intelligent	Bronn gains immense power; the realm gains a competent if corrupt manager.
Bronn steals Shae from another knight	Bronn	Shae’s prior client knight	60	20	Bandit	He takes a desired prostitute and angers or wrongs the previous payer.
Bronn beats or kills the knight who complains	Bronn	Ginger knight	65	15	Bandit	He silences resistance, benefiting himself while gravely harming the other.
Qyburn arms Bronn with a crossbow to kill Jaime and Tyrion	Qyburn/Cersei	Bronn	20	15	Stupid	They outsource fratricide to an unreliable mercenary, risking backfire.
Cersei contracts Bronn to kill both brothers	Cersei Lannister	Jaime & Tyrion	40	10	Bandit	She seeks removal of key threats at the cost of gold and future stability.
Bronn accepts Cersei’s contract initially	Bronn	Jaime & Tyrion	70	15	Bandit	He positions himself for a lucrative payoff by threatening their lives.
Bronn negotiates a higher price not to kill the Lannisters	Bronn	Jaime & Tyrion	85	40	Bandit	He maximizes personal gain through extortion, to their detriment and anxiety.
Bronn ultimately spares Jaime and Tyrion	Bronn	Jaime & Tyrion	75	70	Intelligent	He keeps profitable relationships and future patronage instead of one‑time murder fees.
Bronn shoots Drogon’s wing with a Scorpion	Bronn	Daenerys/Drogon	65	20	Bandit	He defends his side and his life by crippling an enemy asset.
Bronn serves as Tyrion’s bodyguard	Bronn	Tyrion	70	65	Intelligent	He gets steady pay and status while keeping Tyrion alive.
Jaime retains Bronn as bodyguard	Jaime Lannister	Bronn	70	65	Intelligent	Jaime gains elite protection; Bronn gains continued pay and advancement.
Bronn champions Tyrion in first Trial by Combat	Bronn	Tyrion’s accusers	75	65	Intelligent	He gains reward and reputation while saving Tyrion’s life.
Bronn works as Jaime’s Number Two at Riverrun	Bronn	Jaime Lannister	70	65	Intelligent	He earns favor and influence while organizing an effective siege.
Jaime uses Bronn as general despite his grumbling	Jaime Lannister	Lannister army	65	70	Intelligent	Jaime leverages Bronn’s skill to improve campaign success.
Tywin dismisses Bronn as City Watch commander	Tywin Lannister	Bronn	35	45	Helpless	Tywin asserts control but loses a competent, loyal enforcer for no shown gain.
Bronn chooses to save his life over retrieving fallen gold	Bronn	Himself	75	55	Intelligent	He abandons money to survive, preserving his long‑term earning potential.
Bronn refuses to fight the Mountain for any but huge reward	Bronn	Tyrion	80	40	Bandit	He safeguards himself while leaving Tyrion in mortal jeopardy.
Bronn informs Jaime he won’t fight dragons	Bronn	Jaime Lannister	70	55	Intelligent	He sets a rational safety limit that helps Jaime grasp dragon risk.
Bronn takes over Ser Vardis’ role by killing him	Bronn	House Arryn honor system	70	30	Bandit	His victory discredits their knightly ideal but wins him freedom and reward.
Bronn disdains expensive gear, keeps commoner look	Bronn	Observers	65	60	Intelligent	Being nondescript enhances his safety and tactical edge without hurting others.
Bronn builds skills across many shady past jobs	Bronn	Various past associates	70	40	Bandit	His experience and tales suggest he profited, often at others’ rough expense.
Jaime names Bronn second in command at Riverrun	Jaime Lannister	Bronn	70	65	Intelligent	Bronn gains authority while Jaime’s campaign becomes more effective.
Bronn insists friendship doesn’t override his pay	Bronn	Tyrion	65	60	Intelligent	He clarifies boundaries, preventing future resentment and misunderstandings.
Bronn continues to risk his life for Jaime while unpaid	Bronn	Jaime Lannister	40	60	Helpless	He keeps helping despite underpayment, benefiting Jaime more than himself.
Production keeps Bronn offscreen due to actor conflict	Showrunners	Audience	50	40	Helpless	The constraint avoids real‑world issues but diminishes his presence for viewers.
Bronn comforts Sansa at her wedding with a respectful bow	Bronn	Sansa Stark	55	70	Intelligent	He loses nothing while offering much‑needed visible respect.
Bronn comforts Tyrion over Shae leaving	Bronn	Tyrion	60	70	Intelligent	He offers emotional support with minimal cost to himself.
Bronn treats Lollys with some kindness and hints at killing her sister	Bronn	Lollys & Falyse Stokeworth	70	30	Bandit	He cultivates Lollys while plotting to eliminate her abusive sister for gain.
Bronn mentors Podrick in pragmatic combat	Bronn	Podrick Payne	60	70	Intelligent	He spends a bit of effort to improve Pod’s survival and usefulness.
Bronn takes Pod out to a tavern during Dragonpit meeting	Bronn	Podrick Payne	55	60	Intelligent	He shields Pod from danger and tension while enjoying a drink.
Bronn refuses to kill Tyrion when ordered later	Bronn	Tyrion	75	70	Intelligent	He keeps a valuable ally and avoids the fallout of killing him.
Joffrey and the court force Sansa’s public humiliation	Joffrey & court	Sansa Stark	75	5	Bandit	They enjoy cruel spectacle at her great suffering.
Cersei reneges on Bronn’s Stokeworth deal to force mission	Cersei Lannister	Bronn	70	20	Bandit	She gains his service again by stripping his near‑retirement security.
Bronn joins Jaime’s dangerous Dorne mission	Bronn	Jaime Lannister	55	45	Intelligent	He accepts risk for prospects of improved reward and status.
Tyene poisons Bronn in prison while flirting	Tyene Sand	Bronn	40	25	Bandit	She torments and manipulates him, gaining leverage and sadistic satisfaction.
Areo Hotah elbows Bronn in the face	Areo Hotah	Bronn	60	40	Bandit	He enforces Dornish authority through a painful but nonlethal blow.
Jaime fails to deliver Bronn’s promised castle and girl	Jaime Lannister	Bronn	25	45	Helpless	Jaime keeps his services but undermines loyalty and future reliability.
Jaime drags Bronn into siege and dragon battles with low pay	Jaime Lannister	Bronn	20	40	Helpless	He gains top‑tier support while burning Bronn’s goodwill for little reward.
Battle causes Bronn to lose Jaime’s small gold payment	Battle chaos	Bronn	30	45	Helpless	Circumstances erase his immediate reward while others still benefit from his efforts.
Bronn shows gleeful cruelty toward worse people	Bronn	Disliked targets	60	40	Bandit	He entertains himself by abusing others, often just somewhat worse than him.
Bronn needles Ned‑like and Dany‑side counterparts	Bronn	Jory/Jorah/Daario	55	50	Intelligent	He fills a parallel role that pressures them without direct harm.
Bronn stares down Sandor in tavern tension	Bronn	Sandor Clegane	60	55	Intelligent	Holding his nerve protects his status and avoids immediate violence.
Bronn later rescues Sandor in battle despite tension	Bronn	Sandor Clegane	70	65	Intelligent	He saves a fierce ally and reinforces his combat reputation.
Bronn operates a Scorpion while Drogon attacks	Bronn	Daenerys/Drogon	65	20	Bandit	He defends his army and himself by maiming the dragon.
Bronn tackles Jaime out of dragonfire	Bronn	Jaime Lannister	70	65	Intelligent	He risks himself to save Jaime, preserving a powerful patron and comrade.
Bronn trains Jaime to fight left‑handed	Bronn	Jaime Lannister	65	70	Intelligent	He invests time to keep his employer combat‑capable, benefiting them both.
Bronn threatens to kill Jaime and Tyrion unless they double Cersei’s offer	Bronn	Jaime & Tyrion	80	25	Bandit	He leverages deadly pressure to extract huge concessions.
Bronn points out lords only need to kill enough people for titles	Bronn	Jaime & Tyrion	60	45	Intelligent	His cynicism clarifies brutal political reality, if unsettlingly.
Bran’s court tolerates Bronn as corrupt Master of Coin	Bran’s Small Council	Realm finances	55	45	Helpless	They gain his competence but accept increased corruption and sleaze.
Bronn happily remains amoral and power‑seeking	Bronn	General populace	85	25	Bandit	He fulfills his ambitions while continuing to exploit and endanger others.
Bronn openly mocks highborn notions of honor	Bronn	Noble class ideals	60	55	Intelligent	His critique strips illusions, helping some see practical truths.
Bronn walks away from doomed fights (“Know When to Fold ’Em”)	Bronn	Various would‑be opponents	80	55	Intelligent	He preserves his life and reduces pointless mutual slaughter.
Bronn reads and sings despite low birth	Bronn	Himself / audiences	60	65	Intelligent	He enriches himself culturally and entertains others at no cost.
Bronn uses nickname “Lord Twatbeard” for Littlefinger	Bronn	Littlefinger	55	55	Intelligent	He vents disdain and amuses allies, mildly undermining a rival’s gravitas.
Bronn calls out Jaime for not visiting imprisoned Tyrion	Bronn	Jaime Lannister	60	65	Intelligent	He risks some ire to push Jaime toward loyal action.
Bronn leans, sprawls, and trolls to unsettle others	Bronn	Nearby characters	55	50	Intelligent	His posture and trolling keep him relaxed and others slightly off‑balance.
Bronn leaves when Tyrion and Shae get intimate	Bronn	Tyrion & Shae	55	65	Intelligent	He maintains boundaries and privacy with no personal loss.
