Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Refuses to go to hospital for a shot after severe allergic reaction	Ross	Ross	10	40	Stupid	Endangers his own health with no benefit and mildly stresses friends/medical staff.
Suggests squirting the injection into his mouth like a squirt gun	Ross	Ross & medical staff	15	45	Stupid	Replaces effective treatment idea with a useless one, delaying proper care.
Crushes Monica’s hand during shot, causing bone bruise and puncture	Ross	Monica	40	10	Bandit	Reduces his own fear by over-squeezing while causing physical injury to Monica.
Teases and bullies Monica in childhood	Ross	Monica	70	5	Bandit	Gains amusement and power while seriously harming Monica’s self-esteem.
Aggressively threatens Chandler if he ever hurts Monica	Ross	Chandler	55	60	Intelligent	Protects Monica through a clear boundary and reinforces his protective role.
Physically lays Chandler out to prove he’s serious about Monica	Ross	Chandler	60	55	Intelligent	Demonstrates resolve to safeguard Monica, briefly hurting Chandler to deter worse harm.
Breaks his nose competing with Monica at childhood football	Ross	Ross	5	35	Helpless	Extreme competitiveness harms himself more than anyone else.
Admits he always plays to win at poker even if others lose	Ross	Friends	65	30	Bandit	Pursues his own gain while explicitly disregarding others’ losses.
Refuses to pay new building handyman’s retirement fund	Ross	Building handyman	65	25	Bandit	Saves his own money at the cost of the handyman’s welfare and social fallout.
Doesn’t tell Rachel he loves her for entire first season	Ross	Ross	20	40	Helpless	His inaction costs him romantic timing and indirectly complicates his own love life.
Leaves Ross’s confession to Rachel to slip out while Ross is in China	Chandler	Ross & Rachel	45	55	Intelligent	Causes short-term chaos but helps Rachel realize her feelings and move plot forward.
Becomes extremely jealous of Mark and disrupts Rachel’s work	Ross	Rachel & coworkers	15	10	Stupid	Jealous antics damage Rachel’s job and trigger breakup while also hurting himself.
Convinces himself Emily will cheat in London and obsesses	Ross	Ross & Emily	20	25	Stupid	Jumps to paranoid conclusions that strain relationship and his own mental state.
Pushes partners for closeness they’re not ready for	Ross	Partners	25	20	Stupid	Endangers multiple relationships without gaining lasting intimacy.
Won’t allow partners time to cool off in arguments	Ross	Partners	20	20	Stupid	Escalates conflicts, worsening outcomes for everyone involved.
Tries to flirt despite knowing he digs himself deeper	Ross	Potential partners	30	40	Helpless	Repeated awkward attempts mostly embarrass him and fail to win women over.
Eats kiwi, triggering severe allergic reaction	Ross	Ross	10	50	Helpless	Serious harm to himself from carelessness; others only react protectively.
Breaks a girl scout’s leg accidentally	Ross	Girl scout	10	10	Stupid	Unintentional but harms the child with no suggested offsetting gain.
Goes out of his way to sell girl scout cookies to fund Space Camp	Ross	Girl scout	65	85	Intelligent	Invests effort and social capital to try to help the injured girl.
Builds a fake “space camp” with Joey and Chandler to cheer girl up	Ross	Girl scout	70	90	Intelligent	Spends time and creativity to successfully make her happy with little for himself.
Corrects people’s grammar and gets irate over mistakes	Ross	Friends	40	25	Stupid	Minor self-satisfaction at the cost of annoying and alienating his friends.
Refuses to admit he smoked pot and makes up excuses	Ross	Parents	35	20	Stupid	Preserves fragile pride briefly while undermining trust and family harmony.
Tries to convince Rachel to stay married so he avoids 3rd divorce	Ross	Rachel	30	20	Stupid	Clings to status to protect ego while straining his relationship with Rachel.
Lies to Rachel about getting their marriage annulled	Ross	Rachel	20	15	Stupid	Endangers long-term trust for short-term avoidance of embarrassment.
Gets uneven spray-on tan by botching the procedure repeatedly	Ross	Ross	10	60	Helpless	Bad instructions-following humiliates and harms his own appearance, amusing others.
Waits for years pining for Rachel instead of building other ties	Ross	Ross	25	45	Helpless	Long-running fixation limits his own growth while others are mostly unaffected.
Undermines relationships with Julie, Emily, Mona because of Rachel	Ross	Current girlfriends	20	20	Stupid	Sabotages stable relationships and hurts partners for a fantasy with no guaranteed payoff.
Sells a young girl scout’s cookies after breaking her leg (re-attempt)	Ross	Girl scout	70	80	Intelligent	Mobilizes his resources to directly support her goal of Space Camp.
Overreacts with “MY SANDWICH?!” anger at coworker	Ross	Coworker	40	20	Stupid	Outburst risks his professional image and relationships over minor food loss.
Constantly whines about Rachel’s boyfriends and feels entitled to her	Ross	Rachel	25	20	Stupid	Neediness harms his chances with Rachel and makes her life harder.
Accidentally infects laptop with computer virus via porn link	Chandler	Chandler & Ross	20	30	Stupid	Chandler’s impulse viewing damages both his own and Ross’s equipment.
Refuses to take responsibility for hurting Monica in childhood	Ross	Monica	35	20	Stupid	Protects ego at the cost of healing their relationship and Monica’s feelings.
Argues Nevada is to blame for drunk marriage to Rachel, not him	Ross	Ross	30	40	Helpless	Deflection may feel good short-term but blocks self-improvement and accountability.
Calls condom company to blame them for pregnancy warning	Ross	Condom company rep	35	40	Helpless	Rant vents his frustration but wastes time and doesn’t change his situation.
Often acts as a good, involved father to Ben	Ross	Ben	85	90	Intelligent	Invests time and care that benefits both his child and his own fulfillment.
Often acts as a good, involved father to Emma	Ross	Emma	85	90	Intelligent	Stays engaged despite not being with the mother, helping Emma and deepening his bond.
Uses his professional status to offer Zelner’s son a private museum tour	Ross	Zelner’s son	70	85	Intelligent	Offers special, educational access that benefits the child and may help Rachel’s job.
Makes joke offers that sound creepy then immediately self-corrects	Ross	Zelner	55	60	Intelligent	Quickly clarifies his intent, mitigating misunderstanding and salvaging the offer.
Complains so much to Janice that even she breaks up with him	Ross	Janice & Ross	45	35	Helpless	Emotional venting costs him companionship but somewhat relieves his own pain.
Improves behavior toward Monica and becomes close in adulthood	Ross	Monica	80	85	Intelligent	Invests in a healthier sibling bond that benefits them both.
