Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Finn learns Puck is father of Quinn’s baby and walks out on glee/football ultimatum (Screw This, I'm Outta Here)	Finn	Glee club & football team	20	10	Stupid	Storming out costs him teams and support while leaving others abandoned with little gain.
Finn and Puck decide to team up for revenge on Vocal Adrenaline (Bash Brothers)	Finn	Vocal Adrenaline	40	20	Bandit	He gains emotional satisfaction and solidarity with Puck while aiming to harm a rival group.
Finn wishes to be quarterback again; Sam is injured and he is forced to play (Be Careful What You Wish For)	Finn	Sam	60	5	Bandit	His spiteful wish indirectly benefits him by restoring his role while seriously harming Sam.
Finn attacks Jesse for dancing with Rachel	Finn	Jesse	15	10	Stupid	Violence over jealousy damages his reputation and relationships without real benefit.
Finn attempts to tip Quinn out of her wheelchair as punishment	Finn	Quinn	10	0	Stupid	He endangers an injured person, risks severe backlash, and gets no meaningful gain.
Finn’s premeditated assault on Brody at Santana’s behest	Finn	Brody	25	5	Stupid	The brutal, quasi-enjoyed beating risks serious consequences and only offers fleeting emotional catharsis.
Finn mentors the season 4 newbies through Regionals (Big Brother Mentor)	Finn	Newbies	80	85	Intelligent	Coaching them boosts his leadership skills and helps them succeed competitively.
Finn prepares new songs and shows up last-minute to save New Directions at Sectionals	Finn	New Directions	85	90	Intelligent	His initiative secures a performance opportunity and shared success.
Finn accepts quarterback role and popularity before joining glee (Big Man on Campus)	Finn	Student body	75	60	Intelligent	Being star QB brings status while giving the school a strong team figurehead.
Finn leads Rachel on romantically to get her to rejoin glee club	Finn	Rachel	35	30	Bandit	Manipulating Rachel gets his club back together at real emotional cost to her and some guilt for him.
Finn cheats on Quinn by kissing Rachel and having an emotional affair	Finn	Quinn	30	20	Bandit	He gets emotional/romantic gratification while betraying Quinn and destabilizing relationships.
Finn cheats on Rachel by kissing Quinn while Quinn is with Sam	Finn	Rachel & Sam	25	10	Bandit	He pursues his own happiness explicitly at others’ expense and trashes trust.
Finn harasses his friends to join/perform in glee to keep his popularity	Finn	Friends	45	25	Bandit	He preserves his social standing while pressuring others for his own image.
Finn walks through the school hallway in only underwear to get over confidence issues	Finn	School onlookers	65	40	Intelligent	He accepts short-term embarrassment to address self-esteem; others are mildly entertained or indifferent.
Finn uses Operation: Jealousy—agreeing to sex with Santana partly to make Rachel jealous	Finn	Rachel	40	30	Bandit	He gains sexual experience and a hoped-for emotional advantage while manipulating Rachel’s feelings.
Finn lies to Rachel that he’s a virgin when they have sex (Fake Virgin)	Finn	Rachel	35	20	Bandit	He secures intimacy under false pretenses, undermining trust if discovered.
Finn tells Will he wants to join the army to be like his (supposed) war-hero father	Finn	Himself/family	20	40	Helpless	He pursues a self-harming path based on a false ideal that nonetheless honors and emotionally connects to family.
Finn becomes moody and possessive of Rachel due to lack of future plans	Finn	Rachel	30	30	Bandit	His possessiveness comforts him but constrains Rachel and strains the relationship.
Finn tries to date Santana and Brittany at once because “girl-on-girl is hot”	Finn	Santana & Brittany	35	20	Bandit	He seeks sexual/ego gratification while disrespecting both girls and risking fallout.
Finn picks a fight with Jesse at prom over Rachel	Finn	Jesse	25	25	Stupid	The altercation briefly vents jealousy but risks social/disciplinary issues and ruins the event for many.
Finn calls Kurt “faggy”	Finn	Kurt	15	5	Stupid	The slur damages Kurt and Finn’s own standing, providing no constructive payoff.
Finn outs Santana in the school hallway during an argument	Finn	Santana	10	0	Stupid	Publicly outing her causes major harm and backlash with negligible self-benefit.
Finn tells Sue she has a “retarded baby” during a “Reason You Suck” speech	Finn	Sue & child	5	0	Stupid	The cruel remark deeply harms and tarnishes him; he instantly regrets it.
Finn cooks Rachel real meat and cake despite knowing she’s vegan and lies about it	Finn	Rachel	25	5	Stupid	He gets brief convenience or satisfaction while violating her values and risking trust for no gain.
Finn doesn’t stand up to Karofsky for Kurt in “Furt” (failure to act)	Finn	Kurt	45	20	Helpless	His inaction preserves his own safety/status but harms Kurt by omission.
Finn tells Santana to come out of the closet in the hallway, leading to statewide outing	Finn	Santana	10	0	Stupid	His public call-out massively harms her with political/media repercussions and ruins his reputation.
Finn gives Sue a “Reason You Suck” speech (minus the slur) for her behavior	Finn	Sue	70	60	Intelligent	Holding Sue accountable can help others while asserting his own moral stance and leadership.
Finn rallies football team and glee club; reforms team to stop bullying	Finn	Football team & glee club	85	90	Intelligent	He builds cooperation, reduces bullying, and enhances both groups’ cohesion and reputation.
Finn dumps Alpha Bitch Quinn for “loser” Rachel	Finn	Rachel	80	70	Intelligent	He sacrifices social cachet to pursue a more authentic, caring relationship, helping Rachel’s status and self-worth.
Finn gives a rousing speech at Sectionals about believing in themselves	Finn	New Directions	80	85	Intelligent	His encouragement boosts morale and performance for both himself and the club.
Finn breaks up with Rachel in “Goodbye” so she won’t be held back	Finn	Rachel	40	85	Helpless	He sacrifices his own happiness to free her to pursue her dreams.
Finn loses his virginity to Santana as a rite-of-passage ploy, then regrets it	Finn	Self & Santana	25	20	Stupid	He gains brief status/experience but feels it was a huge mistake and leaves Santana dissatisfied.
Finn kisses Emma to calm her panic attack (“Shut Up” Kiss)	Finn	Emma	30	40	Helpless	He risks his own relationship and gains little while providing Emma some immediate emotional relief.
Finn mentors and helps reform the football team away from bullying	Finn	Bullied students	80	85	Intelligent	He improves team culture and protects vulnerable students while growing into a respected leader.
