Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Blaine succeeds at nearly everything he attempts	Blaine	Others in general	80	70	Intelligent	His broad success benefits him and generally supports his team/status without noted harm.
Blaine enjoys acting and attends theatre school after graduation	Blaine	Blaine	85	65	Intelligent	Pursuing theater school advances his goals and adds talent to the field.
Blaine’s father rebuilds an old car with him as bonding activity	Blaine’s father	Blaine	40	55	Helpless	Father tries to bond but with a heteronormative agenda that doesn’t help Blaine and offers limited positive connection.
Blaine serves as an early “Big Brother” mentor to Kurt	Blaine	Kurt	70	75	Intelligent	Initially gives Kurt guidance and support that helps both relationship and Blaine’s self-image.
Blaine kisses Kurt (“Big Damn Kiss”)	Blaine	Kurt	90	90	Intelligent	The kiss leads into a mutually rewarding romantic relationship.
Blaine runs for and becomes senior class president and joins many clubs	Blaine	School community	85	75	Intelligent	Gains leadership and experience while contributing to school life.
Sebastian throws rock-salt slushie in Blaine’s face	Sebastian	Blaine	10	5	Stupid	Seriously injures Blaine and removes him from action without any clear benefit to Sebastian.
Sam fails to recognize un-gelled, untied Blaine and is freaked out	Sam	Blaine	55	35	Bandit	Sam preserves his own sense of safety by treating Blaine like a stranger, briefly distressing Blaine.
Hunter manipulates Blaine by calling him “Blaine Warbler” and stressing his isolation	Hunter	Blaine	70	20	Bandit	Hunter nearly convinces Blaine to transfer back, advancing Warblers at Blaine’s emotional expense.
Hunter nearly persuades Blaine to transfer back to Dalton	Blaine	New Directions	40	20	Helpless	Considering leaving WMHS risks his own growth and would weaken New Directions if carried out.
Blaine changes his audition to a smaller role so Kurt can go for Tony	Blaine	Kurt	65	90	Intelligent	He sacrifices a bit of opportunity for himself to significantly support Kurt’s dream.
Blaine obliviously treats Kurt as “just a friend” for a while	Blaine	Kurt	55	35	Bandit	His obliviousness maintains his comfort while causing Kurt emotional confusion.
After his epiphany, Blaine pays close attention to Kurt’s feelings	Blaine	Kurt	85	90	Intelligent	Conscious care improves both his relationship satisfaction and Kurt’s well-being.
Blaine cheats on Kurt	Blaine	Kurt	25	10	Bandit	He seeks momentary gratification while inflicting major relationship harm and reputational damage.
Blaine gives Kurt advice about Karofsky that worsens the bullying	Blaine	Kurt	45	5	Stupid	Intended guidance leads to Kurt’s situation deteriorating until he must transfer, with no gain for Blaine.
Blaine attempts to be a supportive guide for Karofsky	Blaine	Karofsky	60	70	Intelligent	He makes a safer, more understanding approach that offers help with minimal cost to himself.
Blaine forgets to wear his Dalton uniform and arrives at McKinley in street clothes on transfer day	Blaine	McKinley staff/students	60	55	Intelligent	Minor lapse shows adaptability and doesn’t meaningfully harm anyone.
Blaine repeatedly fails to notice others’ crushes on him	Blaine	Admirers (Kurt, Sebastian, Tina)	55	40	Bandit	His comfort and obliviousness come at the cost of others’ emotional clarity and frustration.
Blaine tries to shove Karofsky, who is much bigger	Blaine	Karofsky	35	45	Helpless	Bravely confronts a bully but in a physically ineffective way that mainly risks himself while signaling support.
Blaine transfers to Dalton after being bullied and then takes up boxing	Blaine	Blaine	75	65	Intelligent	He moves to safety and develops self-defense, improving his resilience with little downside.
Blaine starts a Dalton branch of Fight Club	Blaine	Dalton students	70	60	Intelligent	Provides an outlet for toughness and bonding that builds his image and peers’ confidence.
Blaine serenades Jeremiah at work with the Warblers, causing Jeremiah to be fired	Blaine	Jeremiah	30	5	Stupid	He risks his own emotional standing and directly costs Jeremiah his job without any gain.
Blaine chooses not to pursue Jeremiah because he is underage relative to Jeremiah	Blaine	Jeremiah	70	80	Intelligent	He avoids an unethical, risky relationship, protecting both himself and Jeremiah.
Blaine serenades Kurt with “Somewhere Only We Know” after their upgrade	Blaine	Kurt	85	90	Intelligent	The public serenade deepens their relationship and uplifts Kurt.
Blaine surprise-serenades Kurt with “It’s Time”	Blaine	Kurt	85	85	Intelligent	Grand romantic gesture strengthens their bond and creates joy.
Blaine surprise-serenades Kurt again in “Love, Love, Love” before proposing	Blaine	Kurt	90	90	Intelligent	Builds toward a proposal that solidifies commitment and happiness for both.
Blaine serenades Sam to express feelings without fully stating them	Blaine	Sam	60	65	Intelligent	He finds a safe, indirect way to express complicated feelings that results in a clarified, positive brotherly bond.
Blaine has difficulty confronting bullies	Blaine	Blaine	40	45	Helpless	His hesitation protects him from some conflict but undermines his agency and growth more than it helps.
Blaine focuses his identity on being Kurt’s boyfriend and feels lost after the breakup	Blaine	Blaine	30	45	Helpless	His over-dependence harms his own sense of self, with limited benefit to others.
Blaine’s father builds a car with him hoping it will make Blaine straight	Blaine’s father	Blaine	35	20	Stupid	The project doesn’t change Blaine’s orientation, and the conditional motive strains their bond without benefit.
Blaine fears being inadequate to loved ones and strives to meet expectations	Blaine	Kurt and Cooper	55	65	Helpless	His anxiety harms his own well-being while still driving him to support and please others.
Blaine “takes the bullet” by stepping in front of the rock-salt slushie for someone else	Blaine	Intended victim of slushie	25	80	Helpless	He suffers serious injury but substantially protects another from harm.
