Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Claims to have outshot Billy on the firing range	Action Mom/Beca Butcher	Billy Butcher	60	55	Intelligent	Her military prowess boosts her confidence and establishes competence without clear harm to others.
Stabs Stormfront in the eye	Action Mom/Becca Butcher	Stormfront	40	70	Intelligent	She injures a dangerous Supe to protect others, gaining little direct benefit but contributing to Stormfront’s defeat.
Chooses to be considered dead and isolate herself to raise Ryan	Becca Butcher	Herself	30	80	Helpless	She sacrifices her own life, freedom, and family ties to protect and properly raise Ryan.
Raises Ryan with love and care to prevent him becoming like Homelander	Becca Butcher	Ryan	60	90	Intelligent	Her nurturing parenting benefits Ryan immensely and, by shaping him away from villainy, benefits others.
Billy’s actions lead to Ryan being driven into Homelander’s arms	Billy Butcher	Ryan	20	20	Stupid	His behavior loses him Ryan and pushes the boy toward Homelander, harming both Ryan and the wider world.
Homelander swiftly indoctrinates Ryan into a misanthropic worldview	Homelander	Ryan	70	5	Bandit	He gains emotional and ideological influence over his son while corrupting Ryan and endangering others.
Becca’s teachings cause Ryan to feel sorrow and guilt after accidentally killing Koy	Becca Butcher	Ryan	55	75	Intelligent	Her prior moral guidance causes Ryan’s remorse, which hurts him emotionally but strongly benefits his moral development and future others.
Homelander tells Ryan he shouldn’t care about killing Koy	Homelander	Ryan	60	5	Bandit	He protects Ryan from guilt in a way that comforts him short term but pushes him toward sociopathy, harming future others.
Becca’s prior example leads Ryan to again see his father as a sociopathic monster	Becca Butcher	Ryan	55	80	Intelligent	Her influence helps Ryan morally distance himself from Homelander, aiding Ryan and society.
Sister erects a headstone as a substitute grave for Becca	Becca’s sister	Becca’s mother	65	75	Intelligent	She gains some closure herself and gives their mother a focal point for grief without harming anyone.
Billy takes great offense and smashes the headstone down	Billy Butcher	Becca’s family	15	10	Stupid	He vents his anger but gains little lasting benefit while deeply hurting the grieving family.
Reappears after being missing for eight years	Becca Butcher	Billy Butcher	60	70	Intelligent	Her return gives her a chance to protect Ryan more openly and offers Billy emotional resolution and direction.
Guides Billy as a sentient tumor to talk him out of selling Hughie out to Neuman	Becca (tumor/vision)	Billy Butcher and Hughie	55	85	Intelligent	She protects Hughie from being sacrificed and nudges Billy toward a less destructive path.
Survives rape, raises Ryan, then dies rescuing him from Stormfront	Becca Butcher	Ryan	20	90	Helpless	She loses her life saving Ryan, who gains his freedom and moral foundation at great cost to her.
Refuses to reunite with Butcher in order to raise Ryan	Becca Butcher	Billy Butcher	35	75	Helpless	She sacrifices personal happiness with Billy to prioritize Ryan’s wellbeing and stability.
Walks out of Billy’s life after rape rather than tell him and trigger his darkness	Becca Butcher	Billy Butcher	40	70	Helpless	She endures isolation and loss of support to prevent Billy’s descent into violence, benefiting him and others.
Refuses to risk a life with Billy to avoid putting them in Vought’s crosshairs	Becca Butcher	Ryan and Billy	35	80	Helpless	She gives up her romantic future to keep Ryan (and indirectly Billy) safer from Vought’s retaliation.
Hides her pregnancy and disappears from Billy’s life	Becca Butcher	Billy Butcher	30	60	Helpless	She deprives herself and Billy of a shared family life to keep Ryan secret and protected.
Makes a deal with Vought to live secluded and raise Ryan properly	Becca Butcher	Vought / Ryan	30	75	Helpless	She trades freedom and normalcy for a controlled environment that shields Ryan and, by extension, others from Homelander’s influence.
Homelander returns to the compound despite the deal	Homelander	Becca and Ryan	80	10	Bandit	He reclaims access to his son, gratifying his ego and power, while undermining their safety and Becca’s sacrifice.
Refuses to run away with Billy for fear Ryan will fall under Homelander’s influence if she disappears	Becca Butcher	Ryan	35	80	Helpless	She forgoes escape and reunion with Billy to remain as Ryan’s moral anchor, prioritizing his and society’s future over her own welfare.
