Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Milhouse sleeps on Lisa's bedroom floor to be close to her	Milhouse	Lisa	20	10	Stupid	He humiliates and endangers himself while creeping Lisa out, gaining no real benefit.
Milhouse tries to hide his crush on Lisa despite being terrible at it	Milhouse	Lisa	35	40	Helpless	His secrecy backfires socially on him while having little effect on Lisa beyond mild awkwardness.
Milhouse openly expresses jealousy when Bart spends much time with Nelson	Milhouse	Bart	30	40	Helpless	Jealous outbursts strain his bond with Bart without helping him.
Milhouse jumps over a waterfall exclaiming he can't live without Bart	Milhouse	Himself	5	40	Helpless	He nearly kills himself for Bart, providing no clear help to anyone.
Milhouse runs a Kidz Newz segment showing how to dispose of a soiled mattress	Milhouse	Audience	55	60	Intelligent	He likely gains small status and gives viewers practical, if embarrassing, information.
Milhouse claims a burglar wet his bed and his Capital City friends stop liking him	Milhouse	His old friends	20	50	Helpless	His explanation leaves him ostracized, helping no one else either.
Bart takes Milhouse's inhaler to use as a snorkel	Bart	Milhouse	75	5	Bandit	Bart benefits from a makeshift snorkel while seriously endangering Milhouse’s health.
Milhouse rolls a grapefruit that gets stuck under the bus brake pedal	Milhouse	Schoolchildren	10	5	Stupid	His careless act crashes the bus and strands everyone with no gain to himself.
Milhouse tries to encourage reformed Bart to send Willy off a cliff	Milhouse	Willy	20	10	Stupid	He urges gratuitous harm to Willy without any benefit to himself or Bart.
Milhouse frequently runs away when things start to smell bad	Milhouse	Nearby others	60	45	Intelligent	He protects his own comfort and health while causing at most minor inconvenience to others.
Milhouse finally stands up to Bart and ends their friendship	Milhouse	Bart	70	30	Intelligent	He protects his own dignity and boundaries even though it hurts Bart emotionally.
Milhouse persists in pursuing Lisa believing niceness will win her over	Milhouse	Lisa	25	30	Helpless	His one-sided efforts waste his energy and make Lisa uncomfortable without benefiting her.
Milhouse passes Lisa's note to Nelson, who mistakes it as from Milhouse	Milhouse	Himself	10	40	Helpless	His attempt to help Lisa results in him being beaten into a coma.
Milhouse accepts inheriting Bart's permanent record (by inaction/doormat behavior)	Milhouse	Himself	10	50	Helpless	Allowing Bart’s record to stick to him gravely harms his future for no one else’s gain.
Kirk sells the family house to fund Milhouse’s extravagant birthday party	Kirk	Family	40	15	Stupid	They lose a fundamental asset for fleeting celebration, leaving the family worse off.
Milhouse cheats on Lisa shortly after winning her over	Milhouse	Lisa	30	20	Bandit	He pursues short-term gratification while damaging Lisa and their relationship.
Milhouse reveals Bart’s true identity to Bart’s girlfriend, causing breakup	Milhouse	Bart	35	10	Bandit	Acting from hurt and jealousy, he sabotages Bart’s relationship for petty emotional payoff.
Milhouse tells college students Lisa is only eight out of jealousy	Milhouse	Lisa	25	5	Bandit	He destroys Lisa’s new friendships purely to satisfy his own envy.
Milhouse publicly reveals Lisa’s ancestor failed to protect the escaped slave	Milhouse	Lisa	35	15	Bandit	He humiliates Lisa during her presentation for spite and the satisfaction of being “right.”
Milhouse hinders Bart and Lisa’s efforts to save him on the island in "Das Bus"	Milhouse	Bart and Lisa	20	15	Stupid	His panicky behavior worsens everyone’s danger without improving his own chances.
Milhouse uses his Italian around his grandma to avoid being beaten	Milhouse	Grandma	60	60	Intelligent	He adapts to her demand for Italian, reducing punishment for himself while pleasing her.
Milhouse behaves with bad-boy stoicism after his parents are presumed dead	Milhouse	School peers	55	70	Intelligent	His composure helps him cope and unexpectedly earns respect and affection from others.
Kirk and Luann overprotect Milhouse and hide Nemo’s mother’s death	Luann	Milhouse	40	25	Stupid	Their coddling causes trauma and a fireman callout without truly helping Milhouse.
Milhouse hides under the couch after learning Nemo’s mother died	Milhouse	Himself	20	40	Helpless	His extreme avoidance harms his own functioning and forces others to intervene.
Firemen pry Milhouse out from under the couch	Firemen	Milhouse	60	70	Intelligent	Rescuing him restores safety and functions as their duty with little downside.
Bart gives Milhouse a haircut that makes him look like Kirk	Bart	Milhouse	75	35	Bandit	Bart gains the ability to pass as an adult while leaving Milhouse with an embarrassing look.
Milhouse adopts a bad-boy persona in "Little Orphan Millie" to be cooler	Milhouse	School peers	65	60	Intelligent	The persona raises his social status and makes him more accepted by others.
